label,bit,bit_label,line,data_ro,p1,pearson_to_rand,abs_pearson_to_rand,mi_to_rand_bits
w5,55,b55_line6_ro7,6,7,0.537109375,-0.064138681,0.064138681,0.002969915
w5,9,b09_line1_ro1,1,1,0.511718750,-0.062987078,0.062987078,0.002863867
w5,49,b49_line6_ro1,6,1,0.500000000,-0.062511924,0.062511924,0.002820681
w5,33,b33_line4_ro1,4,1,0.508789062,0.056316745,0.056316745,0.002288963
w5,31,b31_line3_ro7,3,7,0.546875000,0.053100396,0.053100396,0.002034676
w5,54,b54_line6_ro6,6,6,0.532226562,0.051592621,0.051592621,0.001920783
w5,17,b17_line2_ro1,2,1,0.510742188,-0.045360612,0.045360612,0.001484783
w5,43,b43_line5_ro3,5,3,0.529296875,-0.040283791,0.040283791,0.001170985
w5,5,b05_line0_ro5,0,5,0.517578125,0.038406918,0.038406918,0.001064279
w5,42,b42_line5_ro2,5,2,0.551757812,-0.035421928,0.035421928,0.000905369
w5,8,b08_line1_ro0,1,0,0.496093750,-0.035011409,0.035011409,0.000884402
w5,7,b07_line0_ro7,0,7,0.547851562,-0.031315765,0.031315765,0.000707585
w5,3,b03_line0_ro3,0,3,0.541015625,-0.029049349,0.029049349,0.000608846
w5,22,b22_line2_ro6,2,6,0.558593750,-0.025909750,0.025909750,0.000484347
w5,30,b30_line3_ro6,3,6,0.561523438,-0.024075142,0.024075142,0.000418177
w5,57,b57_line7_ro1,7,1,0.501953125,0.023365841,0.023365841,0.000393864
w5,21,b21_line2_ro5,2,5,0.506835938,-0.021757587,0.021757587,0.000341510
w5,45,b45_line5_ro5,5,5,0.493164062,0.021757587,0.021757587,0.000341510
w5,36,b36_line4_ro4,4,4,0.502929688,0.021374378,0.021374378,0.000329582
w5,10,b10_line1_ro2,1,2,0.560546875,0.021232658,0.021232658,0.000325206
w5,61,b61_line7_ro5,7,5,0.477539062,-0.020631754,0.020631754,0.000307070
w5,40,b40_line5_ro0,5,0,0.494140625,-0.019307377,0.019307377,0.000268915
w5,38,b38_line4_ro6,4,6,0.541992188,-0.019290263,0.019290263,0.000268452
w5,63,b63_line7_ro7,7,7,0.528320312,-0.018718001,0.018718001,0.000252756
w5,62,b62_line7_ro6,7,6,0.560546875,-0.018126939,0.018126939,0.000237052
w5,26,b26_line3_ro2,3,2,0.546875000,0.017781888,0.017781888,0.000228089
w5,34,b34_line4_ro2,4,2,0.546875000,-0.017536620,0.017536620,0.000221860
w5,23,b23_line2_ro7,2,7,0.544921875,-0.017453661,0.017453661,0.000219765
w5,39,b39_line4_ro7,4,7,0.540039062,0.016068758,0.016068758,0.000186257
w5,35,b35_line4_ro3,4,3,0.527343750,0.014581483,0.014581483,0.000153375
w5,12,b12_line1_ro4,1,4,0.516601562,-0.014331007,0.014331007,0.000148156
w5,25,b25_line3_ro1,3,1,0.508789062,0.013333155,0.013333155,0.000128239
w5,11,b11_line1_ro3,1,3,0.539062500,-0.013287769,0.013287769,0.000127372
w5,51,b51_line6_ro3,6,3,0.525390625,-0.012729420,0.012729420,0.000116891
w5,27,b27_line3_ro3,3,3,0.528320312,0.012588219,0.012588219,0.000114308
w5,16,b16_line2_ro0,2,0,0.498046875,0.011797384,0.011797384,0.000100398
