label,group_type,group,num_bits,group_xor_p1,group_xor_entropy,complement_xor_p1,complement_xor_entropy,corr_group_to_rand,mi_group_to_rand_bits
w10,all_bits,all_64,64,0.528320312,0.997684562,0.467773438,0.997001296,0.068475249,0.003386200
w10,data_ro,ro0,8,0.297851562,0.878648789,0.489257812,0.999667016,-0.005877068,0.000024921
w10,data_ro,ro1,8,0.499023438,0.999997248,0.506835938,0.999865161,-0.013832133,0.000138019
w10,data_ro,ro2,8,0.236328125,0.788880571,0.482421875,0.999108258,0.000161987,0.000000019
w10,data_ro,ro3,8,0.621093750,0.957265877,0.500000000,1.000000000,0.016612918,0.000199169
w10,data_ro,ro4,8,0.387695312,0.963296136,0.502929688,0.999975234,-0.021366744,0.000329497
w10,data_ro,ro5,8,0.348632812,0.932841111,0.514648438,0.999380774,-0.051947239,0.001950682
w10,data_ro,ro6,8,0.429687500,0.985687679,0.527343750,0.997841573,-0.064811555,0.003034874
w10,data_ro,ro7,8,0.317382812,0.901512624,0.489257812,0.999667016,-0.002981577,0.000006413
w10,line,line0,8,0.494140625,0.999900936,0.501953125,0.999988993,-0.004695134,0.000015902
w10,line,line1,8,0.511718750,0.999603716,0.513671875,0.999460595,-0.025851502,0.000482105
w10,line,line2,8,0.514648438,0.999380774,0.497070312,0.999975234,0.007825496,0.000044176
w10,line,line3,8,0.512695312,0.999534909,0.495117188,0.999931206,0.011480756,0.000095084
w10,line,line4,8,0.514648438,0.999380774,0.506835938,0.999865161,-0.011757367,0.000099715
w10,line,line5,8,0.530273438,0.997353977,0.497070312,0.999975234,0.009920123,0.000070992
w10,line,line6,8,0.503906250,0.999955972,0.515625000,0.999295444,-0.030800125,0.000684400
w10,line,line7,8,0.499023438,0.999997248,0.487304688,0.999534909,0.025316856,0.000462391
w10,stage_xor,sx0,1,0.494140625,0.999900936,0.501953125,0.999988993,-0.004695134,0.000015902
w10,stage_xor,sx1,1,0.511718750,0.999603716,0.513671875,0.999460595,-0.025851502,0.000482105
w10,stage_xor,sx2,1,0.514648438,0.999380774,0.497070312,0.999975234,0.007825496,0.000044176
w10,stage_xor,sx3,1,0.512695312,0.999534909,0.495117188,0.999931206,0.011480756,0.000095084
w10,stage_xor,sx4,1,0.514648438,0.999380774,0.506835938,0.999865161,-0.011757367,0.000099715
w10,stage_xor,sx5,1,0.530273438,0.997353977,0.497070312,0.999975234,0.009920123,0.000070992
w10,stage_xor,sx6,1,0.503906250,0.999955972,0.515625000,0.999295444,-0.030800125,0.000684400
w10,stage_xor,sx7,1,0.499023438,0.999997248,0.487304688,0.999534909,0.025316856,0.000462391
