label,bit_i,bit_j,line_i,line_j,data_ro_i,data_ro_j,pearson_r,abs_pearson_r,mi_bits
w10,20,60,2,7,4,4,0.974824672,0.974824672,0.909028926
w10,29,53,3,6,5,5,-0.972683749,0.972683749,0.896472584
w10,5,37,0,4,5,5,0.965026372,0.965026372,0.876292490
w10,8,16,1,2,0,0,0.953237810,0.953237810,0.841401461
w10,14,38,1,4,6,6,0.946699327,0.946699327,0.816766510
w10,47,55,5,6,7,7,-0.926622698,0.926622698,0.802545699
w10,21,37,2,4,5,5,-0.937760200,0.937760200,0.802361759
w10,50,58,6,7,2,2,0.917624075,0.917624075,0.750257395
w10,1,25,0,3,1,1,-0.910071898,0.910071898,0.746921592
w10,2,10,0,1,2,2,0.917149373,0.917149373,0.746302180
w10,32,40,4,5,0,0,-0.914179005,0.914179005,0.745197658
w10,47,63,5,7,7,7,-0.905250581,0.905250581,0.742325487
w10,35,59,4,7,3,3,-0.894541995,0.894541995,0.741204141
w10,45,61,5,7,5,5,-0.905582511,0.905582511,0.732596925
w10,5,21,0,2,5,5,-0.903222236,0.903222236,0.724994192
w10,15,23,1,2,7,7,-0.884082023,0.884082023,0.722580047
w10,31,39,3,4,7,7,-0.877171491,0.877171491,0.710585519
w10,3,19,0,2,3,3,-0.877083974,0.877083974,0.710074074
w10,3,43,0,5,3,3,0.894702218,0.894702218,0.703241175
w10,30,62,3,7,6,6,0.891257540,0.891257540,0.689765906
w10,55,63,6,7,7,7,0.888494922,0.888494922,0.688935698
w10,22,30,2,3,6,6,0.881365059,0.881365059,0.669895024
w10,24,32,3,4,0,0,0.876963486,0.876963486,0.666593845
w10,19,43,2,5,3,3,-0.850022660,0.850022660,0.665573840
w10,23,39,2,4,7,7,-0.863608446,0.863608446,0.663284729
w10,40,48,5,6,0,0,0.871311046,0.871311046,0.656265612
w10,0,16,0,2,0,0,-0.871157500,0.871157500,0.655458479
w10,1,57,0,7,1,1,-0.868365184,0.868365184,0.653793313
w10,41,57,5,7,1,1,-0.863293094,0.863293094,0.640287067
w10,48,56,6,7,0,0,-0.854617621,0.854617621,0.627200326
w10,2,26,0,3,2,2,-0.817200881,0.817200881,0.615063858
w10,18,34,2,4,2,2,-0.815344383,0.815344383,0.611726956
w10,28,52,3,6,4,4,-0.842722788,0.842722788,0.604915334
w10,18,42,2,5,2,2,-0.810560509,0.810560509,0.604782474
w10,15,39,1,4,7,7,0.839243962,0.839243962,0.595087203
w10,30,38,3,4,6,6,-0.802816215,0.802816215,0.594051253
w10,11,27,1,3,3,3,-0.801123235,0.801123235,0.591384636
w10,6,38,0,4,6,6,0.837640590,0.837640590,0.588591751
w10,34,58,4,7,2,2,-0.820291966,0.820291966,0.586532892
w10,10,26,1,3,2,2,-0.791663254,0.791663254,0.577927706
w10,26,42,3,5,2,2,-0.812378815,0.812378815,0.576408527
w10,11,51,1,6,3,3,0.825484363,0.825484363,0.575439941
w10,38,62,4,7,6,6,-0.788637330,0.788637330,0.573882398
w10,0,8,0,1,0,0,-0.824553783,0.824553783,0.571858768
w10,22,38,2,4,6,6,-0.787073735,0.787073735,0.571688679
w10,6,30,0,3,6,6,-0.787059009,0.787059009,0.571639502
w10,14,30,1,3,6,6,-0.785496147,0.785496147,0.569450019
w10,15,31,1,3,7,7,-0.807516123,0.807516123,0.560119465
w10,17,33,2,4,1,1,-0.817093158,0.817093158,0.560008714
w10,23,31,2,3,7,7,0.815752086,0.815752086,0.555257372
w10,6,62,0,7,6,6,-0.773158418,0.773158418,0.552515332
w10,14,62,1,7,6,6,-0.771623159,0.771623159,0.550425733
w10,14,22,1,2,6,6,-0.770093297,0.770093297,0.548354120
w10,12,28,1,3,4,4,-0.794508210,0.794508210,0.524780920
w10,24,40,3,5,0,0,-0.791058128,0.791058128,0.517053789
w10,17,41,2,5,1,1,-0.789738033,0.789738033,0.515956722
w10,34,42,4,5,2,2,0.790132597,0.790132597,0.514241845
w10,4,20,0,2,4,4,-0.786686541,0.786686541,0.512498877
w10,32,48,4,6,0,0,-0.785817116,0.785817116,0.509874719
w10,6,46,0,5,6,6,0.786277232,0.786277232,0.505598458
w10,6,14,0,1,6,6,0.783345492,0.783345492,0.499839326
w10,25,57,3,7,1,1,0.775415608,0.775415608,0.493241424
w10,46,62,5,7,6,6,-0.752160973,0.752160973,0.492537973
w10,6,22,0,2,6,6,-0.743819607,0.743819607,0.488004657
w10,4,60,0,7,4,4,-0.768176058,0.768176058,0.483249817
