compare,bit_i,bit_j,line_i,line_j,data_ro_i,data_ro_j,delta_abs_pearson,delta_mi_bits,label_abs_pearson,base_abs_pearson,label_mi_bits,base_mi_bits
w10_minus_w5,31,47,3,5,7,7,0.248530847,0.268747365,0.747336614,0.498805768,0.458338878,0.189591513
w10_minus_w5,45,53,5,6,5,5,-0.267627600,-0.260741337,0.449188335,0.716815934,0.150881372,0.411622709
w10_minus_w5,33,41,4,5,1,1,0.421755057,0.258807900,0.605214238,0.183459181,0.283223716,0.024415815
w10_minus_w5,1,57,0,7,1,1,0.162864404,0.256385729,0.868365184,0.705500779,0.653793313,0.397407584
w10_minus_w5,23,55,2,6,7,7,0.530924011,0.248954554,0.571405832,0.040481821,0.250136594,0.001182040
w10_minus_w5,6,14,0,1,6,6,0.208062143,0.247808590,0.783345492,0.575283349,0.499839326,0.252030737
w10_minus_w5,13,53,1,6,5,5,0.429571985,0.243716152,0.582113470,0.152541485,0.260567522,0.016851370
w10_minus_w5,37,45,4,5,5,5,0.461173081,0.240774612,0.570334822,0.109161742,0.249387278,0.008612666
w10_minus_w5,12,28,1,3,4,4,0.189117461,0.240593454,0.794508210,0.605390749,0.524780920,0.284187466
w10_minus_w5,28,36,3,4,4,4,-0.205428490,-0.231923172,0.546796551,0.752225041,0.227941044,0.459864216
w10_minus_w5,17,49,2,6,1,1,-0.209177081,-0.230912981,0.535135343,0.744312424,0.217768038,0.448681019
w10_minus_w5,3,27,0,3,3,3,0.295878916,0.230909875,0.628349537,0.332470622,0.312442186,0.081532311
w10_minus_w5,7,15,0,1,7,7,0.353535993,0.226576082,0.589599645,0.236063651,0.267072422,0.040496341
w10_minus_w5,34,42,4,5,2,2,0.178639073,0.225963799,0.790132597,0.611493524,0.514241845,0.288278045
w10_minus_w5,15,47,1,5,7,7,0.539738544,0.221882709,0.540114747,0.000376203,0.221882811,0.000000102
w10_minus_w5,4,44,0,5,4,4,0.258065426,0.219373494,0.654255168,0.396189742,0.335744616,0.116371122
w10_minus_w5,16,48,2,6,0,0,-0.259764461,-0.213330162,0.380911343,0.640675804,0.107356572,0.320686734
w10_minus_w5,22,30,2,3,6,6,0.125100823,0.208553886,0.881365059,0.756264236,0.669895024,0.461341138
w10_minus_w5,7,23,0,2,7,7,0.299445908,0.204225159,0.581962674,0.282516766,0.262860232,0.058635073
w10_minus_w5,1,9,0,1,1,1,0.402976287,0.203453127,0.533240699,0.130264413,0.215727104,0.012273977
w10_minus_w5,4,12,0,1,4,4,-0.422581415,-0.200541108,0.100484288,0.523065703,0.007296684,0.207837792
w10_minus_w5,5,45,0,5,5,5,0.267132620,0.199558171,0.605744846,0.338612226,0.283955643,0.084397472
w10_minus_w5,9,33,1,4,1,1,-0.391394960,-0.194488067,0.130725476,0.522120436,0.012366570,0.206854637
w10_minus_w5,31,55,3,6,7,7,-0.089444094,-0.193640802,0.755587221,0.845031314,0.464027152,0.657667954
w10_minus_w5,6,30,0,3,6,6,0.110126384,0.192146079,0.787059009,0.676932625,0.571639502,0.379493423
w10_minus_w5,9,49,1,6,1,1,-0.210702656,-0.174628796,0.410561753,0.621264409,0.125294321,0.299923117
w10_minus_w5,10,26,1,3,2,2,0.092420578,0.172592909,0.791663254,0.699242676,0.577927706,0.405334798
w10_minus_w5,18,58,2,7,2,2,-0.102446323,-0.170563769,0.766059750,0.868506073,0.477574395,0.648138164
w10_minus_w5,0,40,0,5,0,0,-0.218806200,-0.170479528,0.380923315,0.599729516,0.107364265,0.277843793
w10_minus_w5,24,40,3,5,0,0,0.126838196,0.169820762,0.791058128,0.664219932,0.517053789,0.347233026
w10_minus_w5,37,61,4,7,5,5,0.454696340,0.169296881,0.475040910,0.020344570,0.169595475,0.000298594
w10_minus_w5,33,57,4,7,1,1,0.415786117,0.162738732,0.468597719,0.052811602,0.164751565,0.002012833
w10_minus_w5,36,60,4,7,4,4,0.220778537,0.162694997,0.578341752,0.357563216,0.257000821,0.094305824
w10_minus_w5,26,34,3,4,2,2,0.198287601,0.161294086,0.601243266,0.402955665,0.282799438,0.121505352
w10_minus_w5,1,41,0,5,1,1,-0.105372813,-0.161045236,0.730677306,0.836050118,0.430110845,0.591156081
w10_minus_w5,19,27,2,3,3,3,0.295529678,0.159289662,0.503927592,0.208397914,0.190824989,0.031535327
w10_minus_w5,12,36,1,4,4,4,-0.097548726,-0.157664916,0.754692850,0.852241577,0.463938638,0.621603554
w10_minus_w5,21,45,2,5,5,5,0.277487659,0.156360997,0.507812541,0.230324882,0.194972088,0.038611091
w10_minus_w5,5,61,0,7,5,5,0.262566735,0.151824254,0.509435992,0.246869258,0.196225771,0.044401517
w10_minus_w5,42,50,5,6,2,2,0.227985463,0.149842420,0.532190504,0.304205041,0.218075658,0.068233238
w10_minus_w5,18,50,2,6,2,2,0.148202410,0.148862963,0.680593988,0.532391578,0.363257043,0.214394081
w10_minus_w5,8,40,1,5,0,0,0.201229471,0.143640075,0.556641919,0.355412448,0.236778784,0.093138709
w11_minus_w5,16,40,2,5,0,0,0.046764423,0.143189225,0.992194832,0.945430409,0.963832516,0.820643291
w10_minus_w5,13,29,1,3,5,5,0.196652079,0.140438752,0.554709524,0.358057446,0.235037297,0.094598545
w10_minus_w5,22,62,2,7,6,6,-0.085587130,-0.140302478,0.771770312,0.857357441,0.483159174,0.623461652
w10_minus_w5,19,43,2,5,3,3,0.056960978,0.135717427,0.850022660,0.793061682,0.665573840,0.529856413
w10_minus_w5,17,25,2,3,1,1,0.392283430,0.135488081,0.427831032,0.035547601,0.136399808,0.000911727
w10_minus_w5,32,48,4,6,0,0,0.098012341,0.134562946,0.785817116,0.687804775,0.509874719,0.375311774
w10_minus_w5,8,48,1,6,0,0,0.368973044,0.133628753,0.427427140,0.058454096,0.136094891,0.002466137
w10_minus_w5,21,37,2,4,5,5,0.058876350,0.132098568,0.937760200,0.878883850,0.802361759,0.670263191
w10_minus_w5,16,24,2,3,0,0,0.109408498,0.126646589,0.718776226,0.609367728,0.414182975,0.287536386
w10_minus_w5,7,39,0,4,7,7,0.303138547,0.125414798,0.428969589,0.125831041,0.136883607,0.011468809
w10_minus_w5,20,44,2,5,4,4,0.261975901,0.121682047,0.440115098,0.178139197,0.144697903,0.023015855
w10_minus_w5,46,54,5,6,6,6,0.213683604,0.121235700,0.475501877,0.261818273,0.171414710,0.050179010
w11_minus_w5,13,21,1,2,5,5,-0.062381964,-0.120110430,0.838105336,0.900487300,0.594991196,0.715101626
w10_minus_w5,48,56,6,7,0,0,0.067540874,0.116397409,0.854617621,0.787076747,0.627200326,0.510802918
w10_minus_w5,10,18,1,2,2,2,0.222208304,0.115669890,0.446575342,0.224367039,0.152475471,0.036805581
w11_minus_w5,23,63,2,7,7,7,0.052614730,0.115445128,0.937283739,0.884669009,0.796996993,0.681551865
w10_minus_w5,7,63,0,7,7,7,-0.355810729,-0.114915268,0.038770405,0.394581134,0.001084765,0.116000033
w11_minus_w5,6,46,0,5,6,6,-0.039321817,-0.114409391,0.937244847,0.976566664,0.796884805,0.911294196
w11_minus_w5,11,51,1,6,3,3,-0.043033344,-0.114405398,0.922034105,0.965067449,0.763493160,0.877898558
w10_minus_w5,11,27,1,3,3,3,-0.072605046,-0.113284719,0.801123235,0.873728281,0.591384636,0.704669355
w10_minus_w5,43,59,5,7,3,3,-0.104729238,-0.112987790,0.574298616,0.679027854,0.254877749,0.367865539
w10_minus_w5,21,61,2,7,5,5,0.272271442,0.112884054,0.413666548,0.141395106,0.127356240,0.014472186
w10_minus_w5,12,60,1,7,4,4,-0.173831204,-0.112266743,0.331849891,0.505681095,0.080956899,0.193223641
w10_minus_w5,40,56,5,7,0,0,-0.074994300,-0.110090296,0.724874529,0.799868829,0.422413594,0.532503890
