label,group_type,group,num_bits,group_xor_p1,group_xor_entropy,complement_xor_p1,complement_xor_entropy,corr_group_to_rand,mi_group_to_rand_bits
w5,all_bits,all_64,64,0.480468750,0.998899031,0.490234375,0.999724810,0.020313565,0.000297684
w5,data_ro,ro0,8,0.419921875,0.981417497,0.500000000,1.000000000,0.003169562,0.000007247
w5,data_ro,ro1,8,0.528320312,0.997684562,0.512695312,0.999534909,-0.026544556,0.000508352
w5,data_ro,ro2,8,0.341796875,0.926527821,0.484375000,0.999295444,0.039464487,0.001124268
w5,data_ro,ro3,8,0.504882812,0.999931206,0.502929688,0.999975234,-0.006051553,0.000026417
w5,data_ro,ro4,8,0.651367188,0.932841111,0.497070312,0.999975234,-0.000056046,0.000000002
w5,data_ro,ro5,8,0.211914062,0.745125506,0.499023438,0.999997248,0.016161189,0.000188485
w5,data_ro,ro6,8,0.541015625,0.995140503,0.523437500,0.998414427,-0.048650385,0.001708201
w5,data_ro,ro7,8,0.341796875,0.926527821,0.470703125,0.997522031,0.068294638,0.003370286
w5,line,line0,8,0.511718750,0.999603716,0.500000000,1.000000000,-0.000457977,0.000000151
w5,line,line1,8,0.495117188,0.999931206,0.463867188,0.996229606,0.072473640,0.003792227
w5,line,line2,8,0.490234375,0.999724810,0.482421875,0.999108258,0.035551281,0.000911916
w5,line,line3,8,0.498046875,0.999988993,0.500000000,1.000000000,0.000076309,0.000000004
w5,line,line4,8,0.493164062,0.999865161,0.502929688,0.999975234,-0.005593936,0.000022573
w5,line,line5,8,0.477539062,0.998543849,0.471679688,0.997684562,0.057587113,0.002393686
w5,line,line6,8,0.499023438,0.999997248,0.489257812,0.999667016,0.021526669,0.000334297
w5,line,line7,8,0.517578125,0.999108258,0.482421875,0.999108258,0.034497506,0.000858604
w5,stage_xor,sx0,1,0.511718750,0.999603716,0.500000000,1.000000000,-0.000457977,0.000000151
w5,stage_xor,sx1,1,0.495117188,0.999931206,0.463867188,0.996229606,0.072473640,0.003792227
w5,stage_xor,sx2,1,0.490234375,0.999724810,0.482421875,0.999108258,0.035551281,0.000911916
w5,stage_xor,sx3,1,0.498046875,0.999988993,0.500000000,1.000000000,0.000076309,0.000000004
w5,stage_xor,sx4,1,0.493164062,0.999865161,0.502929688,0.999975234,-0.005593936,0.000022573
w5,stage_xor,sx5,1,0.477539062,0.998543849,0.471679688,0.997684562,0.057587113,0.002393686
w5,stage_xor,sx6,1,0.500976562,0.999997248,0.491210938,0.999777099,0.017543358,0.000222020
w5,stage_xor,sx7,1,0.517578125,0.999108258,0.482421875,0.999108258,0.034497506,0.000858604
