label,bit,bit_label,line,data_ro,p1,pearson_to_rand,abs_pearson_to_rand,mi_to_rand_bits
w11,55,b55_line6_ro7,6,7,0.537109375,-0.060859801,0.060859801,0.002673530
w11,7,b07_line0_ro7,0,7,0.550781250,-0.057134531,0.057134531,0.002356106
w11,31,b31_line3_ro7,3,7,0.542968750,0.056682582,0.056682582,0.002318878
w11,54,b54_line6_ro6,6,6,0.535156250,0.056643596,0.056643596,0.002315681
w11,11,b11_line1_ro3,1,3,0.532226562,0.050761007,0.050761007,0.001859478
w11,58,b58_line7_ro2,7,2,0.539062500,-0.049130972,0.049130972,0.001741962
w11,25,b25_line3_ro1,3,1,0.516601562,0.046836064,0.046836064,0.001582935
w11,47,b47_line5_ro7,5,7,0.535156250,-0.045171088,0.045171088,0.001472380
w11,43,b43_line5_ro3,5,3,0.521484375,0.044879487,0.044879487,0.001453400
w11,18,b18_line2_ro2,2,2,0.563476562,-0.043569319,0.043569319,0.001369806
w11,34,b34_line4_ro2,4,2,0.553710938,0.043007887,0.043007887,0.001334676
w11,49,b49_line6_ro1,6,1,0.499023438,-0.042965099,0.042965099,0.001332017
w11,33,b33_line4_ro1,4,1,0.513671875,0.040977619,0.040977619,0.001211598
w11,3,b03_line0_ro3,0,3,0.545898438,0.039048154,0.039048154,0.001100160
w11,20,b20_line2_ro4,2,4,0.513671875,-0.037176752,0.037176752,0.000997215
w11,37,b37_line4_ro5,4,5,0.494140625,0.037134884,0.037134884,0.000994968
w11,56,b56_line7_ro0,7,0,0.486328125,-0.037069901,0.037069901,0.000991485
w11,27,b27_line3_ro3,3,3,0.535156250,-0.033423240,0.033423240,0.000805985
w11,13,b13_line1_ro5,1,5,0.517578125,-0.033292433,0.033292433,0.000799683
w11,32,b32_line4_ro0,4,0,0.486328125,0.033269034,0.033269034,0.000798558
w11,53,b53_line6_ro5,6,5,0.493164062,-0.031226275,0.031226275,0.000703485
w11,51,b51_line6_ro3,6,3,0.518554688,0.031199070,0.031199070,0.000702259
w11,63,b63_line7_ro7,7,7,0.535156250,-0.029507290,0.029507290,0.000628159
w11,48,b48_line6_ro0,6,0,0.485351562,-0.027298299,0.027298299,0.000537612
w11,23,b23_line2_ro7,2,7,0.544921875,-0.025669962,0.025669962,0.000475387
w11,61,b61_line7_ro5,7,5,0.486328125,0.025453597,0.025453597,0.000467402
w11,9,b09_line1_ro1,1,1,0.511718750,-0.025443439,0.025443439,0.000467029
w11,17,b17_line2_ro1,2,1,0.505859375,-0.025415307,0.025415307,0.000465996
w11,39,b39_line4_ro7,4,7,0.535156250,0.025316001,0.025316001,0.000462360
w11,21,b21_line2_ro5,2,5,0.504882812,-0.023457737,0.023457737,0.000396969
w11,29,b29_line3_ro5,3,5,0.500976562,0.023433775,0.023433775,0.000396158
w11,45,b45_line5_ro5,5,5,0.489257812,-0.023400984,0.023400984,0.000395050
w11,6,b06_line0_ro6,0,6,0.567382812,0.023387684,0.023387684,0.000394601
w11,24,b24_line3_ro0,3,0,0.494140625,0.021508781,0.021508781,0.000333741
w11,59,b59_line7_ro3,7,3,0.527343750,0.021409643,0.021409643,0.000330671
w11,30,b30_line3_ro6,3,6,0.557617188,-0.019888848,0.019888848,0.000285362
w11,62,b62_line7_ro6,7,6,0.553710938,-0.019855992,0.019855992,0.000284420
w11,50,b50_line6_ro2,6,2,0.551757812,-0.019840051,0.019840051,0.000283963
w11,42,b42_line5_ro2,5,2,0.549804688,0.019433387,0.019433387,0.000272438
w11,40,b40_line5_ro0,5,0,0.496093750,0.017593954,0.017593954,0.000223303
w11,16,b16_line2_ro0,2,0,0.501953125,-0.017585922,0.017585922,0.000223099
w11,14,b14_line1_ro6,1,6,0.564453125,0.017472162,0.017472162,0.000220221
w11,15,b15_line1_ro7,1,7,0.551757812,-0.015912695,0.015912695,0.000182664
w11,28,b28_line3_ro4,3,4,0.518554688,-0.015708329,0.015708329,0.000178001
w11,12,b12_line1_ro4,1,4,0.511718750,-0.013721447,0.013721447,0.000135818
w11,35,b35_line4_ro3,4,3,0.529296875,0.013580793,0.013580793,0.000133048
w11,5,b05_line0_ro5,0,5,0.508789062,-0.011754921,0.011754921,0.000099677
w11,8,b08_line1_ro0,1,0,0.495117188,0.011738406,0.011738406,0.000099397
w11,36,b36_line4_ro4,4,4,0.510742188,0.011679506,0.011679506,0.000098402
w11,22,b22_line2_ro6,2,6,0.555664062,0.011573277,0.011573277,0.000096620
w11,1,b01_line0_ro1,0,1,0.513671875,-0.009822722,0.009822722,0.000069601
w11,0,b00_line0_ro0,0,0,0.503906250,-0.009781201,0.009781201,0.000069014
w11,57,b57_line7_ro1,7,1,0.511718750,0.009722538,0.009722538,0.000068188
w11,10,b10_line1_ro2,1,2,0.563476562,-0.008126222,0.008126222,0.000047635
w11,60,b60_line7_ro4,7,4,0.506835938,-0.007839951,0.007839951,0.000044338
w11,44,b44_line5_ro4,5,4,0.502929688,-0.007824093,0.007824093,0.000044159
w11,52,b52_line6_ro4,6,4,0.506835938,0.007786540,0.007786540,0.000043736
w11,41,b41_line5_ro1,5,1,0.501953125,-0.005867060,0.005867060,0.000024831
w11,38,b38_line4_ro6,4,6,0.544921875,0.005706990,0.005706990,0.000023494
w11,2,b02_line0_ro2,0,2,0.559570312,-0.004168646,0.004168646,0.000012535
w11,26,b26_line3_ro2,3,2,0.551757812,-0.004130627,0.004130627,0.000012308
w11,19,b19_line2_ro3,2,3,0.534179688,-0.004049244,0.004049244,0.000011828
w11,46,b46_line5_ro6,5,6,0.549804688,-0.000195522,0.000195522,0.000000028
w11,4,b04_line0_ro4,0,4,0.516601562,-0.000064886,0.000064886,0.000000003
