label,bit_i,bit_j,line_i,line_j,data_ro_i,data_ro_j,pearson_r,abs_pearson_r,mi_bits
w11,16,40,2,5,0,0,-0.992194832,0.992194832,0.963832516
w11,13,37,1,4,5,5,-0.972912456,0.972912456,0.903753443
w11,4,60,0,7,4,4,-0.954194203,0.954194203,0.862248987
w11,23,63,2,7,7,7,0.937283739,0.937283739,0.796996993
w11,6,46,0,5,6,6,0.937244847,0.937244847,0.796884805
w11,3,43,0,5,3,3,0.932491032,0.932491032,0.794993068
w11,16,32,2,4,0,0,-0.933843234,0.933843234,0.792471150
w11,32,40,4,5,0,0,0.925942094,0.925942094,0.772645805
w11,5,21,0,2,5,5,-0.922233123,0.922233123,0.765268541
w11,11,51,1,6,3,3,0.922034105,0.922034105,0.763493160
w11,45,61,5,7,5,5,-0.913249025,0.913249025,0.749398511
w11,33,49,4,6,1,1,-0.900675708,0.900675708,0.716414327
w11,0,24,0,3,0,0,-0.898435057,0.898435057,0.710277157
w11,11,27,1,3,3,3,-0.873740975,0.873740975,0.704741540
w11,22,62,2,7,6,6,0.897215217,0.897215217,0.702160106
w11,12,36,1,4,4,4,-0.885716849,0.885716849,0.687845617
w11,30,62,3,7,6,6,0.881371266,0.881371266,0.669929795
w11,31,55,3,6,7,7,-0.851713158,0.851713158,0.668339583
w11,3,19,0,2,3,3,-0.851698925,0.851698925,0.668270794
w11,41,57,5,7,1,1,-0.875338681,0.875338681,0.664550917
w11,1,41,0,5,1,1,0.875227120,0.875227120,0.663941794
w11,15,39,1,4,7,7,-0.840031005,0.840031005,0.649734577
w11,21,37,2,4,5,5,-0.865220601,0.865220601,0.643851577
w11,6,38,0,4,6,6,0.864476875,0.864476875,0.640232956
w11,34,58,4,7,2,2,-0.830171904,0.830171904,0.634536709
w11,32,56,4,7,0,0,-0.856857086,0.856857086,0.632251401
w11,38,62,4,7,6,6,-0.820431695,0.820431695,0.619877417
w11,22,38,2,4,6,6,-0.817194479,0.817194479,0.615038855
w11,30,38,3,4,6,6,-0.813967202,0.813967202,0.610245105
w11,27,51,3,6,3,3,-0.839247389,0.839247389,0.610166403
w11,29,53,3,6,5,5,-0.843803772,0.843803772,0.604689659
w11,22,46,2,5,6,6,-0.809181286,0.809181286,0.603273222
w11,17,33,2,4,1,1,-0.840536165,0.840536165,0.600426188
w11,13,21,1,2,5,5,0.838105336,0.838105336,0.594991196
w11,2,26,0,3,2,2,-0.799637364,0.799637364,0.589461663
w11,19,59,2,7,3,3,0.833439895,0.833439895,0.585164696
