run,bytes,p1,bit_min_entropy,monobit_p,runs_p,byte_entropy,byte_min_entropy,longest_zero_run,longest_one_run
random1_run01,10485760,0.3373155117034912,0.5936059447798137,0.0,0.0,7.374569396554998,4.801608676916264,38,27
sparse_run01,10485760,0.46434985399246215,0.9006370669923032,0.0,0.0,7.97018254132313,7.144060898784212,36,26
far_run01,10485760,0.4915079355239868,0.975702835318717,0.0,0.0,7.998307059518991,7.7961626160654465,31,28
compact_run01,10485760,0.4999479055404663,0.9998496949930681,0.3399523139347258,0.2636032731697103,7.999978178663741,7.976834763500023,31,29
random3_run01,10485760,0.49996856451034544,0.999909299201129,0.5647292978436725,0.1843728297632032,7.999984178064119,7.98455010032787,26,27
