run,bytes,p1,bit_min_entropy,monobit_p,runs_p,byte_entropy,byte_min_entropy
random1_smoke01,1048576,0.33827972412109375,0.5957066088013232,0.0,0.0,7.382145455832664,4.8076301205447916
sparse_smoke01,1048576,0.46395623683929443,0.8995773062983947,0.0,0.0,7.969439449797255,7.143963600180844
row_smoke01,1048576,0.47431862354278564,0.9277394700569892,0.0,0.0,7.984406979140459,7.350743822482685
random2_smoke01,1048576,0.49125659465789795,0.9749899065245156,0.0,0.0,7.9980668818342515,7.778110838528734
far_smoke01,1048576,0.49160122871398926,0.9759675512905981,0.0,0.0,7.998185083309159,7.817916070489275
same_column_smoke01,1048576,0.5001609325408936,0.9995357215561725,0.3512224002375904,4.871881561079309e-172,7.999282292602498,7.878790283590716
cross_region_smoke01,1048576,0.49984896183013916,0.9995642617725051,0.3816247630660982,0.03328305269757427,7.999825228020889,7.938291295339377
checker_smoke01,1048576,0.49985408782958984,0.999579047889737,0.3979916046681584,0.7389219687631354,7.999832989806522,7.939979645492147
compact_smoke01,1048576,0.500125527381897,0.999637849995123,0.46714493440126464,0.6373178620554314,7.999782627735104,7.937616508123666
random3_smoke01,1048576,0.5000683069229126,0.9998029213436413,0.6923440904727413,0.8515973966549074,7.999841999751035,7.933238067613092
