"run","status","error","priority","bytes_expected","bytes_captured","first_16_bytes_hex","capture","capture_sha256","bitstream","bitstream_sha256","notes"
"restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526","completed","","P1","125008","125008","A55A03E8007D01D016DB6D920D040000","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.bin","B5206707A2732C0D8FC5A6859617191E1DFEA1CFE06D23F2FECE34B61C964956","data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup5_data_ro2_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","AFE5A5A88A1CBB94734B6BAE9630641E511BD85F7BB09693B95ED728AF631D36","reduced_xor variant=sampler_island_local warmup=5 mode=data_ro index=2"
"restart_reduced_xor_random1_sampler_island_local_warmup11_data_ro2_1000x125_strict_20260526","completed","","P1","125008","125008","A55A03E8007D01D00800920036480682","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup11_data_ro2_1000x125_strict_20260526.bin","124A4CB5B93261D7B9657FC0B08123980D6E38FBBA9B01A16126598DD819163C","data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup11_data_ro2_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","4A66E99CDE35213E9B6FCAC96E79511AC33D1016F01DCBECE5AC1AC86D20BFC9","reduced_xor variant=sampler_island_local warmup=11 mode=data_ro index=2"
