byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
1,6,173,827,0.173000000,0.327000000,827,9,14,False
1,5,193,807,0.193000000,0.307000000,807,10,13,False
2,4,215,785,0.215000000,0.285000000,785,19,20,False
1,3,271,729,0.271000000,0.229000000,729,12,11,False
1,4,303,697,0.303000000,0.197000000,697,11,12,False
4,3,307,693,0.307000000,0.193000000,693,36,35,False
5,0,309,691,0.309000000,0.191000000,691,47,40,False
2,7,317,683,0.317000000,0.183000000,683,16,23,False
2,6,321,679,0.321000000,0.179000000,679,17,22,False
2,5,345,655,0.345000000,0.155000000,655,18,21,False
1,2,638,362,0.638000000,0.138000000,638,13,10,False
51,2,386,614,0.386000000,0.114000000,614,413,410,False
5,7,394,606,0.394000000,0.106000000,606,40,47,False
3,3,395,605,0.395000000,0.105000000,605,28,27,False
4,4,395,605,0.395000000,0.105000000,605,35,36,False
30,1,402,598,0.402000000,0.098000000,598,246,241,False
85,5,402,598,0.402000000,0.098000000,598,682,685,False
123,6,402,598,0.402000000,0.098000000,598,985,990,False
109,4,403,597,0.403000000,0.097000000,597,875,876,False
19,5,404,596,0.404000000,0.096000000,596,154,157,False
5,1,406,594,0.406000000,0.094000000,594,46,41,False
30,5,406,594,0.406000000,0.094000000,594,242,245,False
5,4,407,593,0.407000000,0.093000000,593,43,44,False
8,3,407,593,0.407000000,0.093000000,593,68,67,False
43,2,407,593,0.407000000,0.093000000,593,349,346,False
25,5,409,591,0.409000000,0.091000000,591,202,205,False
29,5,409,591,0.409000000,0.091000000,591,234,237,False
41,3,409,591,0.409000000,0.091000000,591,332,331,False
12,4,411,589,0.411000000,0.089000000,589,99,100,False
35,6,411,589,0.411000000,0.089000000,589,281,286,False
69,0,411,589,0.411000000,0.089000000,589,559,552,False
83,5,411,589,0.411000000,0.089000000,589,666,669,False
