label,run,source,window_index,packet_start,packet_end,packets,entropy_a,entropy_b,entropy_diff,min_entropy_a,min_entropy_b,min_entropy_diff,transition_entropy_diff,same_diff_transition_ratio,longest_same_diff_bin_run,autocorr_diff_lag,diff_mean_bin,diff_std_bin
random3_goodref_ro3,tdc_reset_enable_random3_goodref_ro3_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_2mib.bin,15,255629,262142,6514,2.61610048,5.52050547,6.67084893,1.27593755,3.99690266,5.13016919,12.016171,0.0124366651,3,-0.00220688323,0.926619589,35.0423291
random3_goodref_ro3_repeat02,tdc_reset_enable_random3_goodref_ro3_repeat02_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_repeat02_2mib.bin,0,9944,26327,16384,2.60248187,5.51976963,6.66737973,1.2718669,3.92853764,5.10518224,12.6706346,0.0120246597,3,0.00513385786,1.00567627,35.1926643
random3_goodref_ro3_repeat02,tdc_reset_enable_random3_goodref_ro3_repeat02_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_repeat02_2mib.bin,1,26328,42711,16384,2.63369577,5.51773069,6.67854028,1.3043367,3.92987906,5.14825096,12.6864038,0.0116584264,3,-0.00406161089,0.326049805,35.0621672
random3_goodref_ro3_repeat02,tdc_reset_enable_random3_goodref_ro3_repeat02_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_repeat02_2mib.bin,2,42712,59095,16384,2.65795441,5.51612044,6.66814931,1.32294108,3.89671219,5.07815906,12.6779386,0.0116584264,3,-0.00274073901,-0.0606079102,34.9066166
random3_goodref_ro3_repeat02,tdc_reset_enable_random3_goodref_ro3_repeat02_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_repeat02_2mib.bin,3,59096,75479,16384,2.62092044,5.52384568,6.67737303,1.29371984,3.93391081,5.06926266,12.6906001,0.00915583227,3,-0.00826455787,0.48425293,35.0436617
random3_goodref_ro3_repeat02,tdc_reset_enable_random3_goodref_ro3_repeat02_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_repeat02_2mib.bin,4,75480,91863,16384,2.63982555,5.50907282,6.66552264,1.31131258,3.89671219,5.0751875,12.6571647,0.0119025819,3,0.0109565799,0.277038574,34.8239769
random3_goodref_ro3_repeat02,tdc_reset_enable_random3_goodref_ro3_repeat02_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_repeat02_2mib.bin,5,91864,108247,16384,2.65128943,5.50679925,6.66656221,1.29415166,3.87846648,5.04289796,12.6812643,0.012390893,2,0.00468448115,0.654785156,35.0691902
random3_goodref_ro3_repeat02,tdc_reset_enable_random3_goodref_ro3_repeat02_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_repeat02_2mib.bin,6,108248,124631,16384,2.6723147,5.50854455,6.67199897,1.30651304,3.90724286,5.15137706,12.6787659,0.00988829885,3,-0.0279811548,0.560241699,35.1179442
random3_goodref_ro3_repeat02,tdc_reset_enable_random3_goodref_ro3_repeat02_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_repeat02_2mib.bin,7,124632,141015,16384,2.66204741,5.51691025,6.67207127,1.29934355,3.92452085,5.02558541,12.6763052,0.0111090765,3,-0.00960070954,0.787780762,34.8209388
random3_goodref_ro3_repeat02,tdc_reset_enable_random3_goodref_ro3_repeat02_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_repeat02_2mib.bin,8,141016,157399,16384,2.6272708,5.50698146,6.6639213,1.2915627,3.87458653,4.99157138,12.6577514,0.012390893,3,-0.00999984408,0.184692383,34.8238521
random3_goodref_ro3_repeat02,tdc_reset_enable_random3_goodref_ro3_repeat02_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_repeat02_2mib.bin,9,157400,173783,16384,2.63355522,5.51469237,6.67078629,1.29091619,3.90196792,5.02272008,12.675119,0.0112311542,3,0.000506178489,0.765991211,35.022861
random3_goodref_ro3_repeat02,tdc_reset_enable_random3_goodref_ro3_repeat02_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_repeat02_2mib.bin,10,173784,190167,16384,2.63891681,5.52258144,6.66782496,1.29544788,3.87976212,5.08711066,12.680293,0.0108038821,2,-0.000407277191,1.07861328,34.7078095
random3_goodref_ro3_repeat02,tdc_reset_enable_random3_goodref_ro3_repeat02_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_repeat02_2mib.bin,11,190168,206551,16384,2.65587267,5.51723608,6.67214175,1.29847693,3.94200828,5.09611815,12.6801795,0.012390893,3,0.0019935772,0.601928711,35.105027
random3_goodref_ro3_repeat02,tdc_reset_enable_random3_goodref_ro3_repeat02_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_repeat02_2mib.bin,12,206552,222935,16384,2.65039033,5.50896543,6.66063064,1.28425246,3.87846648,5.01700643,12.6563528,0.0110480376,3,-0.00638949681,0.819946289,34.9093723
random3_goodref_ro3_repeat02,tdc_reset_enable_random3_goodref_ro3_repeat02_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_repeat02_2mib.bin,13,222936,239319,16384,2.62207135,5.5096497,6.67650401,1.30390183,3.89409149,5.0931094,12.6856593,0.0102545321,3,0.00436470105,0.310791016,35.0376847
random3_goodref_ro3_repeat02,tdc_reset_enable_random3_goodref_ro3_repeat02_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_repeat02_2mib.bin,14,239320,255703,16384,2.61065411,5.51922756,6.66782428,1.27868716,3.91386377,5.10518224,12.6684514,0.0108038821,3,0.0135048081,0.596801758,34.9807112
random3_goodref_ro3_repeat02,tdc_reset_enable_random3_goodref_ro3_repeat02_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro3_repeat02_2mib.bin,15,255704,262142,6439,2.59064789,5.49946948,6.65022311,1.3000257,3.82607245,4.96612041,11.9630589,0.0124262193,2,-0.0121566016,0.420096288,34.969082
