repeat,capture_file,bytes,header,sha256,xadc_after_temperature_c,xadc_after_vccint_v,packed_p1,worst_byte_bit,worst_x,msb_status,msb_cutoff,msb_min_restart_h,lsb_status,lsb_cutoff,lsb_min_restart_h,interpretation
repeat01,data/hardware/20260511_fpga1_board1/restart/restart_random1_sampler_island_local_warmup10_1000x125_strict_20260525.bin,125008,A55A03E8007D01D0,,,"",0.451448,4.2,610,failed,605,,passed,632,0.686477,"near-threshold split: X_max above MSB cutoff but below LSB cutoff"
repeat02,data/hardware/20260511_fpga1_board1/restart/restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat02_20260526.bin,125008,A55A03E8007D01D0,A1ADD4ABA6C9A111DAEFC84D677B6F6F62C6E90C201512F2FA8FFE0A53D1E199,46.3,1.000,0.458774,4.4,599,passed,605,0.706772,passed,632,0.701080,"near-threshold pass: X_max moved below both cutoffs"
repeat03,data/hardware/20260511_fpga1_board1/restart/restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.bin,125008,A55A03E8007D01D0,0CA3E14E65642C0650F126DEA84BE66A5B3CD77330AD94E725C67E3D5FF75CF9,45.6,1.000,0.457368,18.0,593,passed,605,0.690213,passed,632,0.712102,"near-threshold pass: repeat confirms boundary rather than deterministic bit-order defect"
