label,family,mode,baseline_label,packets,seq_gaps,entropy_diff,early_entropy_diff,transition_entropy_diff,same_diff_transition_ratio,longest_same_diff_bin_run,autocorr_diff_lag,first_later_tvd_diff,delta_entropy_diff_vs_pair_only,delta_transition_entropy_diff_vs_pair_only,delta_same_ratio_vs_pair_only,capture_sha256,bitstream_sha256,xadc_after_temperature_c,xadc_after_vccint_v,interpretation
tdc_mask_random3_ro0_ro6_all_data_on_repeat02,random3,all_data_on,tdc_mask_random3_ro0_ro6_pair_only,1048575,1,5.98207208,5.90596624,11.9613175,0.0159473723,4,0.00082597194,0.0505797487,-0.7149571899999998,-1.4218857000000007,0.005199442299999999,75820429655C8C08C89D8658A5EBA2FBECCF61F5B5D12BC6FDA4667CC979E2C2,9340235F2DD3A9B41737307B0B6558F193C4411FFFAC8A1E03190055E6F163DD,46.3,1.000,replicated strong all-data switching effect without hard-lock signature
tdc_mask_random3_ro0_ro6_neighbors_on,random3,neighbors_on,tdc_mask_random3_ro0_ro6_pair_only,1048575,1,6.64861046,6.39380979,13.2870461,0.0111742233,4,-0.000817938914,0.0628144875,-0.04841880999999937,-0.096157100000001,0.0004262933,61C41E2B802625AAE7D5CB8AE6B8B54E18FEBCE5FCE3B6235653E22FE7DD9201,862180002608E3984F61D1A032AB385DE7BD7594D79D114F655C94827782917B,46.5,1.000,does not reproduce all-data collapse; points away from this mode as sole cause
tdc_mask_random3_ro0_ro6_pair_plus_sample,random3,pair_plus_sample,tdc_mask_random3_ro0_ro6_pair_only,1048576,1,6.62633309,6.51235686,13.2427202,0.0113382448,4,0.00028125261,0.0664215686,-0.07069617999999966,-0.1404829999999997,0.0005903148,4AD5412B343AA637AF24C8A9FA6C3E40180B2802E041C21F4D4A1AE896E41E2F,A46237DB4E98F5A4E8CAFD32E25707E32D19CD50A6EC013E25260D5FE521F461,46.0,1.000,does not reproduce all-data collapse; points away from this mode as sole cause
tdc_mask_random1_local_sample_ro0_ro1_pair_only,random1_local_sample,pair_only,tdc_mask_random1_ro0_ro1_pair_only,1048575,1,6.69899343,6.49785628,13.3871377,0.0106697286,4,-0.00163480604,0.0650759483,0.012607369999999563,0.024985199999999708,-0.0001869205000000016,486DDA0FA736BE506EA94F73EB1A314522009E998478B76D68FA54DFB5FE1360,4120A62D44B049426C169EBF9C3E02E3A4194D65E76AE0DB4B4E32BC7AA413C4,46.3,1.000,local-sample pair-only baseline remains non-locking
