label,source,window_index,packet_start,packet_end,packets,phase_diff_mean_ps,phase_diff_std_ps,phase_diff_autocorr_lag1,raw_diff_entropy,raw_same_diff_transition_ratio,raw_longest_same_diff_bin_run
random3_goodref_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup0._preopen_20260525.bin,7,28672,32767,4096,-8.23609327,1360.8929,-0.0220281602,5.81971197,0.021001221,3
random3_goodref_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,0,0,4095,4096,-50.6184011,1343.16531,-0.0144890869,5.84016693,0.02002442,3
random3_goodref_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,1,4096,8191,4096,-56.753098,1359.29972,-0.0148177776,5.83705272,0.0180708181,3
random3_goodref_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,2,8192,12287,4096,-19.3844135,1361.50032,-0.015267339,5.82900638,0.0202686203,3
random3_goodref_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,3,12288,16383,4096,-21.2008446,1333.83041,-0.000341082096,5.83443468,0.0207570208,2
random3_goodref_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,4,16384,20479,4096,-70.0212623,1345.00722,0.00196396653,5.85691528,0.0168498168,3
random3_goodref_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,5,20480,24575,4096,-31.0803868,1344.45859,0.00420031735,5.84214187,0.0212454212,3
random3_goodref_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,6,24576,28671,4096,24.4714798,1344.54996,0.0186499765,5.84457078,0.019047619,3
random3_goodref_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random3_goodref_ro0_clean32k_warmup12._preopen_20260525.bin,7,28672,32767,4096,-38.8826172,1357.82434,0.00792108095,5.84558186,0.0163614164,2
random1_sampler_local_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_sampler_local_ro0_clean32k_warmup0._preopen_20260525.bin,0,0,4095,4096,17.3470951,1352.14262,0.0239855477,5.88983578,0.0195360195,3
