"run","run_id","context","context_label","anchor","implementation","directive_tag","status","output_file","metadata_file","bitstream","dcp","error"
"restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_all640_original_run01_1000x125_strict_20260531","run01","heldout_sample_x36y35_regs_x45y31","heldout_x36y35","all640","original","","ok","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_all640_original_run01_1000x125_strict_20260531.bin","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_all640_original_run01_1000x125_strict_20260531.json","data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_all640_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_all640_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp",""
"restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_all640_explore1_run01_1000x125_strict_20260531","run01","heldout_sample_x36y35_regs_x45y31","heldout_x36y35","all640","explore1","explore1","ok","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_all640_explore1_run01_1000x125_strict_20260531.bin","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_all640_explore1_run01_1000x125_strict_20260531.json","data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_all640_explore1_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_all640_explore1_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp",""
"restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro0_original_run01_1000x125_strict_20260531","run01","heldout_sample_x36y35_regs_x45y31","heldout_x36y35","data_ro0","original","","ok","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro0_original_run01_1000x125_strict_20260531.bin","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro0_original_run01_1000x125_strict_20260531.json","data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro0_ipreuse_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro0_ipreuse_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp",""
"restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro0_explore1_run01_1000x125_strict_20260531","run01","heldout_sample_x36y35_regs_x45y31","heldout_x36y35","data_ro0","explore1","explore1","ok","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro0_explore1_run01_1000x125_strict_20260531.bin","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro0_explore1_run01_1000x125_strict_20260531.json","data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro0_explore1_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro0_explore1_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp",""
"restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro4_original_run01_1000x125_strict_20260531","run01","heldout_sample_x36y35_regs_x45y31","heldout_x36y35","data_ro4","original","","ok","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro4_original_run01_1000x125_strict_20260531.bin","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro4_original_run01_1000x125_strict_20260531.json","data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro4_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro4_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp",""
"restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro4_explore1_run01_1000x125_strict_20260531","run01","heldout_sample_x36y35_regs_x45y31","heldout_x36y35","data_ro4","explore1","explore1","ok","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro4_explore1_run01_1000x125_strict_20260531.bin","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_heldout_sample_x36y35_regs_x45y31_warmup10_data_ro4_explore1_run01_1000x125_strict_20260531.json","data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro4_explore1_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","data\vivado_runs\restart_reduced_xor_random1_heldout_sample_x36y35_regs_x45y31_formal_bits_1000x125_warmup10_data_ro4_explore1_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp",""
"restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_all640_original_run01_1000x125_strict_20260531","run01","second_heldout_sample_ro_local","sample_ro_local","all640","original","","ok","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_all640_original_run01_1000x125_strict_20260531.bin","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_all640_original_run01_1000x125_strict_20260531.json","data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_all640_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_all640_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp",""
"restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_all640_explore1_run01_1000x125_strict_20260531","run01","second_heldout_sample_ro_local","sample_ro_local","all640","explore1","explore1","ok","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_all640_explore1_run01_1000x125_strict_20260531.bin","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_all640_explore1_run01_1000x125_strict_20260531.json","data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_all640_explore1_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_all640_explore1_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp",""
"restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_data_ro0_original_run01_1000x125_strict_20260531","run01","second_heldout_sample_ro_local","sample_ro_local","data_ro0","original","","ok","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_data_ro0_original_run01_1000x125_strict_20260531.bin","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_data_ro0_original_run01_1000x125_strict_20260531.json","data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro0_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro0_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp",""
"restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_data_ro0_explore1_run01_1000x125_strict_20260531","run01","second_heldout_sample_ro_local","sample_ro_local","data_ro0","explore1","explore1","ok","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\raw\restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_data_ro0_explore1_run01_1000x125_strict_20260531.bin","data\hardware\20260529_fpga1_board2\restart_toolflow_sensitivity_20260531\metadata\restart_toolflow_random1_second_heldout_sample_ro_local_warmup10_data_ro0_explore1_run01_1000x125_strict_20260531.json","data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro0_explore1_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro0_explore1_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp",""
