window_index,byte_start,byte_end_exclusive,bytes,p1,bit_min_entropy,adjacent_equal_ratio
0,0,1048576,1048576,0.499789476395,0.999392685122,0.501836359720
1,1048576,2097152,1048576,0.499945282936,0.999842128565,0.501869201660
2,2097152,3145728,1048576,0.499632954597,0.998941319372,0.502276062965
3,3145728,4194304,1048576,0.499877810478,0.999647478638,0.501621842384
4,4194304,5242880,1048576,0.499770522118,0.999338018693,0.501766562462
5,5242880,6291456,1048576,0.499802589417,0.999430505877,0.501907348633
6,6291456,7340032,1048576,0.499757051468,0.999299168967,0.501540303230
7,7340032,8388608,1048576,0.499960780144,0.999886839854,0.501759886742
8,8388608,9437184,1048576,0.499708294868,0.999158562335,0.501887559891
9,9437184,10485760,1048576,0.500097632408,0.999718319918,0.502058267593
10,10485760,11534336,1048576,0.499773740768,0.999347301525,0.501784443855
11,11534336,12582912,1048576,0.499786853790,0.999385121090,0.501611590385
12,12582912,13631488,1048576,0.499945640564,0.999843160348,0.501850485802
13,13631488,14680064,1048576,0.499405980110,0.998287038234,0.501659154892
14,14680064,15728640,1048576,0.499769687653,0.999335612042,0.501836180687
15,15728640,16777216,1048576,0.499854087830,0.999579047890,0.501794219017
16,16777216,17825792,1048576,0.499926805496,0.999788820762,0.501743912697
17,17825792,18874368,1048576,0.499768972397,0.999333549202,0.502114534378
18,18874368,19922944,1048576,0.499658584595,0.999015219557,0.501292467117
19,19922944,20971520,1048576,0.499961972237,0.999890279241,0.501490354538
