label_a,label_b,group,net,pips_a,pips_b,nodes_a,nodes_b,route_changed,drivers_a,drivers_b,loads_a,loads_b
heldout_x36y35_data_ro4_original,heldout_x36y35_data_ro4_explore1,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/<const0>,924,924,977,977,False,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/GND,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/GND,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6
heldout_x36y35_data_ro4_original,heldout_x36y35_data_ro4_explore1,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/in0[0],5,5,6,6,False,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1,,
heldout_x36y35_data_ro4_original,heldout_x36y35_data_ro4_explore1,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0],37,37,38,38,False,,,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1
heldout_x36y35_data_ro4_original,heldout_x36y35_data_ro4_explore1,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6_0,56,56,57,57,False,,,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1
heldout_x36y35_data_ro4_original,heldout_x36y35_data_ro4_explore1,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/<const0>,924,924,977,977,False,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/GND,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/GND,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6
heldout_x36y35_data_ro4_original,heldout_x36y35_data_ro4_explore1,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/in0[0],37,37,38,38,False,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1,,
heldout_x36y35_data_ro4_original,heldout_x36y35_data_ro4_explore1,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/out[0],5,5,6,6,False,,,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1
heldout_x36y35_data_ro4_original,heldout_x36y35_data_ro4_explore1,data_ro_net,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/<const0>,924,924,977,977,False,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/GND,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/GND,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6
heldout_x36y35_data_ro4_original,heldout_x36y35_data_ro4_explore1,data_ro_net,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/in0[0],4,4,5,5,False,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1,,
heldout_x36y35_data_ro4_original,heldout_x36y35_data_ro4_explore1,data_ro_net,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/out[0],43,43,44,44,False,,,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1
