label,run,source,window_index,packet_start,packet_end,packets,entropy_a,entropy_b,entropy_diff,min_entropy_a,min_entropy_b,min_entropy_diff,transition_entropy_diff,same_diff_transition_ratio,longest_same_diff_bin_run,autocorr_diff_lag,diff_mean_bin,diff_std_bin
random3_goodref,tdc_reset_enable_random3_goodref_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro0_2mib.bin,2,42350,58733,16384,2.63822455,5.54221387,6.69421554,1.28962403,4.40381024,5.54467278,12.7414065,0.0104376488,3,-0.0100411284,0.0588989258,34.3047213
random3_goodref,tdc_reset_enable_random3_goodref_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro0_2mib.bin,3,58734,75117,16384,2.6756838,5.5413553,6.69922056,1.28082512,4.3670048,5.4150375,12.7509016,0.0103766099,2,-0.00335968845,0.153991699,34.2232015
random3_goodref,tdc_reset_enable_random3_goodref_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro0_2mib.bin,4,75118,91501,16384,2.63629739,5.53085931,6.68245956,1.28811797,4.29956028,5.45696818,12.7240164,0.0097051822,3,-0.0019003518,-0.109130859,34.1527575
random3_goodref,tdc_reset_enable_random3_goodref_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro0_2mib.bin,5,91502,107885,16384,2.66804986,5.53353297,6.68420005,1.30194652,4.28232358,5.43014439,12.7125815,0.0100103766,3,0.00450565708,-0.179931641,34.1946966
random3_goodref,tdc_reset_enable_random3_goodref_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro0_2mib.bin,6,107886,124269,16384,2.6555853,5.53736591,6.68866661,1.30869267,4.41316021,5.52021974,12.7266333,0.0111090765,3,-0.00928487574,-0.0824584961,34.2165599
random3_goodref,tdc_reset_enable_random3_goodref_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro0_2mib.bin,7,124270,140653,16384,2.70464312,5.52316417,6.68328312,1.31022037,4.31525138,5.49617426,12.7182847,0.011353232,3,0.00835593529,-0.129150391,34.0699887
random3_goodref,tdc_reset_enable_random3_goodref_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro0_2mib.bin,8,140654,157037,16384,2.65618653,5.54558541,6.69164176,1.30607751,4.35975506,5.51618422,12.7334803,0.010315571,3,0.00221392712,-0.174804688,34.1463626
random3_goodref,tdc_reset_enable_random3_goodref_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro0_2mib.bin,9,157038,173421,16384,2.69815839,5.52634308,6.68998534,1.31065715,4.42446075,5.51215997,12.7231376,0.0116584264,3,-0.00226550523,-0.0170288086,34.3165802
random3_goodref,tdc_reset_enable_random3_goodref_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro0_2mib.bin,10,173422,189805,16384,2.69278311,5.54467896,6.69536328,1.30086137,4.32228036,5.44541115,12.7254786,0.0120856986,2,-0.00165521267,-0.101318359,34.122818
random3_goodref,tdc_reset_enable_random3_goodref_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro0_2mib.bin,11,189806,206189,16384,2.70256278,5.54274562,6.69592833,1.32008012,4.41691723,5.52426657,12.7440769,0.010864921,3,-0.000190021319,-0.494995117,34.3053346
random3_goodref,tdc_reset_enable_random3_goodref_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro0_2mib.bin,12,206190,222573,16384,2.6452419,5.53851003,6.6852445,1.3119683,4.43014439,5.54467278,12.7214059,0.0117194653,3,0.00673860539,-0.529907227,34.2276163
random3_goodref,tdc_reset_enable_random3_goodref_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro0_2mib.bin,13,222574,238957,16384,2.65073331,5.53789972,6.69143292,1.26338667,4.39452048,5.50414497,12.7308177,0.0116584264,3,0.00974877624,0.542236328,34.2722553
random3_goodref,tdc_reset_enable_random3_goodref_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro0_2mib.bin,14,238958,255341,16384,2.64097674,5.53015804,6.68267574,1.3119683,4.3364419,5.49617426,12.7178486,0.0101934933,3,-0.00278977384,-0.335693359,34.140004
random3_goodref,tdc_reset_enable_random3_goodref_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random3_goodref_ro0_2mib.bin,15,255342,262142,6801,2.64447511,5.53245565,6.67635921,1.29846741,4.40960308,5.45540677,12.0622762,0.00897058824,2,-0.00847460571,-0.149830907,34.4049935
random1_sampler_local,tdc_reset_enable_random1_sampler_local_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro0_2mib.bin,0,9644,26027,16384,2.71993711,5.62163591,6.71720843,1.33133658,4.490225,5.41128536,12.7510062,0.0108038821,3,-0.00499567243,-0.520141602,35.7508993
random1_sampler_local,tdc_reset_enable_random1_sampler_local_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro0_2mib.bin,1,26028,42411,16384,2.70281769,5.60931299,6.7133048,1.30542446,4.50614455,5.35254157,12.7464401,0.0105597265,3,0.00339536137,-1.31781006,36.0060289
random1_sampler_local,tdc_reset_enable_random1_sampler_local_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro0_2mib.bin,2,42412,58795,16384,2.6602984,5.61420172,6.71911236,1.32426344,4.52426657,5.41879942,12.753128,0.0117194653,3,-0.00700830401,-0.418273926,36.0545161
random1_sampler_local,tdc_reset_enable_random1_sampler_local_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro0_2mib.bin,3,58796,75179,16384,2.69326323,5.62307552,6.71466765,1.32868009,4.54056838,5.32757466,12.7595555,0.0110480376,3,0.0108966743,-0.565307617,35.6065484
random1_sampler_local,tdc_reset_enable_random1_sampler_local_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro0_2mib.bin,4,75180,91563,16384,2.68388903,5.61066982,6.71056591,1.30673086,4.490225,5.3889752,12.7372383,0.0107428432,3,0.005764231,-0.930541992,35.9930858
random1_sampler_local,tdc_reset_enable_random1_sampler_local_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro0_2mib.bin,5,91564,107947,16384,2.67846918,5.62016607,6.71714181,1.29415166,4.52021974,5.41128536,12.7604135,0.0111090765,3,-0.000451075073,-1.13775635,35.6963002
random1_sampler_local,tdc_reset_enable_random1_sampler_local_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro0_2mib.bin,6,107948,124331,16384,2.66431566,5.61645838,6.71845388,1.30411925,4.43966717,5.38529016,12.7535219,0.0106207654,3,-0.00146676854,-1.17443848,35.9706669
random1_sampler_local,tdc_reset_enable_random1_sampler_local_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro0_2mib.bin,7,124332,140715,16384,2.70342418,5.60142467,6.71068969,1.34446928,4.5081469,5.44157929,12.7523505,0.0114753098,2,-0.0134883659,-0.103149414,36.0240935
random1_sampler_local,tdc_reset_enable_random1_sampler_local_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro0_2mib.bin,8,140716,157099,16384,2.64639111,5.61331318,6.70195844,1.3023808,4.52224173,5.35614381,12.7353188,0.010315571,3,-0.00198951526,-0.596801758,35.8602315
random1_sampler_local,tdc_reset_enable_random1_sampler_local_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro0_2mib.bin,9,157100,173483,16384,2.69191318,5.62230064,6.71281952,1.33155817,4.57793523,5.3816145,12.7524593,0.0101324544,2,0.00475390309,-0.750854492,35.8234163
random1_sampler_local,tdc_reset_enable_random1_sampler_local_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro0_2mib.bin,10,173484,189867,16384,2.67759563,5.60714193,6.7088551,1.3108756,4.52426657,5.40754296,12.7455796,0.0126960874,3,-0.00462278418,-1.05029297,35.9216855
random1_sampler_local,tdc_reset_enable_random1_sampler_local_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro0_2mib.bin,11,189868,206251,16384,2.67662774,5.59616708,6.70615492,1.30673086,4.52832479,5.32404297,12.7362381,0.0114142709,3,0.0128391745,-0.830810547,35.8701319
random1_sampler_local,tdc_reset_enable_random1_sampler_local_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro0_2mib.bin,12,206252,222635,16384,2.67077983,5.61498192,6.71912265,1.30021068,4.58637207,5.35614381,12.7626358,0.0103766099,3,0.00722458589,-0.85723877,35.9528701
random1_sampler_local,tdc_reset_enable_random1_sampler_local_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro0_2mib.bin,13,222636,239019,16384,2.704786,5.61412749,6.71562607,1.31284306,4.54878889,5.28232358,12.7480316,0.0114753098,3,-0.00993040185,-0.785766602,35.588129
random1_sampler_local,tdc_reset_enable_random1_sampler_local_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro0_2mib.bin,14,239020,255403,16384,2.70347339,5.60604433,6.7026599,1.32161993,4.55498515,5.43394596,12.738971,0.010315571,3,0.00357727822,-0.66027832,35.7626061
random1_sampler_local,tdc_reset_enable_random1_sampler_local_ro0_2mib,data\hardware\20260511_fpga1_board1\tdc_reset_enable\tdc_reset_enable_random1_sampler_local_ro0_2mib.bin,15,255404,262142,6739,2.66847016,5.61590677,6.71740764,1.29048221,4.4703913,5.3519966,12.0819262,0.00994360344,3,-0.0330403492,-0.497551566,35.9109679
