"run","status","error","priority","bytes_expected","bytes_captured","first_16_bytes_hex","capture","capture_sha256","bitstream","bitstream_sha256","notes"
"restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526","completed","","P1","125008","125008","A55A03E8007D01D0E31A6A04AC173243","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.bin","84EDE50A8A16E2B2444D1549DE9E6F452E9042E5DE46CDE0E7EBACEB4C4A8B96","data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup5_except_data_ro0_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","EBE44DCEA352B6B6B44B924173315644C4191FA414789793BB331018C8567330","reduced_xor variant=sampler_island_local warmup=5 mode=except_data_ro index=0"
"restart_reduced_xor_random1_sampler_island_local_warmup11_except_data_ro0_1000x125_strict_20260526","completed","","P1","125008","125008","A55A03E8007D01D02F6443BACE97F4FC","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\restart_reduced_xor_random1_sampler_island_local_warmup11_except_data_ro0_1000x125_strict_20260526.bin","93AB1DC61FF097D1D017BEC091276F48DE6C7BDFB86487393EDB7E991DD20CDD","data\vivado_runs\restart_reduced_xor_random1_sampler_island_local_formal_bits_1000x125_warmup11_except_data_ro0_header_delay60s\RO_TRNG_restart_reduced_xor_top.bit","165AAB152F518AC4F9E3BC11C093D63A74525E43617BCD80235A68BA72CD6309","reduced_xor variant=sampler_island_local warmup=11 mode=except_data_ro index=0"
