"run","status","warmup","capture","capture_bytes","capture_sha256","packed_body","packed_sha256","bitstream","bitstream_sha256","header_bytes","xadc_mode","xadc_after_status","xadc_after_temperature_c","overall_p1","overall_min_entropy","row_ones_std","worst_byte_index","worst_bit_index","worst_x","worst_p1","column_summary_json"
"restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run02_20260525","completed","5","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart_fifo_diag\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run02_20260525.bin","125016","8A980D32DDADDBA678C4B5A64B715A3C53291605D0F3C94E67772068A9C69DDC","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_fifo_diag_20260525\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run02_20260525.send_packed.bin","7E45D2883DD8624A93CF10394AD7D0DA4420A0C67BD76B4290DC2BDF5820115C","data\vivado_runs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125\RO_TRNG_restart_fifo_compact_diag_top.bit","D2A092A698F3185AB1A969C83792A0FF6AA2A684A48074E76EE53C766AC394E7","16","after_only","ok","46.5","0.373541000","0.674708003","16.146278797","1","2","792","0.208000000","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_fifo_diag_20260525\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run02_20260525.column_analysis\summary.json"
"restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_run02_20260528","completed","11","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart_fifo_diag\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_run02_20260528.bin","125016","22242E327A1320FE5D458FD995A097994D22CFAE4042F52F62C1BF71663ED0B2","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_fifo_diag_20260525\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_run02_20260528.send_packed.bin","C82F1E8C13FFFDA7194BEEFDA3317E39A3E6636521920E7385EAB967F911CEE3","data\vivado_runs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125\RO_TRNG_restart_fifo_compact_diag_top.bit","E5E133A13C197402CA1ED842F37D32A78577DF06AB77DCB66C9CA114A55900E0","16","after_only","ok","40.7","0.461135000","0.892004210","15.397752271","26","0","588","0.412000000","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_fifo_diag_20260525\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_run02_20260528.column_analysis\summary.json"
"restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run03_20260528","completed","5","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart_fifo_diag\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run03_20260528.bin","125016","64ED91314037BD8EB6CE53B230C539D42BE2C0ABB1120E315286E93AFE13761B","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_fifo_diag_20260525\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run03_20260528.send_packed.bin","096EA004DA54EC2AA7972E5905C412DC66A54AC63A3709D1897114E7C2893D14","data\vivado_runs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125\RO_TRNG_restart_fifo_compact_diag_top.bit","D2A092A698F3185AB1A969C83792A0FF6AA2A684A48074E76EE53C766AC394E7","16","after_only","ok","42.8","0.371751000","0.670591625","15.668088556","2","5","745","0.255000000","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_fifo_diag_20260525\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run03_20260528.column_analysis\summary.json"
"restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_run03_20260528","completed","4","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart_fifo_diag\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_run03_20260528.bin","125016","1EEEF2FA9D4B89A2CD95645EC2AFF08D11207E2A8DDEE60643BF41ACA21DACED","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_fifo_diag_20260525\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_run03_20260528.send_packed.bin","8AEF145052A04159E00A2ACCF97484BD3025F14DE7AD3E3A1B71797043FFB675","data\vivado_runs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125\RO_TRNG_restart_fifo_compact_diag_top.bit","1024CF7CA09BBDFAE6A88783B316B45B40ABE7315C01506B75A4FDB3A29A5C10","16","after_only","ok","45.2","0.378757000","0.686770404","16.246351929","2","0","752","0.248000000","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_fifo_diag_20260525\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_run03_20260528.column_analysis\summary.json"
