label,byte_index,byte_phase_mod8,ones,zeros,p1,abs_bias,entropy,min_entropy
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,64,0,4008,3992,0.501000000,0.001000000,0.999997115,0.997117491
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,65,1,3977,4023,0.497125000,0.002875000,0.999976150,0.991728262
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,66,2,3904,4096,0.488000000,0.012000000,0.999584464,0.965784285
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,67,3,4024,3976,0.503000000,0.003000000,0.999974031,0.991369695
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,68,4,4009,3991,0.501125000,0.001125000,0.999996348,0.996757583
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,69,5,3957,4043,0.494625000,0.005375000,0.999916638,0.984573796
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,70,6,4030,3970,0.503750000,0.003750000,0.999959424,0.989220161
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,71,7,3930,4070,0.491250000,0.008750000,0.999779076,0.974971206
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,72,0,4017,3983,0.502125000,0.002125000,0.999986971,0.993881539
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,73,1,4061,3939,0.507625000,0.007625000,0.999832235,0.978164973
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,74,2,4025,3975,0.503125000,0.003125000,0.999971822,0.991011217
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,75,3,3985,4015,0.498125000,0.001875000,0.999989856,0.994600012
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,76,4,3949,4051,0.493625000,0.006375000,0.999882733,0.981721915
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,77,5,4001,3999,0.500125000,0.000125000,0.999999955,0.999639371
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,78,6,4039,3961,0.504875000,0.004875000,0.999931426,0.986001854
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,79,7,3953,4047,0.494125000,0.005875000,0.999900407,0.983147151
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,80,0,3988,4012,0.498500000,0.001500000,0.999993508,0.995678394
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,81,1,3981,4019,0.497625000,0.002375000,0.999983725,0.993163423
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,82,2,4000,4000,0.500000000,0.000000000,1.000000000,1.000000000
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,83,3,4005,3995,0.500625000,0.000625000,0.999998873,0.998197757
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,84,4,4065,3935,0.508125000,0.008125000,0.999809511,0.976744648
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,85,5,4012,3988,0.501500000,0.001500000,0.999993508,0.995678394
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,86,6,3963,4037,0.495375000,0.004625000,0.999938279,0.986716413
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,87,7,4030,3970,0.503750000,0.003750000,0.999959424,0.989220161
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,88,0,3986,4014,0.498250000,0.001750000,0.999991163,0.994959383
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,89,1,3967,4033,0.495875000,0.004125000,0.999950903,0.988146594
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,90,2,4053,3947,0.506625000,0.006625000,0.999873355,0.981009825
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,91,3,4077,3923,0.509625000,0.009625000,0.999732679,0.972492043
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,92,4,4025,3975,0.503125000,0.003125000,0.999971822,0.991011217
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,93,5,4009,3991,0.501125000,0.001125000,0.999996348,0.996757583
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,94,6,3958,4042,0.494750000,0.005250000,0.999920470,0.984930678
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,95,7,3998,4002,0.499750000,0.000250000,0.999999820,0.999278833
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,96,0,3978,4022,0.497250000,0.002750000,0.999978179,0.992086918
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,97,1,3989,4011,0.498625000,0.001375000,0.999994545,0.996038034
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,98,2,4037,3963,0.504625000,0.004625000,0.999938279,0.986716413
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,99,3,3955,4045,0.494375000,0.005625000,0.999908703,0.983860297
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,100,4,3948,4052,0.493500000,0.006500000,0.999878089,0.981365826
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,101,5,3996,4004,0.499500000,0.000500000,0.999999279,0.998558026
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,102,6,4078,3922,0.509750000,0.009750000,0.999725690,0.972138225
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,103,7,3944,4056,0.493000000,0.007000000,0.999858611,0.979942348
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,104,0,4028,3972,0.503500000,0.003500000,0.999964654,0.989936317
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,105,1,3956,4044,0.494500000,0.005500000,0.999912715,0.984217003
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,106,2,3991,4009,0.498875000,0.001125000,0.999996348,0.996757583
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,107,3,3989,4011,0.498625000,0.001375000,0.999994545,0.996038034
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,108,4,3999,4001,0.499875000,0.000125000,0.999999955,0.999639371
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,109,5,3979,4021,0.497375000,0.002625000,0.999980118,0.992445664
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,110,6,3969,4031,0.496125000,0.003875000,0.999956674,0.988862217
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,111,7,4009,3991,0.501125000,0.001125000,0.999996348,0.996757583
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,112,0,4030,3970,0.503750000,0.003750000,0.999959424,0.989220161
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,113,1,3956,4044,0.494500000,0.005500000,0.999912715,0.984217003
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,114,2,3988,4012,0.498500000,0.001500000,0.999993508,0.995678394
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,115,3,4066,3934,0.508250000,0.008250000,0.999803604,0.976389785
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,116,4,3955,4045,0.494375000,0.005625000,0.999908703,0.983860297
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,117,5,4035,3965,0.504375000,0.004375000,0.999944771,0.987431326
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,118,6,4019,3981,0.502375000,0.002375000,0.999983725,0.993163423
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,119,7,4124,3876,0.515500000,0.015500000,0.999306674,0.955955667
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,120,0,4052,3948,0.506500000,0.006500000,0.999878089,0.981365826
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,121,1,3969,4031,0.496125000,0.003875000,0.999956674,0.988862217
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,122,2,3995,4005,0.499375000,0.000625000,0.999998873,0.998197757
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,123,3,3930,4070,0.491250000,0.008750000,0.999779076,0.974971206
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525.send_packed,124,4,3976,4024,0.497000000,0.003000000,0.999974031,0.991369695
