"run_id","warmup","restart_count","row_bytes","bitstream","capture","capture_sha256","packed_sha256","overall_p1","row_ones_std","worst_byte_index","worst_bit_index","worst_p1","worst_x","summary_md","column_dir"
"restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run01_20260525","5","1000","125","E:\Project\MLDSA\RO_TRNG\data\vivado_runs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125\RO_TRNG_restart_fifo_compact_diag_top.bit","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart_fifo_diag\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run01_20260525.bin","AF82E88A362F51624C88ACB63A23B7574A4245062E894A3DA1D47E962199BB85","ABF3BF6B847CCE468C01592EAC575BFABD67D1E26451FE595D6EE71A40BBB4B7","0.373430000","15.638257576","2","2","0.243000000","757","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_fifo_diag_20260525\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run01_20260525.summary.md","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_fifo_diag_20260525\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run01_20260525.column_analysis"
"restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_run01_20260525","11","1000","125","E:\Project\MLDSA\RO_TRNG\data\vivado_runs\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125\RO_TRNG_restart_fifo_compact_diag_top.bit","E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart_fifo_diag\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_run01_20260525.bin","714C29CB96098DF231C0D0FEAEB8C49CEFFC745A1E73AFE1F66D03381C8FB37C","3663963D27F6C5F4682E7E45278CE6D710E2E8A4B39E80A09C24E455FAA08AC7","0.464819000","16.116830923","18","4","0.424000000","576","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_fifo_diag_20260525\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_run01_20260525.summary.md","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_fifo_diag_20260525\restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_run01_20260525.column_analysis"
