placement,warmup_bytes,repeat_tag,bit_order,ea_status,h_i,x_cutoff,x_max,h_r,h_c,min_h,overall_p1,positions_over_x_cutoff,worst_byte_index,worst_bit_index,worst_x,worst_msb_expanded_column,worst_lsb_expanded_column,board_id,xadc_status,xadc_before_temperature_c,xadc_after_temperature_c,xadc_temperature_delta_c,ea_run,ea_stdout,column_summary,row_ones_mean,row_ones_std,worst_ones,worst_zeros,worst_p1,restart_input_file,restart_input_sha256,xadc_after_vccint_v,xadc_after_vccaux_v,xadc_after_vccbram_v,capture_start_time,capture_end_time,capture_output_sha256,capture_metadata,paper_use
random1,11,contrast01_20260522,lsb,passed,0.383737,824,562,0.838977,0.870069,0.383737,0.500771,0,5,2,562,45,42,z7020_b01,ok,43.8,44.4,0.6,random1_warmup11_contrast01_20260522_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_warmup11_contrast01_20260522_lsb_20260515\random1_warmup11_contrast01_20260522_lsb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random1_formal_bits_warmup11_contrast01_20260522\summary.json,500.771,15.32222434896448,562,438,0.562000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_contrast01_20260522_20260515.bin,FCCC48FAC20D9DC1B0B54042AF3B3746DDC8E85598F79EDB41E3E06BE6C746F3,1.000,1.795,1.000,2026-05-22 08:14:18,2026-05-22 08:18:14,FCCC48FAC20D9DC1B0B54042AF3B3746DDC8E85598F79EDB41E3E06BE6C746F3,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_contrast01_20260522_20260515.metadata.json,candidate
random1,11,contrast01_20260522,msb,passed,0.385385,822,562,0.833981,0.861961,0.385385,0.500771,0,5,2,562,45,42,z7020_b01,ok,43.8,44.4,0.6,random1_warmup11_contrast01_20260522_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_warmup11_contrast01_20260522_msb_20260515\random1_warmup11_contrast01_20260522_msb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random1_formal_bits_warmup11_contrast01_20260522\summary.json,500.771,15.32222434896448,562,438,0.562000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_contrast01_20260522_20260515.bin,FCCC48FAC20D9DC1B0B54042AF3B3746DDC8E85598F79EDB41E3E06BE6C746F3,1.000,1.795,1.000,2026-05-22 08:14:18,2026-05-22 08:18:14,FCCC48FAC20D9DC1B0B54042AF3B3746DDC8E85598F79EDB41E3E06BE6C746F3,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_contrast01_20260522_20260515.metadata.json,candidate
random1,12,contrast01_20260522,lsb,passed,0.383737,824,620,0.758853,0.780476,0.383737,0.472993,0,1,6,620,9,14,z7020_b01,ok,44.7,44.9,0.2,random1_warmup12_contrast01_20260522_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_warmup12_contrast01_20260522_lsb_20260515\random1_warmup12_contrast01_20260522_lsb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random1_formal_bits_warmup12_contrast01_20260522\summary.json,472.993,15.745759778429239,380,620,0.380000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_contrast01_20260522_20260515.bin,445F0B8E682BFA909FBD3515228306B767AC7FC321BD24031E02B157E81524D6,1.000,1.795,1.000,2026-05-22 08:23:03,2026-05-22 08:27:16,445F0B8E682BFA909FBD3515228306B767AC7FC321BD24031E02B157E81524D6,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_contrast01_20260522_20260515.metadata.json,candidate
random1,12,contrast01_20260522,msb,passed,0.385385,822,620,0.813980,0.785876,0.385385,0.472993,0,1,6,620,9,14,z7020_b01,ok,44.7,44.9,0.2,random1_warmup12_contrast01_20260522_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_warmup12_contrast01_20260522_msb_20260515\random1_warmup12_contrast01_20260522_msb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random1_formal_bits_warmup12_contrast01_20260522\summary.json,472.993,15.745759778429239,380,620,0.380000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_contrast01_20260522_20260515.bin,445F0B8E682BFA909FBD3515228306B767AC7FC321BD24031E02B157E81524D6,1.000,1.795,1.000,2026-05-22 08:23:03,2026-05-22 08:27:16,445F0B8E682BFA909FBD3515228306B767AC7FC321BD24031E02B157E81524D6,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_contrast01_20260522_20260515.metadata.json,candidate
random3,8,run01,lsb,failed,0.828444,632,721,,,,0.374385,893,2,2,721,21,18,,missing,,,,random3_warmup8_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup8_lsb_20260515\random3_warmup8_lsb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random3_formal_bits_warmup8\summary.json,374.385,15.524843799536278,279,721,0.279000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_20260515.bin,4ECD7CCE25B950BE4F1B6715BD877B2D7A4CA1286D04B6B397D2BC0FB4357423,,,,2026-05-15 01:35:33,2026-05-15 01:37:46,4ECD7CCE25B950BE4F1B6715BD877B2D7A4CA1286D04B6B397D2BC0FB4357423,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_20260515.metadata.json,candidate
random3,8,run01,msb,failed,0.902345,605,721,,,,0.374385,893,2,2,721,21,18,,missing,,,,random3_warmup8_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup8_msb_20260515\random3_warmup8_msb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random3_formal_bits_warmup8\summary.json,374.385,15.524843799536278,279,721,0.279000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_20260515.bin,4ECD7CCE25B950BE4F1B6715BD877B2D7A4CA1286D04B6B397D2BC0FB4357423,,,,2026-05-15 01:35:33,2026-05-15 01:37:46,4ECD7CCE25B950BE4F1B6715BD877B2D7A4CA1286D04B6B397D2BC0FB4357423,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_20260515.metadata.json,candidate
random3,10,repeat02,lsb,failed,0.828444,632,633,,,,0.415849,89,6,0,633,55,48,,missing,,,,random3_warmup10_repeat02_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup10_repeat02_lsb_20260515\random3_warmup10_repeat02_lsb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random3_formal_bits_warmup10_repeat02\summary.json,415.849,16.044132852853096,367,633,0.367000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat02_20260515.bin,743E2A6536BFFAADDBFEE8F45FFE8DE4D14734504118CAFB3D3DAB7A2A1C7CAD,,,,2026-05-15 02:44:13,2026-05-15 02:46:21,743E2A6536BFFAADDBFEE8F45FFE8DE4D14734504118CAFB3D3DAB7A2A1C7CAD,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat02_20260515.metadata.json,candidate
random3,10,repeat02,msb,failed,0.902345,605,633,,,,0.415849,89,6,0,633,55,48,,missing,,,,random3_warmup10_repeat02_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup10_repeat02_msb_20260515\random3_warmup10_repeat02_msb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random3_formal_bits_warmup10_repeat02\summary.json,415.849,16.044132852853096,367,633,0.367000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat02_20260515.bin,743E2A6536BFFAADDBFEE8F45FFE8DE4D14734504118CAFB3D3DAB7A2A1C7CAD,,,,2026-05-15 02:44:13,2026-05-15 02:46:21,743E2A6536BFFAADDBFEE8F45FFE8DE4D14734504118CAFB3D3DAB7A2A1C7CAD,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat02_20260515.metadata.json,candidate
random3,10,repeat03_20260522,lsb,failed,0.828444,632,640,,,,0.414384,108,1,6,631,9,14,z7020_b01,ok,45.2,45.2,0,random3_warmup10_repeat03_20260522_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup10_repeat03_20260522_lsb_20260515\random3_warmup10_repeat03_20260522_lsb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random3_formal_bits_warmup10_repeat03_20260522\summary.json,414.384,15.996266564420587,369,631,0.369000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat03_20260522_20260515.bin,7137FCE666E125EE580295C24FFCE61E9D1212C580DCB99E473174A117D5E7C2,1.000,1.796,1.000,2026-05-22 08:31:40,2026-05-22 08:35:26,7137FCE666E125EE580295C24FFCE61E9D1212C580DCB99E473174A117D5E7C2,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat03_20260522_20260515.metadata.json,candidate
random3,10,repeat03_20260522,msb,failed,0.902345,605,640,,,,0.414384,108,1,6,631,9,14,z7020_b01,ok,45.2,45.2,0,random3_warmup10_repeat03_20260522_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random3_warmup10_repeat03_20260522_msb_20260515\random3_warmup10_repeat03_20260522_msb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random3_formal_bits_warmup10_repeat03_20260522\summary.json,414.384,15.996266564420587,369,631,0.369000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat03_20260522_20260515.bin,7137FCE666E125EE580295C24FFCE61E9D1212C580DCB99E473174A117D5E7C2,1.000,1.796,1.000,2026-05-22 08:31:40,2026-05-22 08:35:26,7137FCE666E125EE580295C24FFCE61E9D1212C580DCB99E473174A117D5E7C2,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat03_20260522_20260515.metadata.json,candidate
