file,name,capture_id,placement,run,sample_role,bytes,bits,ones,p1,abs_bias,bit_min_entropy,adjacent_equal,lag1_phi,lag1_n00,lag1_n01,lag1_n10,lag1_n11,bitpos0_p1,bitpos0_bias,bitpos1_p1,bitpos1_bias,bitpos2_p1,bitpos2_bias,bitpos3_p1,bitpos3_bias,bitpos4_p1,bitpos4_bias,bitpos5_p1,bitpos5_bias,bitpos6_p1,bitpos6_bias,bitpos7_p1,bitpos7_bias,bytepos_mod16_max_abs_bias,bytepos_mod16_max_abs_bias_slot,bytepos_mod16_span_p1,bytepos_mod16_00_p1,bytepos_mod16_00_bias,bytepos_mod16_01_p1,bytepos_mod16_01_bias,bytepos_mod16_02_p1,bytepos_mod16_02_bias,bytepos_mod16_03_p1,bytepos_mod16_03_bias,bytepos_mod16_04_p1,bytepos_mod16_04_bias,bytepos_mod16_05_p1,bytepos_mod16_05_bias,bytepos_mod16_06_p1,bytepos_mod16_06_bias,bytepos_mod16_07_p1,bytepos_mod16_07_bias,bytepos_mod16_08_p1,bytepos_mod16_08_bias,bytepos_mod16_09_p1,bytepos_mod16_09_bias,bytepos_mod16_10_p1,bytepos_mod16_10_bias,bytepos_mod16_11_p1,bytepos_mod16_11_bias,bytepos_mod16_12_p1,bytepos_mod16_12_bias,bytepos_mod16_13_p1,bytepos_mod16_13_bias,bytepos_mod16_14_p1,bytepos_mod16_14_bias,bytepos_mod16_15_p1,bytepos_mod16_15_bias,bytepos_mod32_max_abs_bias,bytepos_mod32_max_abs_bias_slot,bytepos_mod32_span_p1,bytepos_mod32_00_p1,bytepos_mod32_00_bias,bytepos_mod32_01_p1,bytepos_mod32_01_bias,bytepos_mod32_02_p1,bytepos_mod32_02_bias,bytepos_mod32_03_p1,bytepos_mod32_03_bias,bytepos_mod32_04_p1,bytepos_mod32_04_bias,bytepos_mod32_05_p1,bytepos_mod32_05_bias,bytepos_mod32_06_p1,bytepos_mod32_06_bias,bytepos_mod32_07_p1,bytepos_mod32_07_bias,bytepos_mod32_08_p1,bytepos_mod32_08_bias,bytepos_mod32_09_p1,bytepos_mod32_09_bias,bytepos_mod32_10_p1,bytepos_mod32_10_bias,bytepos_mod32_11_p1,bytepos_mod32_11_bias,bytepos_mod32_12_p1,bytepos_mod32_12_bias,bytepos_mod32_13_p1,bytepos_mod32_13_bias,bytepos_mod32_14_p1,bytepos_mod32_14_bias,bytepos_mod32_15_p1,bytepos_mod32_15_bias,bytepos_mod32_16_p1,bytepos_mod32_16_bias,bytepos_mod32_17_p1,bytepos_mod32_17_bias,bytepos_mod32_18_p1,bytepos_mod32_18_bias,bytepos_mod32_19_p1,bytepos_mod32_19_bias,bytepos_mod32_20_p1,bytepos_mod32_20_bias,bytepos_mod32_21_p1,bytepos_mod32_21_bias,bytepos_mod32_22_p1,bytepos_mod32_22_bias,bytepos_mod32_23_p1,bytepos_mod32_23_bias,bytepos_mod32_24_p1,bytepos_mod32_24_bias,bytepos_mod32_25_p1,bytepos_mod32_25_bias,bytepos_mod32_26_p1,bytepos_mod32_26_bias,bytepos_mod32_27_p1,bytepos_mod32_27_bias,bytepos_mod32_28_p1,bytepos_mod32_28_bias,bytepos_mod32_29_p1,bytepos_mod32_29_bias,bytepos_mod32_30_p1,bytepos_mod32_30_bias,bytepos_mod32_31_p1,bytepos_mod32_31_bias,longest_zero_run,longest_one_run,runs_total,runs_len1,runs_len2,runs_len3,runs_len4,runs_len5_8,runs_len9_16,runs_len17_32,runs_len_gt32,runs_len1_fraction
data\hardware\20260511_fpga1_board1\trng\checker_repeat03_20mib.bin,checker_repeat03_20mib.bin,checker_repeat03_20mib,checker,03,repeat,20971520,167772160,83867805,0.499891072512,0.000108927488327,0.999685735936,0.500038537383,7.70273120796e-05,41964547,41939807,41939807,41927998,0.500074958801,7.49588012695e-05,0.499868583679,-0.000131416320801,0.49999165535,-8.34465026855e-06,0.499857807159,-0.000142192840576,0.499740457535,-0.00025954246521,0.499879837036,-0.000120162963867,0.49989233017,-0.000107669830322,0.499822950363,-0.000177049636841,0.000426578521729,1,0.000535202026367,0.499902248383,-9.77516174316e-05,0.499573421478,-0.000426578521729,0.499852752686,-0.000147247314453,0.499844074249,-0.000155925750732,0.500075244904,7.52449035645e-05,0.499683380127,-0.000316619873047,0.49987487793,-0.000125122070313,0.499802970886,-0.00019702911377,0.499681377411,-0.000318622589111,0.500108623505,0.000108623504639,0.500005722046,5.72204589844e-06,0.500060558319,6.05583190918e-05,0.499906921387,-9.30786132812e-05,0.500009441376,9.44137573244e-06,0.500021362305,2.13623046875e-05,0.499854183197,-0.000145816802979,0.000556755065918,1,0.00104827880859,0.499996185303,-3.81469726562e-06,0.499443244934,-0.000556755065918,0.499892234802,-0.000107765197754,0.499870872498,-0.000129127502441,0.499938583374,-6.14166259766e-05,0.499731063843,-0.000268936157227,0.499951934814,-4.80651855469e-05,0.499661827087,-0.000338172912598,0.49983291626,-0.000167083740234,0.500041389465,4.13894653321e-05,0.500168037415,0.000168037414551,0.500218963623,0.000218963623047,0.499809837341,-0.000190162658691,0.499905014038,-9.4985961914e-05,0.499551200867,-0.000448799133301,0.49969291687,-0.000307083129883,0.499808311462,-0.000191688537598,0.499703598022,-0.000296401977539,0.499813270569,-0.000186729431152,0.499817276001,-0.000182723999023,0.500211906433,0.000211906433105,0.499635696411,-0.000364303588867,0.499797821045,-0.000202178955078,0.499944114685,-5.58853149414e-05,0.499529838562,-0.000470161437988,0.500175857544,0.000175857543945,0.499843406677,-0.000156593322754,0.499902153015,-9.78469848633e-05,0.500004005432,4.00543212886e-06,0.500113868713,0.000113868713379,0.500491523743,0.000491523742676,0.500015449524,1.54495239257e-05,25,25,83879615,41940809,20964939,10483181,5247713,4914873,326710,1390,0,0.500011939731
data\hardware\20260511_fpga1_board1\trng\compact_repeat03_20mib.bin,compact_repeat03_20mib.bin,compact_repeat03_20mib,compact,03,repeat,20971520,167772160,83884320,0.499989509583,1.04904174805e-05,0.999969731371,0.49997420609,-5.15882605787e-05,41942636,41945204,41945203,41939116,0.499793481827,-0.000206518173218,0.500146961212,0.000146961212158,0.49994301796,-5.69820404053e-05,0.499934434891,-6.55651092529e-05,0.500038099289,3.80992889404e-05,0.500033140182,3.31401824951e-05,0.500016736984,1.6736984253e-05,0.500010204315,1.02043151855e-05,0.000359535217285,0,0.000627899169922,0.500359535217,0.000359535217285,0.500018215179,1.82151794433e-05,0.499731636047,-0.000268363952637,0.500111293793,0.000111293792725,0.499893665314,-0.000106334686279,0.500005149841,5.14984130862e-06,0.499963855743,-3.61442565918e-05,0.499825286865,-0.000174713134766,0.499823379517,-0.000176620483398,0.500028896332,2.88963317872e-05,0.499935626984,-6.43730163574e-05,0.500089550018,8.95500183106e-05,0.500256443024,0.000256443023682,0.499882507324,-0.000117492675781,0.499970626831,-2.93731689453e-05,0.499936485291,-6.35147094726e-05,0.000461196899414,16,0.000856590270996,0.500257873535,0.000257873535156,0.499908638,-9.13619995117e-05,0.499858665466,-0.000141334533691,0.499855995178,-0.000144004821777,0.499754905701,-0.000245094299316,0.499944114685,-5.58853149414e-05,0.500200271606,0.000200271606445,0.499851608276,-0.000148391723633,0.499760246277,-0.000239753723145,0.500029945374,2.99453735352e-05,0.500086021423,8.60214233398e-05,0.500250434875,0.000250434875488,0.50016040802,0.000160408020019,0.499971580505,-2.84194946289e-05,0.500231933594,0.00023193359375,0.50004901886,4.90188598633e-05,0.500461196899,0.000461196899414,0.500127792358,0.000127792358398,0.499604606628,-0.000395393371582,0.500366592407,0.000366592407227,0.500032424927,3.24249267578e-05,0.500066184998,6.61849975586e-05,0.49972743988,-0.000272560119629,0.499798965454,-0.000201034545898,0.499886512756,-0.000113487243652,0.50002784729,2.7847290039e-05,0.499785232544,-0.000214767456055,0.499928665161,-7.13348388672e-05,0.500352478027,0.000352478027344,0.499793434143,-0.000206565856934,0.499709320068,-0.000290679931641,0.499823951721,-0.000176048278809,28,27,83890408,41949195,20969035,10484939,5244603,4915533,325831,1272,0,0.500047573973
data\hardware\20260511_fpga1_board1\trng\cross_region_repeat03_20mib.bin,cross_region_repeat03_20mib.bin,cross_region_repeat03_20mib,cross_region,03,repeat,20971520,167772160,83892820,0.500040173531,4.01735305786e-05,0.99988408835,0.49990709722,-0.000185812018074,41928506,41950833,41950833,41941987,0.499979066849,-2.09331512451e-05,0.500246906281,0.000246906280518,0.500098323822,9.83238220215e-05,0.499921655655,-7.83443450928e-05,0.500053453445,5.34534454346e-05,0.500061368942,6.13689422607e-05,0.499958848953,-4.1151046753e-05,0.500001764297,1.76429748533e-06,0.000295543670654,7,0.000466251373291,0.50008764267,8.76426696778e-05,0.499999237061,-7.62939453114e-07,0.50002822876,2.82287597656e-05,0.500010490417,1.04904174805e-05,0.500009536743,9.53674316406e-06,0.49991941452,-8.05854797363e-05,0.499829292297,-0.000170707702637,0.500295543671,0.000295543670654,0.500057983398,5.79833984375e-05,0.500054740906,5.47409057617e-05,0.500014305115,1.43051147461e-05,0.500228214264,0.000228214263916,0.500131893158,0.000131893157959,0.49988861084,-0.000111389160156,0.499993515015,-6.48498535155e-06,0.500094127655,9.41276550293e-05,0.000559616088867,23,0.00093936920166,0.500033378601,3.33786010742e-05,0.500068664551,6.86645507812e-05,0.499968528748,-3.14712524414e-05,0.499897956848,-0.000102043151855,0.49984703064,-0.000152969360352,0.499620246887,-0.000379753112793,0.49990901947,-9.09805297852e-05,0.500031471252,3.14712524414e-05,0.499955940247,-4.4059753418e-05,0.500124359131,0.000124359130859,0.500172615051,0.00017261505127,0.500233459473,0.000233459472656,0.500080490112,8.04901123047e-05,0.500102043152,0.000102043151855,0.49987449646,-0.000125503540039,0.500099563599,9.95635986328e-05,0.500141906738,0.000141906738281,0.49992980957,-7.01904296875e-05,0.500087928772,8.79287719726e-05,0.500123023987,0.000123023986816,0.500172042847,0.00017204284668,0.500218582153,0.00021858215332,0.499749565125,-0.000250434875488,0.500559616089,0.000559616088867,0.50016002655,0.000160026550293,0.499985122681,-1.48773193359e-05,0.499855995178,-0.000144004821777,0.500222969055,0.000222969055176,0.500183296204,0.000183296203613,0.499675178528,-0.000324821472168,0.500112533569,0.000112533569336,0.500088691711,8.86917114258e-05,26,25,83901667,41956986,20978451,10485054,5243402,4910082,326425,1267,0,0.50007332989
data\hardware\20260511_fpga1_board1\trng\far_repeat03_20mib.bin,far_repeat03_20mib.bin,far_repeat03_20mib,far,03,repeat,20971520,167772160,82488305,0.491668611765,0.00833138823509,0.976158778417,0.500706014041,0.00113469480715,43400040,41883815,41883815,40604489,0.491648197174,-0.00835180282593,0.491689157486,-0.00831084251404,0.491701126099,-0.00829887390137,0.491574764252,-0.00842523574829,0.491715908051,-0.00828409194946,0.491761445999,-0.00823855400085,0.491782903671,-0.00821709632874,0.491475391388,-0.00852460861206,0.00858459472656,4,0.000529479980469,0.491614055634,-0.00838594436646,0.4918217659,-0.00817823410034,0.491520690918,-0.00847930908203,0.491667175293,-0.00833282470703,0.491415405273,-0.00858459472656,0.49167175293,-0.00832824707031,0.491944885254,-0.00805511474609,0.491642951965,-0.00835704803467,0.491518115997,-0.00848188400269,0.491680622101,-0.00831937789917,0.491750049591,-0.00824995040894,0.491583633423,-0.00841636657715,0.491711139679,-0.00828886032104,0.491632175446,-0.00836782455444,0.491621303558,-0.00837869644165,0.491902065277,-0.0080979347229,0.0087474822998,4,0.000976943969727,0.491407966614,-0.00859203338623,0.49188079834,-0.00811920166016,0.491451072693,-0.00854892730713,0.491918754578,-0.00808124542236,0.4912525177,-0.0087474822998,0.491919898987,-0.00808010101318,0.49222946167,-0.00777053833008,0.491644096375,-0.00835590362549,0.491496276855,-0.00850372314453,0.491404533386,-0.00859546661377,0.491805076599,-0.00819492340088,0.491430473328,-0.00856952667236,0.491696166992,-0.00830383300781,0.491775894165,-0.00822410583496,0.491471481323,-0.00852851867676,0.491927909851,-0.00807209014893,0.491820144653,-0.00817985534668,0.491762733459,-0.00823726654053,0.491590309143,-0.00840969085693,0.491415596008,-0.0085844039917,0.491578292847,-0.00842170715332,0.491423606873,-0.00857639312744,0.491660308838,-0.00833969116211,0.491641807556,-0.00835819244385,0.491539955139,-0.00846004486084,0.491956710815,-0.00804328918457,0.491695022583,-0.00830497741699,0.491736793518,-0.00826320648193,0.491726112366,-0.00827388763428,0.491488456726,-0.00851154327393,0.491771125793,-0.00822887420654,0.491876220703,-0.00812377929688,25,25,83767631,41829781,20940828,10483759,5246884,4934854,330177,1348,0,0.499354947736
data\hardware\20260511_fpga1_board1\trng\random1_repeat03.bin,random1_repeat03.bin,random1_repeat03,random1,03,repeat,20971520,167772160,56810475,0.33861681819,0.16138318181,0.596441734915,0.555965105033,0.00865359908018,73713338,37248346,37248347,19562128,0.338697624207,-0.161302375793,0.338581991196,-0.161418008804,0.338473272324,-0.161526727676,0.338569974899,-0.161430025101,0.338775396347,-0.161224603653,0.338571834564,-0.161428165436,0.338738489151,-0.161261510849,0.33852596283,-0.16147403717,0.161725997925,1,0.000564384460449,0.338838386536,-0.161161613464,0.338274002075,-0.161725997925,0.338450336456,-0.161549663544,0.338559627533,-0.161440372467,0.338653945923,-0.161346054077,0.338802337646,-0.161197662354,0.338635730743,-0.161364269257,0.338816738129,-0.161183261871,0.338538455963,-0.161461544037,0.338544559479,-0.161455440521,0.338549423218,-0.161450576782,0.338422012329,-0.161577987671,0.338468837738,-0.161531162262,0.338825798035,-0.161174201965,0.338759613037,-0.161240386963,0.338729286194,-0.161270713806,0.161852264404,1,0.000852966308594,0.338777351379,-0.161222648621,0.338147735596,-0.161852264404,0.338471603394,-0.161528396606,0.338421058655,-0.161578941345,0.338717269897,-0.161282730103,0.338637161255,-0.161362838745,0.33853931427,-0.16146068573,0.339000701904,-0.160999298096,0.338483047485,-0.161516952515,0.338723564148,-0.161276435852,0.338412857056,-0.161587142944,0.33822555542,-0.16177444458,0.33846244812,-0.16153755188,0.338761520386,-0.161238479614,0.338928413391,-0.161071586609,0.338871574402,-0.161128425598,0.338899421692,-0.161100578308,0.338400268555,-0.161599731445,0.338429069519,-0.161570930481,0.338698196411,-0.161301803589,0.338590621948,-0.161409378052,0.338967514038,-0.161032485962,0.338732147217,-0.161267852783,0.338632774353,-0.161367225647,0.338593864441,-0.161406135559,0.33836555481,-0.16163444519,0.33868598938,-0.16131401062,0.338618469238,-0.161381530762,0.338475227356,-0.161524772644,0.338890075684,-0.161109924316,0.338590812683,-0.161409187317,0.338586997986,-0.161413002014,43,17,74496694,36378397,16965763,8731261,4816513,6260387,1297605,46715,53,0.488322300584
data\hardware\20260511_fpga1_board1\trng\random2_repeat03_20mib.bin,random2_repeat03_20mib.bin,random2_repeat03_20mib,random2,03,repeat,20971520,167772160,82291167,0.490493577719,0.00950642228127,0.972827763344,0.501216486104,0.00207223303252,43639999,41840993,41840994,40450173,0.490672636032,-0.0093273639679,0.490244102478,-0.00975589752197,0.490510797501,-0.00948920249939,0.490441083908,-0.00955891609192,0.490484619141,-0.00951538085937,0.49046754837,-0.00953245162964,0.490631628036,-0.0093683719635,0.490496206284,-0.00950379371643,0.0100215911865,4,0.000730895996094,0.490418434143,-0.00958156585693,0.490677070618,-0.00932292938232,0.490560722351,-0.00943927764893,0.490568637848,-0.0094313621521,0.489978408813,-0.0100215911865,0.490448379517,-0.0095516204834,0.490411567688,-0.00958843231201,0.490436458588,-0.00956354141235,0.490583705902,-0.0094162940979,0.490579605103,-0.00942039489746,0.4905418396,-0.00945816040039,0.490447235107,-0.00955276489258,0.490401172638,-0.00959882736206,0.49070930481,-0.00929069519043,0.490580558777,-0.00941944122314,0.490554141998,-0.00944585800171,0.010231590271,4,0.00108032226562,0.490312767029,-0.00968723297119,0.490780830383,-0.0092191696167,0.490612983704,-0.00938701629639,0.490830039978,-0.00916996002197,0.489768409729,-0.010231590271,0.490163040161,-0.00983695983887,0.490467453003,-0.00953254699707,0.490781402588,-0.00921859741211,0.490639686584,-0.00936031341553,0.490663146973,-0.00933685302734,0.490426063538,-0.0095739364624,0.490573120117,-0.00942687988281,0.490304756165,-0.00969524383545,0.490848731995,-0.00915126800537,0.490487670898,-0.00951232910156,0.49068775177,-0.00931224822998,0.490524101257,-0.00947589874268,0.490573310852,-0.00942668914795,0.490508460999,-0.00949153900146,0.490307235718,-0.00969276428223,0.490188407898,-0.00981159210205,0.490733718872,-0.00926628112793,0.490355682373,-0.00964431762695,0.490091514587,-0.0099084854126,0.49052772522,-0.00947227478027,0.490496063232,-0.00950393676758,0.490657615662,-0.00934238433838,0.490321350098,-0.00967864990234,0.490497589111,-0.00950241088867,0.490569877625,-0.00943012237549,0.490673446655,-0.00932655334473,0.490420532227,-0.00957946777344,26,26,83681988,41743253,20921461,10483016,5254411,4944722,333786,1339,0,0.498831994766
data\hardware\20260511_fpga1_board1\trng\random3_repeat03.bin,random3_repeat03.bin,random3_repeat03,random3,03,repeat,20971520,167772160,83871831,0.499915069342,8.49306583405e-05,0.999754962731,0.500077232719,0.00015443658742,41963768,41936561,41936561,41935269,0.499894428253,-0.000105571746826,0.499754810333,-0.000245189666748,0.499945878983,-5.41210174561e-05,0.499901533127,-9.84668731689e-05,0.499987983704,-1.20162963867e-05,0.49996304512,-3.69548797607e-05,0.499988555908,-1.14440917969e-05,0.499884319305,-0.00011568069458,0.000358009338379,14,0.000522232055664,0.499853420258,-0.000146579742432,0.499855709076,-0.000144290924072,0.49982252121,-0.000177478790283,0.50004119873,4.11987304687e-05,0.499868869781,-0.000131130218506,0.499955558777,-4.44412231445e-05,0.499765777588,-0.000234222412109,0.500164222717,0.000164222717285,0.499919605255,-8.0394744873e-05,0.499826431274,-0.000173568725586,0.499885368347,-0.000114631652832,0.500041294098,4.12940979004e-05,0.500104808807,0.000104808807373,0.500036239624,3.62396240234e-05,0.499641990662,-0.000358009338379,0.499858093262,-0.000141906738281,0.000551223754883,22,0.000835990905762,0.499894142151,-0.000105857849121,0.49984703064,-0.000152969360352,0.499889183044,-0.000110816955566,0.500074386597,7.43865966797e-05,0.49973449707,-0.000265502929688,0.500071144104,7.11441040039e-05,0.500082778931,8.27789306641e-05,0.500225639343,0.000225639343262,0.500078201294,7.82012939453e-05,0.499802398682,-0.000197601318359,0.500158119202,0.00015811920166,0.500284767151,0.000284767150879,0.500064277649,6.42776489258e-05,0.499859046936,-0.000140953063965,0.499670982361,-0.00032901763916,0.500030136108,3.01361083984e-05,0.499812698364,-0.000187301635742,0.499864387512,-0.000135612487793,0.499755859375,-0.000244140625,0.500008010864,8.01086425783e-06,0.500003242493,3.2424926758e-06,0.49983997345,-0.000160026550293,0.499448776245,-0.000551223754883,0.500102806091,0.000102806091309,0.499761009216,-0.000238990783691,0.499850463867,-0.000149536132812,0.499612617493,-0.000387382507324,0.499797821045,-0.000202178955078,0.500145339966,0.00014533996582,0.500213432312,0.000213432312012,0.499612998962,-0.000387001037598,0.499686050415,-0.000313949584961,29,26,83873123,41929116,20968676,10485712,5244005,4918098,326199,1317,0,0.499911229012
data\hardware\20260511_fpga1_board1\trng\row_repeat03_20mib.bin,row_repeat03_20mib.bin,row_repeat03_20mib,row,03,repeat,20971520,167772160,79967293,0.476642209291,0.0233577907085,0.934130520503,0.503794005536,0.00541748833013,46180091,41624776,41624775,38342517,0.476713943481,-0.0232860565186,0.476648187637,-0.0233518123627,0.476723098755,-0.0232769012451,0.476612234116,-0.0233877658844,0.476675128937,-0.0233248710632,0.476589441299,-0.0234105587006,0.476512861252,-0.0234871387482,0.476662778854,-0.0233372211456,0.0236385345459,14,0.000550365447998,0.476506900787,-0.0234930992126,0.476803684235,-0.0231963157654,0.476756381989,-0.0232436180115,0.47666349411,-0.0233365058899,0.476635169983,-0.0233648300171,0.476685333252,-0.023314666748,0.476589393616,-0.0234106063843,0.476692295074,-0.0233077049255,0.47662115097,-0.0233788490295,0.476595020294,-0.0234049797058,0.476513004303,-0.023486995697,0.476570510864,-0.0234294891357,0.476731204987,-0.0232687950134,0.476638507843,-0.023361492157,0.476361465454,-0.0236385345459,0.476911830902,-0.0230881690979,0.0238162994385,14,0.000905990600586,0.476518249512,-0.0234817504883,0.47671661377,-0.0232833862305,0.476423072815,-0.0235769271851,0.476761245728,-0.0232387542725,0.476468467712,-0.0235315322876,0.476655006409,-0.0233449935913,0.476639175415,-0.023360824585,0.476631736755,-0.0233682632446,0.476712417603,-0.0232875823975,0.476526451111,-0.0234735488892,0.47669506073,-0.02330493927,0.476505279541,-0.023494720459,0.47666721344,-0.0233327865601,0.476976013184,-0.0230239868164,0.476183700562,-0.0238162994385,0.476792526245,-0.0232074737549,0.476495552063,-0.023504447937,0.4768907547,-0.0231092453003,0.477089691162,-0.0229103088379,0.476565742493,-0.0234342575073,0.476801872253,-0.0231981277466,0.476715660095,-0.0232843399048,0.476539611816,-0.0234603881836,0.476752853394,-0.0232471466064,0.476529884338,-0.0234701156616,0.476663589478,-0.0233364105225,0.476330947876,-0.023669052124,0.476635742187,-0.0233642578125,0.476795196533,-0.0232048034668,0.476301002502,-0.0236989974976,0.476539230347,-0.0234607696533,0.477031135559,-0.0229688644409,31,24,83249552,41380871,20787025,10446666,5253862,5021078,358275,1775,0,0.497070194444
data\hardware\20260511_fpga1_board1\trng\same_column_repeat03_20mib.bin,same_column_repeat03_20mib.bin,same_column_repeat03_20mib,same_column,03,repeat,20971520,167772160,83872514,0.499919140339,8.08596611023e-05,0.999766707199,0.506360581555,0.0127211372898,42490170,41409476,41409475,42463038,0.49992351532,-7.64846801758e-05,0.499903154373,-9.6845626831e-05,0.499885416031,-0.000114583969116,0.499950742722,-4.92572784424e-05,0.499869680405,-0.000130319595337,0.499961948395,-3.80516052246e-05,0.499858379364,-0.000141620635986,0.500000286102,2.86102294966e-07,0.0003830909729,9,0.000518321990967,0.499804878235,-0.000195121765137,0.499764919281,-0.000235080718994,0.50004491806,4.49180603027e-05,0.500072860718,7.28607177735e-05,0.499681758881,-0.000318241119385,0.50010766983,0.000107669830322,0.499901199341,-9.88006591797e-05,0.499975776672,-2.42233276367e-05,0.500056552887,5.65528869629e-05,0.499616909027,-0.0003830909729,0.499856090546,-0.000143909454346,0.499961471558,-3.85284423828e-05,0.499791622162,-0.000208377838135,0.499872493744,-0.000127506256104,0.500061893463,6.18934631348e-05,0.500135231018,0.000135231018066,0.000673675537109,9,0.00114059448242,0.4997838974,-0.000216102600098,0.499746131897,-0.000253868103027,0.500272369385,0.000272369384766,0.500184249878,0.00018424987793,0.499615478516,-0.000384521484375,0.499881744385,-0.000118255615234,0.49998550415,-1.44958496094e-05,0.500031852722,3.1852722168e-05,0.499646186829,-0.000353813171387,0.499326324463,-0.000673675537109,0.499717140198,-0.000282859802246,0.499953269958,-4.67300415039e-05,0.499908638,-9.13619995117e-05,0.499663925171,-0.000336074829102,0.500098800659,9.88006591797e-05,0.499994277954,-5.72204589844e-06,0.49982585907,-0.000174140930176,0.499783706665,-0.000216293334961,0.499817466736,-0.00018253326416,0.499961471558,-3.85284423828e-05,0.499748039246,-0.000251960754395,0.500333595276,0.000333595275879,0.499816894531,-0.00018310546875,0.499919700623,-8.02993774414e-05,0.500466918945,0.000466918945312,0.499907493591,-9.25064086914e-05,0.499995040894,-4.95910644532e-06,0.499969673157,-3.03268432617e-05,0.499674606323,-0.000325393676758,0.500081062317,8.10623168945e-05,0.500024986267,2.49862670898e-05,0.500276184082,0.000276184082031,29,29,82818952,40961319,20607433,10474590,5314830,5100711,358470,1599,0,0.494588714429
data\hardware\20260511_fpga1_board1\trng\sparse_repeat03_20mib.bin,sparse_repeat03_20mib.bin,sparse_repeat03_20mib,sparse,03,repeat,20971520,167772160,77739903,0.463365930319,0.0366340696812,0.897989443942,0.506530579964,0.00773446077348,48637041,41395215,41395215,36344688,0.463319444656,-0.0366805553436,0.463324594498,-0.0366754055023,0.463490009308,-0.0365099906921,0.463457775116,-0.036542224884,0.463387298584,-0.036612701416,0.46326956749,-0.0367304325104,0.463351249695,-0.0366487503052,0.463327503204,-0.0366724967957,0.0368098258972,5,0.000411224365234,0.463402366638,-0.0365976333618,0.46337184906,-0.0366281509399,0.463237762451,-0.0367622375488,0.4635222435,-0.0364777565002,0.463519573212,-0.0364804267883,0.463190174103,-0.0368098258972,0.463316059113,-0.0366839408875,0.463333797455,-0.0366662025452,0.463601398468,-0.036398601532,0.46333990097,-0.0366600990295,0.463391971588,-0.0366080284119,0.463281059265,-0.0367189407349,0.463416194916,-0.0365838050842,0.463241386414,-0.0367586135864,0.463346385956,-0.0366536140442,0.463342761993,-0.0366572380066,0.0370010375977,21,0.000811958312988,0.463450050354,-0.036549949646,0.463465690613,-0.0365343093872,0.463109016418,-0.0368909835815,0.463718605042,-0.0362813949585,0.463577651978,-0.0364223480225,0.463381385803,-0.0366186141968,0.463275337219,-0.0367246627808,0.463505554199,-0.0364944458008,0.463810920715,-0.0361890792847,0.463055992126,-0.0369440078735,0.463472175598,-0.0365278244019,0.463276100159,-0.0367238998413,0.463414001465,-0.0365859985352,0.463121986389,-0.0368780136108,0.463549232483,-0.0364507675171,0.463494682312,-0.036505317688,0.463354682922,-0.0366453170776,0.463278007507,-0.0367219924927,0.463366508484,-0.0366334915161,0.463325881958,-0.036674118042,0.463461494446,-0.0365385055542,0.462998962402,-0.0370010375977,0.463356781006,-0.0366432189941,0.46316204071,-0.0368379592896,0.463391876221,-0.0366081237793,0.463623809814,-0.0363761901855,0.463311767578,-0.0366882324219,0.463286018372,-0.0367139816284,0.463418388367,-0.0365816116333,0.463360786438,-0.036639213562,0.463143539429,-0.0368564605713,0.463190841675,-0.0368091583252,30,22,82790431,41040851,20583360,10418160,5272086,5084175,389516,2283,0,0.495719740848
