placement,warmup_bytes,repeat_tag,bit_order,ea_status,h_i,x_cutoff,x_max,h_r,h_c,min_h,overall_p1,positions_over_x_cutoff,worst_byte_index,worst_bit_index,worst_x,worst_msb_expanded_column,worst_lsb_expanded_column,board_id,xadc_status,xadc_before_temperature_c,xadc_after_temperature_c,xadc_temperature_delta_c,ea_run,ea_stdout,column_summary,paper_use,row_ones_mean,row_ones_std,worst_ones,worst_zeros,worst_p1,restart_input_file,restart_input_sha256,xadc_after_vccint_v,xadc_after_vccaux_v,xadc_after_vccbram_v,capture_start_time,capture_end_time,capture_output_sha256,capture_metadata
random1_sampler_regs_only,5,repeat02,lsb,passed,0.999451,572,561,0.886947,0.825769,0.825769,0.498602,0,104,4,561,835,836,z7020_b01,ok,47.4,47.4,0,random1_sampler_regs_only_warmup5_repeat02_lsb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup5_repeat02_lsb_20260524\random1_sampler_regs_only_warmup5_repeat02_lsb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup5_repeat02\summary.json,candidate,498.602,15.916456766504284,561,439,0.561000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup5_header_delay60s_repeat02_20260524.bin,182C00C883749661299294B6ABECC81A14D13F51CB3045BAAB7552D126DFC526,1.000,1.796,1.000,2026-05-24 16:17:36,2026-05-24 16:20:43,182C00C883749661299294B6ABECC81A14D13F51CB3045BAAB7552D126DFC526,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup5_header_delay60s_repeat02_20260524.metadata.json
random1_sampler_regs_only,5,repeat02,msb,passed,0.999451,572,561,0.854881,0.832264,0.832264,0.498602,0,104,4,561,835,836,z7020_b01,ok,47.4,47.4,0,random1_sampler_regs_only_warmup5_repeat02_msb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup5_repeat02_msb_20260524\random1_sampler_regs_only_warmup5_repeat02_msb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup5_repeat02\summary.json,candidate,498.602,15.916456766504284,561,439,0.561000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup5_header_delay60s_repeat02_20260524.bin,182C00C883749661299294B6ABECC81A14D13F51CB3045BAAB7552D126DFC526,1.000,1.796,1.000,2026-05-24 16:17:36,2026-05-24 16:20:43,182C00C883749661299294B6ABECC81A14D13F51CB3045BAAB7552D126DFC526,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup5_header_delay60s_repeat02_20260524.metadata.json
random1_sampler_regs_only,6,passband01,lsb,passed,0.999451,572,551,0.822266,0.855283,0.822266,0.49628,0,24,4,551,195,196,z7020_b01,ok,47.4,47.5,0.1,random1_sampler_regs_only_warmup6_passband01_lsb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup6_passband01_lsb_20260524\random1_sampler_regs_only_warmup6_passband01_lsb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup6_passband01\summary.json,candidate,496.28,16.491197652080942,449,551,0.449000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup6_header_delay60s_passband01_20260524.bin,7B584BEFF0E1DB252C332D76C7780DD8E5C680FF89D45550A58D0E4DFE382615,1.000,1.796,1.000,2026-05-24 15:23:09,2026-05-24 15:26:14,7B584BEFF0E1DB252C332D76C7780DD8E5C680FF89D45550A58D0E4DFE382615,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup6_header_delay60s_passband01_20260524.metadata.json
random1_sampler_regs_only,6,passband01,msb,passed,0.999451,572,551,0.901649,0.868880,0.868880,0.49628,0,24,4,551,195,196,z7020_b01,ok,47.4,47.5,0.1,random1_sampler_regs_only_warmup6_passband01_msb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup6_passband01_msb_20260524\random1_sampler_regs_only_warmup6_passband01_msb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup6_passband01\summary.json,candidate,496.28,16.491197652080942,449,551,0.449000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup6_header_delay60s_passband01_20260524.bin,7B584BEFF0E1DB252C332D76C7780DD8E5C680FF89D45550A58D0E4DFE382615,1.000,1.796,1.000,2026-05-24 15:23:09,2026-05-24 15:26:14,7B584BEFF0E1DB252C332D76C7780DD8E5C680FF89D45550A58D0E4DFE382615,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup6_header_delay60s_passband01_20260524.metadata.json
random1_sampler_regs_only,6,repeat02,lsb,passed,0.999451,572,554,0.847222,0.824521,0.824521,0.497339,0,108,7,554,864,871,z7020_b01,ok,47.5,47.5,0,random1_sampler_regs_only_warmup6_repeat02_lsb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup6_repeat02_lsb_20260524\random1_sampler_regs_only_warmup6_repeat02_lsb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup6_repeat02\summary.json,candidate,497.339,15.679479551311644,446,554,0.446000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup6_header_delay60s_repeat02_20260524.bin,E56EAEBE9CB209724C8FA5728CA77B9FBA76CB302BFC6746D3FBCB7C549D3D60,1.000,1.796,1.000,2026-05-24 16:23:52,2026-05-24 16:27:07,E56EAEBE9CB209724C8FA5728CA77B9FBA76CB302BFC6746D3FBCB7C549D3D60,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup6_header_delay60s_repeat02_20260524.metadata.json
random1_sampler_regs_only,6,repeat02,msb,passed,0.999451,572,554,0.888827,0.828868,0.828868,0.497339,0,108,7,554,864,871,z7020_b01,ok,47.5,47.5,0,random1_sampler_regs_only_warmup6_repeat02_msb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup6_repeat02_msb_20260524\random1_sampler_regs_only_warmup6_repeat02_msb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup6_repeat02\summary.json,candidate,497.339,15.679479551311644,446,554,0.446000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup6_header_delay60s_repeat02_20260524.bin,E56EAEBE9CB209724C8FA5728CA77B9FBA76CB302BFC6746D3FBCB7C549D3D60,1.000,1.796,1.000,2026-05-24 16:23:52,2026-05-24 16:27:07,E56EAEBE9CB209724C8FA5728CA77B9FBA76CB302BFC6746D3FBCB7C549D3D60,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup6_header_delay60s_repeat02_20260524.metadata.json
random1_sampler_regs_only,8,repeat02,lsb,passed,0.999451,572,566,0.772196,0.817884,0.772196,0.484294,0,0,3,558,4,3,z7020_b01,ok,47.5,47.4,-0.1,random1_sampler_regs_only_warmup8_repeat02_lsb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup8_repeat02_lsb_20260524\random1_sampler_regs_only_warmup8_repeat02_lsb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup8_repeat02\summary.json,candidate,484.294,16.320219483818224,442,558,0.442000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_repeat02_20260524.bin,1F98799F76B7A30D691AA4C30B480A3F3D42EC46ADF83814C4CD04EC4E71B988,1.000,1.795,1.000,2026-05-24 15:29:58,2026-05-24 15:33:10,1F98799F76B7A30D691AA4C30B480A3F3D42EC46ADF83814C4CD04EC4E71B988,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_repeat02_20260524.metadata.json
random1_sampler_regs_only,8,repeat02,msb,passed,0.999451,572,566,0.746339,0.821621,0.746339,0.484294,0,0,3,558,4,3,z7020_b01,ok,47.5,47.4,-0.1,random1_sampler_regs_only_warmup8_repeat02_msb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup8_repeat02_msb_20260524\random1_sampler_regs_only_warmup8_repeat02_msb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup8_repeat02\summary.json,candidate,484.294,16.320219483818224,442,558,0.442000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_repeat02_20260524.bin,1F98799F76B7A30D691AA4C30B480A3F3D42EC46ADF83814C4CD04EC4E71B988,1.000,1.795,1.000,2026-05-24 15:29:58,2026-05-24 15:33:10,1F98799F76B7A30D691AA4C30B480A3F3D42EC46ADF83814C4CD04EC4E71B988,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_repeat02_20260524.metadata.json
random1_sampler_regs_only,8,sweep01,lsb,passed,0.999451,572,566,0.763440,0.824831,0.763440,0.482728,0,83,0,564,671,664,z7020_b01,ok,47.2,47.4,0.2,random1_sampler_regs_only_warmup8_sweep01_lsb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup8_sweep01_lsb_20260524\random1_sampler_regs_only_warmup8_sweep01_lsb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup8_sweep01\summary.json,candidate,482.728,15.795569505402456,436,564,0.436000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_sweep01_20260524.bin,BD684BF2AEACC4693B5FB0AA6770D6A4B9E93E7AF45E5245F4A7CD3913D0D077,1.001,1.797,1.001,2026-05-24 15:02:06,2026-05-24 15:05:44,BD684BF2AEACC4693B5FB0AA6770D6A4B9E93E7AF45E5245F4A7CD3913D0D077,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_sweep01_20260524.metadata.json
random1_sampler_regs_only,8,sweep01,msb,passed,0.999451,572,566,0.754706,0.833827,0.754706,0.482728,0,83,0,564,671,664,z7020_b01,ok,47.2,47.4,0.2,random1_sampler_regs_only_warmup8_sweep01_msb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup8_sweep01_msb_20260524\random1_sampler_regs_only_warmup8_sweep01_msb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup8_sweep01\summary.json,candidate,482.728,15.795569505402456,436,564,0.436000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_sweep01_20260524.bin,BD684BF2AEACC4693B5FB0AA6770D6A4B9E93E7AF45E5245F4A7CD3913D0D077,1.001,1.797,1.001,2026-05-24 15:02:06,2026-05-24 15:05:44,BD684BF2AEACC4693B5FB0AA6770D6A4B9E93E7AF45E5245F4A7CD3913D0D077,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_sweep01_20260524.metadata.json
random1_sampler_regs_only,10,passband01,lsb,passed,0.999451,572,565,0.867091,0.824338,0.824338,0.499174,0,115,3,565,924,923,z7020_b01,ok,47.7,47.5,-0.2,random1_sampler_regs_only_warmup10_passband01_lsb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup10_passband01_lsb_20260524\random1_sampler_regs_only_warmup10_passband01_lsb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup10_passband01\summary.json,candidate,499.174,16.268673086641087,435,565,0.435000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_passband01_20260524.bin,F0BFCF24F6585BBBF8C080FF27CEBE0C4F8D88BBE5A43924E5791FB503692192,1.000,1.796,1.000,2026-05-24 15:36:52,2026-05-24 15:40:17,F0BFCF24F6585BBBF8C080FF27CEBE0C4F8D88BBE5A43924E5791FB503692192,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_passband01_20260524.metadata.json
random1_sampler_regs_only,10,passband01,msb,passed,0.999451,572,565,0.857425,0.826170,0.826170,0.499174,0,115,3,565,924,923,z7020_b01,ok,47.7,47.5,-0.2,random1_sampler_regs_only_warmup10_passband01_msb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup10_passband01_msb_20260524\random1_sampler_regs_only_warmup10_passband01_msb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup10_passband01\summary.json,candidate,499.174,16.268673086641087,435,565,0.435000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_passband01_20260524.bin,F0BFCF24F6585BBBF8C080FF27CEBE0C4F8D88BBE5A43924E5791FB503692192,1.000,1.796,1.000,2026-05-24 15:36:52,2026-05-24 15:40:17,F0BFCF24F6585BBBF8C080FF27CEBE0C4F8D88BBE5A43924E5791FB503692192,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_passband01_20260524.metadata.json
random1_sampler_regs_only,10,repeat02,lsb,passed,0.999451,572,554,0.839326,0.842225,0.839326,0.500018,0,14,1,547,118,113,z7020_b01,ok,47.4,47.1,-0.3,random1_sampler_regs_only_warmup10_repeat02_lsb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup10_repeat02_lsb_20260524\random1_sampler_regs_only_warmup10_repeat02_lsb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup10_repeat02\summary.json,candidate,500.018,15.953108662577336,453,547,0.453000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat02_20260524.bin,EE3B24FC4A238763FFF6C035004F1581DBADB370D86677BF57A4148C6A71F371,1.000,1.797,1.000,2026-05-24 16:30:49,2026-05-24 16:34:21,EE3B24FC4A238763FFF6C035004F1581DBADB370D86677BF57A4148C6A71F371,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat02_20260524.metadata.json
random1_sampler_regs_only,10,repeat02,msb,passed,0.999451,572,554,0.815911,0.873499,0.815911,0.500018,0,14,1,547,118,113,z7020_b01,ok,47.4,47.1,-0.3,random1_sampler_regs_only_warmup10_repeat02_msb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup10_repeat02_msb_20260524\random1_sampler_regs_only_warmup10_repeat02_msb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup10_repeat02\summary.json,candidate,500.018,15.953108662577336,453,547,0.453000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat02_20260524.bin,EE3B24FC4A238763FFF6C035004F1581DBADB370D86677BF57A4148C6A71F371,1.000,1.797,1.000,2026-05-24 16:30:49,2026-05-24 16:34:21,EE3B24FC4A238763FFF6C035004F1581DBADB370D86677BF57A4148C6A71F371,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat02_20260524.metadata.json
random1_sampler_regs_only,11,edge01,lsb,failed,0.999451,572,688,,,,0.55921,0,81,4,613,651,652,z7020_b01,ok,47.5,47.6,0.1,random1_sampler_regs_only_warmup11_edge01_lsb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup11_edge01_lsb_20260524\random1_sampler_regs_only_warmup11_edge01_lsb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup11_edge01\summary.json,candidate,559.21,32.52029981411611,613,387,0.613000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_edge01_20260524.bin,F970A9AC8BB659D7CF5DCDF4F0F7154895170C2B1534B1BE1760582662DC03A3,1.000,1.797,1.000,2026-05-24 15:56:57,2026-05-24 16:00:13,F970A9AC8BB659D7CF5DCDF4F0F7154895170C2B1534B1BE1760582662DC03A3,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_edge01_20260524.metadata.json
random1_sampler_regs_only,11,edge01,msb,failed,0.999451,572,688,,,,0.55921,0,81,4,613,651,652,z7020_b01,ok,47.5,47.6,0.1,random1_sampler_regs_only_warmup11_edge01_msb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup11_edge01_msb_20260524\random1_sampler_regs_only_warmup11_edge01_msb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup11_edge01\summary.json,candidate,559.21,32.52029981411611,613,387,0.613000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_edge01_20260524.bin,F970A9AC8BB659D7CF5DCDF4F0F7154895170C2B1534B1BE1760582662DC03A3,1.000,1.797,1.000,2026-05-24 15:56:57,2026-05-24 16:00:13,F970A9AC8BB659D7CF5DCDF4F0F7154895170C2B1534B1BE1760582662DC03A3,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_edge01_20260524.metadata.json
random1_sampler_regs_only,11,repeat02,lsb,failed,0.999451,572,701,,,,0.558805,0,57,2,618,461,458,z7020_b01,ok,46.6,46.4,-0.2,random1_sampler_regs_only_warmup11_repeat02_lsb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup11_repeat02_lsb_20260524\random1_sampler_regs_only_warmup11_repeat02_lsb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup11_repeat02\summary.json,candidate,558.805,32.88894913188928,618,382,0.618000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_repeat02_20260524.bin,3F8764DAA56C642B148C63B6520F3F1318621058CFAAAAB3A55B9880256F8864,1.000,1.796,1.000,2026-05-24 16:39:10,2026-05-24 16:43:25,3F8764DAA56C642B148C63B6520F3F1318621058CFAAAAB3A55B9880256F8864,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_repeat02_20260524.metadata.json
random1_sampler_regs_only,11,repeat02,msb,failed,0.999451,572,701,,,,0.558805,0,57,2,618,461,458,z7020_b01,ok,46.6,46.4,-0.2,random1_sampler_regs_only_warmup11_repeat02_msb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup11_repeat02_msb_20260524\random1_sampler_regs_only_warmup11_repeat02_msb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup11_repeat02\summary.json,candidate,558.805,32.88894913188928,618,382,0.618000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_repeat02_20260524.bin,3F8764DAA56C642B148C63B6520F3F1318621058CFAAAAB3A55B9880256F8864,1.000,1.796,1.000,2026-05-24 16:39:10,2026-05-24 16:43:25,3F8764DAA56C642B148C63B6520F3F1318621058CFAAAAB3A55B9880256F8864,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_repeat02_20260524.metadata.json
random1_sampler_regs_only,12,run01,lsb,failed,0.999451,572,609,,,,0.452171,0,2,7,609,16,23,z7020_b01,ok,47.6,47.6,0,random1_sampler_regs_only_warmup12_run01_lsb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup12_run01_lsb_20260524\random1_sampler_regs_only_warmup12_run01_lsb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup12_run01\summary.json,candidate,452.171,15.544508966191245,391,609,0.391000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_run01_20260524.bin,F1C7EB5FDFDF49A1A4F38A185120C823AB4C7F8BBFE779FF38A78F9C3949C956,1.001,1.797,1.001,2026-05-24 14:00:26,2026-05-24 14:04:24,F1C7EB5FDFDF49A1A4F38A185120C823AB4C7F8BBFE779FF38A78F9C3949C956,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_run01_20260524.metadata.json
random1_sampler_regs_only,12,run01,msb,failed,0.999451,572,609,,,,0.452171,0,2,7,609,16,23,z7020_b01,ok,47.6,47.6,0,random1_sampler_regs_only_warmup12_run01_msb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup12_run01_msb_20260524\random1_sampler_regs_only_warmup12_run01_msb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup12_run01\summary.json,candidate,452.171,15.544508966191245,391,609,0.391000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_run01_20260524.bin,F1C7EB5FDFDF49A1A4F38A185120C823AB4C7F8BBFE779FF38A78F9C3949C956,1.001,1.797,1.001,2026-05-24 14:00:26,2026-05-24 14:04:24,F1C7EB5FDFDF49A1A4F38A185120C823AB4C7F8BBFE779FF38A78F9C3949C956,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_run01_20260524.metadata.json
