placement,warmup_bytes,repeat_tag,bit_order,ea_status,h_i,x_cutoff,x_max,h_r,h_c,min_h,overall_p1,positions_over_x_cutoff,worst_byte_index,worst_bit_index,worst_x,worst_msb_expanded_column,worst_lsb_expanded_column,board_id,xadc_status,xadc_before_temperature_c,xadc_after_temperature_c,xadc_temperature_delta_c,ea_run,ea_stdout,column_summary,paper_use,row_ones_mean,row_ones_std,worst_ones,worst_zeros,worst_p1,restart_input_file,restart_input_sha256,xadc_after_vccint_v,xadc_after_vccaux_v,xadc_after_vccbram_v,capture_start_time,capture_end_time,capture_output_sha256,capture_metadata
random1_sampler_regs_only,0,run01,lsb,failed,0.999451,572,756,,,,0.499146,0,1,6,756,9,14,z7020_b01,ok,47.4,47.6,0.2,random1_sampler_regs_only_warmup0_run01_lsb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup0_run01_lsb_20260524\random1_sampler_regs_only_warmup0_run01_lsb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup0_run01\summary.json,candidate,499.146,16.38373229761766,756,244,0.756000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524.bin,0EAF8F4FC51B6F76F14CDD7BBB654A8D07D5D75895589DCB83D7F191FCFBEA5C,1.000,1.797,1.001,2026-05-24 13:52:23,2026-05-24 13:55:51,0EAF8F4FC51B6F76F14CDD7BBB654A8D07D5D75895589DCB83D7F191FCFBEA5C,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524.metadata.json
random1_sampler_regs_only,0,run01,msb,failed,0.999451,572,756,,,,0.499146,0,1,6,756,9,14,z7020_b01,ok,47.4,47.6,0.2,random1_sampler_regs_only_warmup0_run01_msb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup0_run01_msb_20260524\random1_sampler_regs_only_warmup0_run01_msb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup0_run01\summary.json,candidate,499.146,16.38373229761766,756,244,0.756000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524.bin,0EAF8F4FC51B6F76F14CDD7BBB654A8D07D5D75895589DCB83D7F191FCFBEA5C,1.000,1.797,1.001,2026-05-24 13:52:23,2026-05-24 13:55:51,0EAF8F4FC51B6F76F14CDD7BBB654A8D07D5D75895589DCB83D7F191FCFBEA5C,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524.metadata.json
random1_sampler_regs_only,0,run02,lsb,failed,0.999451,572,802,,,,0.498425,0,1,7,802,8,15,z7020_b01,ok,47.6,47.4,-0.2,random1_sampler_regs_only_warmup0_run02_lsb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup0_run02_lsb_20260524\random1_sampler_regs_only_warmup0_run02_lsb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup0_run02\summary.json,candidate,498.425,16.084289695227454,802,198,0.802000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524.bin,9F0C124FA540775CC874F3371C7CBE24B59B67D289B22529F5FA196DF69E2A05,1.000,1.797,1.000,2026-05-24 14:09:31,2026-05-24 14:13:37,9F0C124FA540775CC874F3371C7CBE24B59B67D289B22529F5FA196DF69E2A05,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524.metadata.json
random1_sampler_regs_only,0,run02,msb,failed,0.999451,572,802,,,,0.498425,0,1,7,802,8,15,z7020_b01,ok,47.6,47.4,-0.2,random1_sampler_regs_only_warmup0_run02_msb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup0_run02_msb_20260524\random1_sampler_regs_only_warmup0_run02_msb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup0_run02\summary.json,candidate,498.425,16.084289695227454,802,198,0.802000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524.bin,9F0C124FA540775CC874F3371C7CBE24B59B67D289B22529F5FA196DF69E2A05,1.000,1.797,1.000,2026-05-24 14:09:31,2026-05-24 14:13:37,9F0C124FA540775CC874F3371C7CBE24B59B67D289B22529F5FA196DF69E2A05,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524.metadata.json
random1_sampler_regs_only,4,repeat02,lsb,failed,0.999451,572,733,,,,0.407103,0,0,2,733,5,2,z7020_b01,ok,47.4,47.4,0,random1_sampler_regs_only_warmup4_repeat02_lsb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup4_repeat02_lsb_20260524\random1_sampler_regs_only_warmup4_repeat02_lsb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup4_repeat02\summary.json,candidate,407.103,17.10135640819172,267,733,0.267000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524.bin,FE3A6F6BF09C55B88AB96007CF582B6739A298FB324B49FA9207B0EACEE39A74,1.000,1.796,1.000,2026-05-24 16:09:48,2026-05-24 16:13:36,FE3A6F6BF09C55B88AB96007CF582B6739A298FB324B49FA9207B0EACEE39A74,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524.metadata.json
random1_sampler_regs_only,4,repeat02,msb,failed,0.999451,572,733,,,,0.407103,0,0,2,733,5,2,z7020_b01,ok,47.4,47.4,0,random1_sampler_regs_only_warmup4_repeat02_msb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup4_repeat02_msb_20260524\random1_sampler_regs_only_warmup4_repeat02_msb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup4_repeat02\summary.json,candidate,407.103,17.10135640819172,267,733,0.267000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524.bin,FE3A6F6BF09C55B88AB96007CF582B6739A298FB324B49FA9207B0EACEE39A74,1.000,1.796,1.000,2026-05-24 16:09:48,2026-05-24 16:13:36,FE3A6F6BF09C55B88AB96007CF582B6739A298FB324B49FA9207B0EACEE39A74,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524.metadata.json
random1_sampler_regs_only,4,sweep01,lsb,failed,0.999451,572,751,,,,0.40797,0,1,6,751,9,14,z7020_b01,ok,47.5,47.2,-0.3,random1_sampler_regs_only_warmup4_sweep01_lsb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup4_sweep01_lsb_20260524\random1_sampler_regs_only_warmup4_sweep01_lsb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup4_sweep01\summary.json,candidate,407.97,16.70865344664255,249,751,0.249000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_sweep01_20260524.bin,28DF13CEA8B2125539D74EF51DFBCC1F7299DBD4C48F30F52E070D90DC1250BF,1.000,1.797,1.001,2026-05-24 14:53:51,2026-05-24 14:57:45,28DF13CEA8B2125539D74EF51DFBCC1F7299DBD4C48F30F52E070D90DC1250BF,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_sweep01_20260524.metadata.json
random1_sampler_regs_only,4,sweep01,msb,failed,0.999451,572,751,,,,0.40797,0,1,6,751,9,14,z7020_b01,ok,47.5,47.2,-0.3,random1_sampler_regs_only_warmup4_sweep01_msb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup4_sweep01_msb_20260524\random1_sampler_regs_only_warmup4_sweep01_msb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup4_sweep01\summary.json,candidate,407.97,16.70865344664255,249,751,0.249000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_sweep01_20260524.bin,28DF13CEA8B2125539D74EF51DFBCC1F7299DBD4C48F30F52E070D90DC1250BF,1.000,1.797,1.001,2026-05-24 14:53:51,2026-05-24 14:57:45,28DF13CEA8B2125539D74EF51DFBCC1F7299DBD4C48F30F52E070D90DC1250BF,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_sweep01_20260524.metadata.json
random1_sampler_regs_only,5,edge01,lsb,passed,0.999451,572,560,0.817310,0.850730,0.817310,0.497894,0,111,2,558,893,890,z7020_b01,ok,47.2,47.5,0.3,random1_sampler_regs_only_warmup5_edge01_lsb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup5_edge01_lsb_20260524\random1_sampler_regs_only_warmup5_edge01_lsb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup5_edge01\summary.json,candidate,497.894,16.020822825310816,442,558,0.442000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup5_header_delay60s_edge01_20260524.bin,EA1CC46440FC0F02C5FBA68A63830E44F592F2DD8AE3D2B357A6C72489A7905B,1.000,1.797,1.000,2026-05-24 15:50:22,2026-05-24 15:53:32,EA1CC46440FC0F02C5FBA68A63830E44F592F2DD8AE3D2B357A6C72489A7905B,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup5_header_delay60s_edge01_20260524.metadata.json
random1_sampler_regs_only,5,edge01,msb,passed,0.999451,572,560,0.813043,0.835483,0.813043,0.497894,0,111,2,558,893,890,z7020_b01,ok,47.2,47.5,0.3,random1_sampler_regs_only_warmup5_edge01_msb_20260524,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_sampler_regs_only_warmup5_edge01_msb_20260524\random1_sampler_regs_only_warmup5_edge01_msb_20260524.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260524\restart_column_bias_random1_sampler_regs_only_formal_bits_warmup5_edge01\summary.json,candidate,497.894,16.020822825310816,442,558,0.442000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup5_header_delay60s_edge01_20260524.bin,EA1CC46440FC0F02C5FBA68A63830E44F592F2DD8AE3D2B357A6C72489A7905B,1.000,1.797,1.000,2026-05-24 15:50:22,2026-05-24 15:53:32,EA1CC46440FC0F02C5FBA68A63830E44F592F2DD8AE3D2B357A6C72489A7905B,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup5_header_delay60s_edge01_20260524.metadata.json
