anchor,context,context_label,data_ro_delay_mean_delta_ps,data_ro_route_changed,delta_abs_bias_explore1_minus_original,delta_p1_explore1_minus_original,explore1_abs_bias,explore1_bitstream_sha256,explore1_min_entropy,explore1_p1,explore1_route_rows_present,explore1_status,explore1_worst_x,movement_class,original_abs_bias,original_bitstream_sha256,original_min_entropy,original_p1,original_route_rows_present,original_status,original_worst_x,route_pair_present,sample_ro_delay_mean_delta_ps,sample_ro_route_changed,sampled_data_delay_mean_delta_ps,sampled_data_route_changed
all640,heldout_sample_x36y35_regs_x45y31,heldout_x36y35,-37.031,11,0.009047000,-0.009047000,0.009423000,EE8656CF8C1DC877ED0B75A19ED818A43DD76DCE5FD02676738AD8CBDA9EBD97,0.973063997,0.490577000,True,ok,187,broad_route_shift,0.000376000,971FB75D35A0E245600F77A42E7D9C6675EE8F496E3CB2DA5033DC885846B587,0.998915501,0.499624000,True,ok,682,True,-14.047,9,0.016,8
data_ro0,heldout_sample_x36y35_regs_x45y31,heldout_x36y35,0.000,0,0.000896000,-0.000896000,0.202157000,1A9FCADC30963EC15BB074CB0868B4EA5AFADC2406932D70E481BC1F25E11F65,0.510134446,0.297843000,True,ok,1,no_route_shift,0.201261000,1E26C3845AA637793C0BB219F57F6251C397504CAA7C268AB99E14D0790D493F,0.511976599,0.298739000,True,ok,5,True,0.000,0,0.000,0
data_ro4,heldout_sample_x36y35_regs_x45y31,heldout_x36y35,0.000,0,-0.000450000,0.000450000,0.104225000,1787AB50C97C8C3C74B9689205CD3021EC82CAB06C3238EE8C2F56802ACFE29A,0.726842218,0.395775000,True,ok,0,no_route_shift,0.104675000,498B0E841FC9ADBDE9B45FB6FB9A193876BCF07020B52A3F30DB3AC0F7E965B5,0.725768162,0.395325000,True,ok,15,True,0.000,0,0.000,0
all640,second_heldout_sample_ro_local,sample_ro_local,0.000,0,0.000100000,-0.000100000,0.000555000,17F9037350EA2D95ACAF0BF927FBC6F0AE3AAD8AA2B3BE004B78ED9214EEC36C,0.998399497,0.499445000,True,ok,462,no_route_shift,0.000455000,4804810AD6F481E021BBFC3A3FA639CC83B39EFF10BA6D89CF604169F85CBA84,0.998687744,0.499545000,True,ok,710,True,0.000,0,0.000,0
data_ro0,second_heldout_sample_ro_local,sample_ro_local,0.000,0,0.000771000,-0.000771000,0.232117000,69BE884ABD450F022F30F5D3403DA9127C907236EB8029E78478C6F1DC532346,0.449853870,0.267883000,True,ok,2,no_route_shift,0.231346000,1AE36B8528F7BEAE2F2B8CA0451B9CF500D1509BD606FEECF48465811D16E8F3,0.451373988,0.268654000,True,ok,3,True,0.000,0,0.000,0
data_ro4,second_heldout_sample_ro_local,sample_ro_local,0.000,0,0.012461000,0.012461000,0.066882000,E7AEDAA738D4B45ADC4A1A6295415FA398E125F7F4C66E6CD41F2BF92D8470B0,0.818879634,0.566882000,True,ok,5,sampler_route_shift,0.054421000,A60F67A1C8C94D54C25759E18D6A8B1709489774DF7C2FC844CF93CCA815E908,0.850946191,0.554421000,True,ok,6,True,-14.489,9,0.000,0
