source,source_sha256,source_bytes,offset_bytes,read_bytes,mode,bits_per_symbol,output,output_bytes,output_sha256
data\hardware\20260511_fpga1_board1\trng\random1_repeat03.bin,0d02918f7803a7885f611e15566cde14d531b2ade0525231065884f7d0583bd2,20971520,0,1000000,bit-symbols-msb,1,data\sp800_90b\inputs_repeat_20260514\random1_repeat03_bps1_msb.bin,8000000,28387c0da49d065a190955a5a9ec08eaefdda0a4ac39975f06d7b984c74c3134
data\hardware\20260511_fpga1_board1\trng\random1_repeat03.bin,0d02918f7803a7885f611e15566cde14d531b2ade0525231065884f7d0583bd2,20971520,0,1000000,bit-symbols-lsb,1,data\sp800_90b\inputs_repeat_20260514\random1_repeat03_bps1_lsb.bin,8000000,c6b1397c24de0c9eb9df607d663001cbb9b5136fa1947ab80029d1156eba0474
data\hardware\20260511_fpga1_board1\trng\random1_repeat03.bin,0d02918f7803a7885f611e15566cde14d531b2ade0525231065884f7d0583bd2,20971520,0,1000000,byte-symbols,8,data\sp800_90b\inputs_repeat_20260514\random1_repeat03_bps8.bin,1000000,78c53e7682c9d39189427240230345dc58ada6c7386bb122ec2aaf0c51ca3761
