run,lane,bin,count,probability,width_ps,ideal_width_ps,dnl_lsb,inl_lsb,phase_center_ps
tdc_near_smoke03,a,0,42,0.33070866141732286,1653.5433070866143,19.53125,83.66141732283465,83.66141732283465,826.7716535433071
tdc_near_smoke03,a,1,0,0.0,0.0,19.53125,-1.0,82.66141732283465,1653.5433070866143
tdc_near_smoke03,a,2,2,0.015748031496062992,78.74015748031496,19.53125,3.031496062992126,85.69291338582678,1692.9133858267717
tdc_near_smoke03,a,3,1,0.007874015748031496,39.37007874015748,19.53125,1.015748031496063,86.70866141732284,1751.968503937008
tdc_near_smoke03,a,4,2,0.015748031496062992,78.74015748031496,19.53125,3.031496062992126,89.74015748031496,1811.023622047244
tdc_near_smoke03,a,5,0,0.0,0.0,19.53125,-1.0,88.74015748031496,1850.3937007874017
tdc_near_smoke03,a,6,0,0.0,0.0,19.53125,-1.0,87.74015748031496,1850.3937007874017
tdc_near_smoke03,a,7,0,0.0,0.0,19.53125,-1.0,86.74015748031496,1850.3937007874017
tdc_near_smoke03,a,8,1,0.007874015748031496,39.37007874015748,19.53125,1.015748031496063,87.75590551181102,1870.0787401574805
tdc_near_smoke03,a,9,0,0.0,0.0,19.53125,-1.0,86.75590551181102,1889.763779527559
tdc_near_smoke03,a,10,0,0.0,0.0,19.53125,-1.0,85.75590551181102,1889.763779527559
tdc_near_smoke03,a,11,0,0.0,0.0,19.53125,-1.0,84.75590551181102,1889.763779527559
tdc_near_smoke03,a,12,2,0.015748031496062992,78.74015748031496,19.53125,3.031496062992126,87.78740157480314,1929.1338582677165
tdc_near_smoke03,a,13,0,0.0,0.0,19.53125,-1.0,86.78740157480314,1968.5039370078741
tdc_near_smoke03,a,14,0,0.0,0.0,19.53125,-1.0,85.78740157480314,1968.5039370078741
tdc_near_smoke03,a,15,0,0.0,0.0,19.53125,-1.0,84.78740157480314,1968.5039370078741
tdc_near_smoke03,a,16,1,0.007874015748031496,39.37007874015748,19.53125,1.015748031496063,85.8031496062992,1988.188976377953
