family,target_index,target_name,all_on_freq_mhz,single_on_freq_mhz,shift_mhz,shift_ppm_vs_single
random1,0,data0,413.92878623842176,413.97524336017307,-0.046457121751302566,-112.22198065328084
random1,1,data1,412.8291862002645,412.95384615384614,-0.12465995358166992,-301.87381651175565
random1,2,data2,454.68236990746306,454.8639423076923,-0.1815724002292427,-399.1795861154855
random1,3,data3,433.60725874293956,433.8264214448852,-0.21916270194566323,-505.1852333376297
random1,4,data4,456.56723951448146,456.8980769230769,-0.33083740859547106,-724.0945526044984
random1,5,data5,457.22782984859407,457.45476390724497,-0.22693405865089744,-496.07978002588106
random1,6,data6,403.10846846846846,403.34543269230767,-0.2369642238392089,-587.4969805843252
random1,7,data7,446.35175396444015,446.4736715556624,-0.12191759122225676,-273.067817856886
random1,8,sample,89.96274486239635,90.10146669872566,-0.13872183632931012,-1539.6179597515045
random3,0,data0,460.4628695025234,460.7700072098053,-0.3071377072819246,-666.5748691886398
random3,1,data1,448.746695505888,448.94256188416244,-0.1958663782744452,-436.2838253793884
random3,2,data2,412.3623258049015,412.5849555395338,-0.2226297346322781,-539.5973160028268
random3,3,data3,439.3354962749339,439.5866378274453,-0.2511415525113989,-571.3129811056305
random3,4,data4,396.1668068741738,396.3527998077385,-0.18599293356470525,-469.26105645002656
random3,5,data5,437.0847253935825,437.20153827664944,-0.1168128830669275,-267.1831474504361
random3,6,data6,457.5472242249459,457.79449585386374,-0.24727162891781518,-540.1367451057096
random3,7,data7,439.971160778659,440.1059968753756,-0.13483609671658314,-306.371868763162
random3,8,sample,91.69598654169671,91.67431799062612,0.02166855107059007,236.36446439455074
