run,lane,bin,count,probability,width_ps,ideal_width_ps,dnl_lsb,inl_lsb,phase_center_ps
tdc_near_run03_2mib,a,0,102234,0.38999324796008283,1949.966239800414,19.53125,98.8382714777812,98.8382714777812,974.983119900207
tdc_near_run03_2mib,a,1,1107,0.004222885982078484,21.114429910392417,19.53125,0.08105881141209181,98.9193302891933,1960.5234547556104
tdc_near_run03_2mib,a,2,1357,0.0051765639364774185,25.882819682387094,19.53125,0.32520036773821914,99.24453065693152,1984.022079552
tdc_near_run03_2mib,a,3,1450,0.005531332135513822,27.65666067756911,19.53125,0.4160210266915385,99.66055168362305,2010.791819731978
tdc_near_run03_2mib,a,4,2355,0.008983646330437967,44.91823165218983,19.53125,1.2998134605921194,100.96036514421517,2047.0792658968574
tdc_near_run03_2mib,a,5,47,0.00017929145542699976,0.8964572771349988,19.53125,-0.9541013874106881,100.00626375680449,2069.9866103615195
tdc_near_run03_2mib,a,6,591,0.002254494684199082,11.27247342099541,19.53125,-0.422849360845035,99.58341439595945,2076.071075710585
tdc_near_run03_2mib,a,7,1249,0.004764575060177079,23.822875300885393,19.53125,0.21973121540533214,99.80314561136478,2093.6187500715255
tdc_near_run03_2mib,a,8,1222,0.004661577841101994,23.30788920550997,19.53125,0.19336392732211038,99.9965095386869,2117.184132324723
tdc_near_run03_2mib,a,9,114,0.0004348771472059143,2.1743857360295715,19.53125,-0.8886714503152859,99.10783808837161,2129.925269795493
tdc_near_run03_2mib,a,10,511,0.001949317738791423,9.746588693957115,19.53125,-0.5009746588693957,98.60686342950221,2135.8857570104865
tdc_near_run03_2mib,a,11,761,0.0029029956931903578,14.514978465951788,19.53125,-0.2568331025432684,98.35003032695894,2148.016540590441
tdc_near_run03_2mib,a,12,1453,0.0055427762709666095,27.71388135483305,19.53125,0.41895072536745204,98.7689810523264,2169.130970500833
tdc_near_run03_2mib,a,13,0,0.0,0.0,19.53125,-1.0,97.7689810523264,2182.9879111782498
tdc_near_run03_2mib,a,14,781,0.0029792899295422726,14.896449647711362,19.53125,-0.23730177803717822,97.53167927428922,2190.4361360021053
tdc_near_run03_2mib,a,15,929,0.003543867278546442,17.71933639273221,19.53125,-0.09276997669211084,97.4389092975971,2206.7440290223276
tdc_near_run03_2mib,a,16,1166,0.004447953979316632,22.239769896583162,19.53125,0.13867621870505786,97.57758551630216,2226.723582166985
tdc_near_run03_2mib,a,17,10,3.8147118175957395e-05,0.19073559087978698,19.53125,-0.9902343377469549,96.58735117855521,2237.9388349107167
tdc_near_run03_2mib,a,18,782,0.0029831046413598683,14.915523206799342,19.53125,-0.23632521181187371,96.35102596674334,2245.4919643095564
tdc_near_run03_2mib,a,19,1211,0.0046196160111084406,23.0980800555422,19.53125,0.18262169884376078,96.5336476655871,2264.498765940727
tdc_near_run03_2mib,a,20,911,0.0034752024658297187,17.376012329148594,19.53125,-0.11034816874759201,96.4232994968395,2284.735812133072
tdc_near_run03_2mib,a,21,186,0.0007095363980728076,3.5476819903640378,19.53125,-0.8183586820933613,95.60494081474614,2295.1976592928286
tdc_near_run03_2mib,a,22,855,0.0032615786040443573,16.307893020221787,19.53125,-0.16503587736464453,95.4399049373815,2305.1254467981216
tdc_near_run03_2mib,a,23,1014,0.00386811778304208,19.3405889152104,19.53125,-0.009761847541227553,95.43014308984027,2322.9496877658376
tdc_near_run03_2mib,a,24,1454,0.005546590982784205,27.732954913921027,19.53125,0.41992729159275655,95.85007038143303,2346.4864596804036
tdc_near_run03_2mib,a,25,26,9.918250725748923e-05,0.49591253628744614,19.53125,-0.9746092781420828,94.87546110329095,2360.6008934055076
tdc_near_run03_2mib,a,26,855,0.0032615786040443573,16.307893020221787,19.53125,-0.16503587736464453,94.7104252259263,2369.0027961837623
tdc_near_run03_2mib,a,27,901,0.0034370553476537613,17.185276738268808,19.53125,-0.1201138310006371,94.59031139492566,2385.7493810630076
tdc_near_run03_2mib,a,28,1504,0.005737326573663992,28.68663286831996,19.53125,0.468755602857982,95.05906699778365,2408.685335866302
tdc_near_run03_2mib,a,29,49,0.00018692087906219124,0.9346043953109562,19.53125,-0.952148254960079,94.10691874282357,2423.4959544981175
