label,tdcr_header_found,tdcr_pair_id,tdcr_warmup_packets,tdcr_capture_packets,post_enable_packets,entropy_diff,early_entropy_diff,transition_entropy_diff,same_diff_transition_ratio,longest_same_diff_bin_run,autocorr_diff_lag,first_later_tvd_diff
random1_baseline_warmup0,1,1501,0,32768,32768,6.75885914,6.53655479,13.1433869,0.00994903409,3,-0.00828029621,0.0682198661
random1_baseline_warmup12,1,1502,12,32768,32768,6.66618773,6.44347457,12.9741476,0.0116580706,3,3.7151515e-06,0.0660574777
random3_goodref_warmup0,1,1503,0,32768,32768,6.61583322,6.43642158,12.8972806,0.0131534776,3,-0.00921983278,0.0677664621
random3_goodref_warmup12,1,1504,12,32768,32768,6.6077804,6.46443563,12.8768013,0.012939848,3,-0.00613230918,0.0748465402
random1_sampler_local_warmup0,1,1505,0,32768,32768,6.65463511,6.43888114,12.9439023,0.0130314035,3,-0.000825613455,0.0567103795
random1_sampler_local_warmup12,1,1506,12,32768,32768,6.73355672,6.50238974,13.0993098,0.0106509598,3,0.00185526998,0.0721261161
