label,entropy_diff_mean,entropy_diff_std,transition_entropy_diff_mean,same_diff_transition_ratio_mean,autocorr_diff_lag_mean,diff_std_bin_mean
random1_baseline_warmup0,6.740051485,0.013011622225980695,11.60780335,0.0099511599425,-0.008388878985125,35.666845512500004
random1_baseline_warmup12,6.6476145925,0.011158740200200332,11.5368171625,0.011660561655,-0.0002153066912499999,35.49290555
random3_goodref_warmup0,6.59666805,0.015812110004397757,11.5127003375,0.01315628815,-0.009272640935,34.229929225
random3_goodref_warmup12,6.589104320000001,0.015417707821228529,11.4978670625,0.0129426129375,-0.0062592917887499995,34.418867275
random1_sampler_local_warmup0,6.6359188825,0.011987443543062233,11.5169668375,0.01303418805,-0.0008692120424999999,35.177305875
random1_sampler_local_warmup12,6.71266767625,0.015022158614505524,11.5927275875,0.0106532356525,0.0018041009537500003,35.1860353
