placement,delta_entropy_diff_w12_minus_w0,delta_early_entropy_diff_w12_minus_w0,delta_transition_entropy_diff_w12_minus_w0,delta_same_ratio_w12_minus_w0
random1_baseline,-0.09267141000000034,-0.09308022000000005,-0.1692392999999992,0.0017090365100000011
random1_sampler_local,0.07892161000000009,0.06350859999999958,0.1554075000000008,-0.0023804437
random3_goodref,-0.008052819999999627,0.028014049999999457,-0.020479299999999867,-0.00021362959999999924
