family,mode,a_index,a_name,b_index,b_name,relation,freq_a_mhz,freq_b_mhz,abs_delta_f_mhz,beat_period_ns
random3,all_on,3,data3,7,data7,data_data,439.3293919730834,439.83359769286227,0.504205719778895,1983.3174451859084
random3,all_on,3,data3,5,data5,data_data,439.3293919730834,437.0027397260274,2.3266522470559607,429.80209064992596
random3,all_on,5,data5,7,data7,data_data,437.0027397260274,439.83359769286227,2.8308579668348557,353.2497962510237
random3,all_on,0,data0,6,data6,data_data,460.3921172795001,457.46022590723385,2.93189137226625,341.0767566149747
random3,all_on,1,data1,7,data7,data_data,448.5444844989185,439.83359769286227,8.710886806056237,114.7988743585499
random3,all_on,1,data1,6,data6,data_data,448.5444844989185,457.46022590723385,8.915741408315341,112.16117137127166
random3,all_on,1,data1,3,data3,data_data,448.5444844989185,439.3293919730834,9.215092525835132,108.51762987690385
random3,all_on,1,data1,5,data5,data_data,448.5444844989185,437.0027397260274,11.541744772891093,86.64201294320512
random3,all_on,0,data0,1,data1,data_data,460.3921172795001,448.5444844989185,11.847632780581591,84.4050468578847
random3,all_on,2,data2,4,data4,data_data,412.3323239605864,396.11497236241286,16.217351598173536,61.662349363667005
random3,all_on,6,data6,7,data7,data_data,457.46022590723385,439.83359769286227,17.62662821437158,56.73234766389789
random3,all_on,3,data3,6,data6,data_data,439.3293919730834,457.46022590723385,18.130833934150473,55.154661039415416
random3,all_on,5,data5,6,data6,data_data,437.0027397260274,457.46022590723385,20.457486181206434,48.88186119947936
random3,all_on,0,data0,7,data7,data_data,460.3921172795001,439.83359769286227,20.55851958663783,48.64163471429907
random3,all_on,0,data0,3,data3,data_data,460.3921172795001,439.3293919730834,21.062725306416723,47.47723694119259
random3,all_on,0,data0,5,data5,data_data,460.3921172795001,437.0027397260274,23.389377553472684,42.7544511483388
random3,all_on,2,data2,5,data5,data_data,412.3323239605864,437.0027397260274,24.67041576544102,40.534379700273504
random3,all_on,2,data2,3,data3,data_data,412.3323239605864,439.3293919730834,26.99706801249698,37.04105940456566
random3,all_on,2,data2,7,data7,data_data,412.3323239605864,439.83359769286227,27.501273732275877,36.361952167560375
random3,all_on,1,data1,2,data2,data_data,448.5444844989185,412.3323239605864,36.212160538332114,27.61503277169716
random3,all_on,4,data4,5,data5,data_data,396.11497236241286,437.0027397260274,40.88776736361456,24.457192565859827
random3,all_on,3,data3,4,data4,data_data,439.3293919730834,396.11497236241286,43.21441961067052,23.14042416881331
random3,all_on,4,data4,7,data7,data_data,396.11497236241286,439.83359769286227,43.71862533044941,22.873546284711608
random3,all_on,2,data2,6,data6,data_data,412.3323239605864,457.46022590723385,45.127901946647455,22.159239779909374
random3,all_on,0,data0,2,data2,data_data,460.3921172795001,412.3323239605864,48.059793318913705,20.807413659984565
random3,all_on,1,data1,4,data4,data_data,448.5444844989185,396.11497236241286,52.42951213650565,19.073227257892402
random3,all_on,4,data4,6,data6,data_data,396.11497236241286,457.46022590723385,61.34525354482099,16.301179671046025
random3,all_on,0,data0,4,data4,data_data,460.3921172795001,396.11497236241286,64.27714491708724,15.557629407621107
random3,all_on,4,data4,8,sample,data_sample,396.11497236241286,91.678731074261,304.43624128815185,3.2847600396349996
random3,all_on,2,data2,8,sample,data_sample,412.3323239605864,91.678731074261,320.6535928863254,3.1186302670075152
random3,all_on,5,data5,8,sample,data_sample,437.0027397260274,91.678731074261,345.3240086517664,2.8958310889076517
random3,all_on,3,data3,8,sample,data_sample,439.3293919730834,91.678731074261,347.65066089882237,2.8764507376876023
random3,all_on,7,data7,8,sample,data_sample,439.83359769286227,91.678731074261,348.15486661860126,2.8722849969392668
random3,all_on,1,data1,8,sample,data_sample,448.5444844989185,91.678731074261,356.8657534246575,2.802174180076158
random3,all_on,6,data6,8,sample,data_sample,457.46022590723385,91.678731074261,365.78149483297284,2.733872582746787
random3,all_on,0,data0,8,sample,data_sample,460.3921172795001,91.678731074261,368.7133862052391,2.7121336990010017
