family,mode,a_index,a_name,b_index,b_name,relation,freq_a_mhz,freq_b_mhz,abs_delta_f_mhz,beat_period_ns
random1,all_on,4,data4,5,data5,data_data,456.5741408315309,457.2319154049507,0.6577745734198288,1520.2776762879578
random1,all_on,0,data0,1,data1,data_data,413.93439077144916,412.7885123768325,1.145878394616659,872.6929530201492
random1,all_on,2,data2,4,data4,data_data,454.6147560682528,456.5741408315309,1.9593847632780808,510.36428308597476
random1,all_on,2,data2,5,data5,data_data,454.6147560682528,457.2319154049507,2.6171593366979096,382.0936639118457
random1,all_on,2,data2,7,data7,data_data,454.6147560682528,446.2819033886085,8.332852679644304,120.00692181236137
random1,all_on,1,data1,6,data6,data_data,412.7885123768325,403.099254986782,9.6892573900505,103.20708386040594
random1,all_on,4,data4,7,data7,data_data,456.5741408315309,446.2819033886085,10.292237442922385,97.1606033717834
random1,all_on,0,data0,6,data6,data_data,413.93439077144916,403.099254986782,10.835135784667159,92.29233669734936
random1,all_on,5,data5,7,data7,data_data,457.2319154049507,446.2819033886085,10.950012016342214,91.32410069574006
random1,all_on,3,data3,7,data7,data_data,433.6000961307378,446.2819033886085,12.681807257870673,78.85311451799372
random1,all_on,0,data0,3,data3,data_data,413.93439077144916,433.6000961307378,19.665705359288665,50.84994317418022
random1,all_on,1,data1,3,data3,data_data,412.7885123768325,433.6000961307378,20.811583753905325,48.05016340057966
random1,all_on,2,data2,3,data3,data_data,454.6147560682528,433.6000961307378,21.014659937514978,47.58582832048682
random1,all_on,3,data3,4,data4,data_data,433.6000961307378,456.5741408315309,22.97404470079306,43.52738113918096
random1,all_on,3,data3,5,data5,data_data,433.6000961307378,457.2319154049507,23.631819274212887,42.315828011227346
random1,all_on,3,data3,6,data6,data_data,433.6000961307378,403.099254986782,30.500841143955824,32.785981058039255
random1,all_on,0,data0,7,data7,data_data,413.93439077144916,446.2819033886085,32.34751261715934,30.914278072482503
random1,all_on,1,data1,7,data7,data_data,412.7885123768325,446.2819033886085,33.493391011776,29.856636482355828
