label,byte_index,byte_phase_mod8,ones,zeros,p1,abs_bias,entropy,min_entropy
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,34,2,1650,6350,0.206250000,0.293750000,0.734253338,0.333243408
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,35,3,1684,6316,0.210500000,0.289500000,0.742437385,0.340988829
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,36,4,1725,6275,0.215625000,0.284375000,0.752098034,0.350384541
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,37,5,1649,6351,0.206125000,0.293875000,0.734010232,0.333016230
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,38,6,1634,6366,0.204250000,0.295750000,0.730347089,0.329612843
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,39,7,1667,6333,0.208375000,0.291625000,0.738365109,0.337110921
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,40,0,1630,6370,0.203750000,0.296250000,0.729364989,0.328706628
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,41,1,1671,6329,0.208875000,0.291125000,0.739326833,0.338022432
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,42,2,1666,6334,0.208250000,0.291750000,0.738124336,0.336883133
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,43,3,1632,6368,0.204000000,0.296000000,0.729856317,0.329159664
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,44,4,1684,6316,0.210500000,0.289500000,0.742437385,0.340988829
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,45,5,1668,6332,0.208500000,0.291500000,0.738605745,0.337338745
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,46,6,1647,6353,0.205875000,0.294125000,0.733523609,0.332561981
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,47,7,1653,6347,0.206625000,0.293375000,0.734981827,0.333925157
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,48,0,1636,6364,0.204500000,0.295500000,0.730837307,0.330066164
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,49,1,1662,6338,0.207750000,0.292250000,0.737159877,0.335972340
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,50,2,1681,6319,0.210125000,0.289875000,0.741721605,0.340303734
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,51,3,1565,6435,0.195625000,0.304375000,0.713091323,0.314059852
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,52,4,1686,6314,0.210750000,0.289250000,0.742913894,0.341445739
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,53,5,1633,6367,0.204125000,0.295875000,0.730101772,0.329386236
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,54,6,1636,6364,0.204500000,0.295500000,0.730837307,0.330066164
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,55,7,1677,6323,0.209625000,0.290375000,0.740765329,0.339390780
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,56,0,1654,6346,0.206750000,0.293250000,0.735224382,0.334152479
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,57,1,1689,6311,0.211125000,0.288875000,0.743627640,0.342131377
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,58,2,1659,6341,0.207375000,0.292625000,0.736435095,0.335289623
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,59,3,1642,6358,0.205250000,0.294750000,0.732304636,0.331426984
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,60,4,1634,6366,0.204250000,0.295750000,0.730347089,0.329612843
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,61,5,1692,6308,0.211500000,0.288500000,0.744340169,0.342817340
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,62,6,1630,6370,0.203750000,0.296250000,0.729364989,0.328706628
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,63,7,1585,6415,0.198125000,0.301875000,0.718162208,0.318550735
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,64,0,1647,6353,0.205875000,0.294125000,0.733523609,0.332561981
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,65,1,1660,6340,0.207500000,0.292500000,0.736676826,0.335517160
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,66,2,1683,6317,0.210375000,0.289625000,0.742198927,0.340760428
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,67,3,1654,6346,0.206750000,0.293250000,0.735224382,0.334152479
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,68,4,1658,6342,0.207250000,0.292750000,0.736193227,0.335062123
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,69,5,1697,6303,0.212125000,0.287875000,0.745525014,0.343961337
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,70,6,1667,6333,0.208375000,0.291625000,0.738365109,0.337110921
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,71,7,1698,6302,0.212250000,0.287750000,0.745761578,0.344190246
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,72,0,1660,6340,0.207500000,0.292500000,0.736676826,0.335517160
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,73,1,1603,6397,0.200375000,0.299625000,0.722677461,0.322604517
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,74,2,1766,6234,0.220750000,0.279250000,0.761534618,0.359841845
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,75,3,1627,6373,0.203375000,0.296625000,0.728626956,0.328027339
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,76,4,1663,6337,0.207875000,0.292125000,0.737401197,0.336199984
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,77,5,1630,6370,0.203750000,0.296250000,0.729364989,0.328706628
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,78,6,1650,6350,0.206250000,0.293750000,0.734253338,0.333243408
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,79,7,1617,6383,0.202125000,0.297875000,0.726157790,0.325765352
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,80,0,1611,6389,0.201375000,0.298625000,0.724669586,0.324409860
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,81,1,1691,6309,0.211375000,0.288625000,0.744102795,0.342588649
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,82,2,1658,6342,0.207250000,0.292750000,0.736193227,0.335062123
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,83,3,1668,6332,0.208500000,0.291500000,0.738605745,0.337338745
