label,warmup,restart_status_reference,frames,seq_continuous,rand_p1,rand_abs_bias,rand_min_entropy,stage_xor_entropy,stage_xor_min_entropy,worst_bit_index,worst_bit_line,worst_bit_data_ro,worst_bit_p1,worst_bit_abs_bias,fixed_sampled_bits,heavily_biased_sampled_bits,worst_stage,worst_stage_p1,worst_stage_abs_bias,sha256
restart_aligned_regs_only_warmup4_cap1024_run01,4,restart_fail_global_low,1024,True,0.3408203125,0.1591796875,0.6012563080618067,1.9785792132398,0.7711813095041191,1,0,1,0.0,0.5,19,60,0,0.0,0.5,B9641489DDB29B6588C0D125B080C8DF8BA9BE03F529C11EBB7D70B2F7929295
restart_aligned_regs_only_warmup5_cap1024_run01,5,restart_pass,1024,True,0.5146484375,0.0146484375,0.9583408483627854,5.585575964911622,3.7520724865564143,2,0,2,1.0,0.5,38,52,2,0.018554688,0.481445312,83FB8164F8E433ABDBB79E2D30DE6A2D6F44B451AD6B829363C076C28012B33D
restart_aligned_regs_only_warmup10_cap1024_run01,10,restart_pass,1024,True,0.4482421875,0.0517578125,0.85789294269745,4.7539951726968575,3.117356950638159,1,0,1,1.0,0.5,22,56,3,0.0,0.5,8551CFA1CCC648E65C8F06026EA737F8ED614A6705C55A109697BB98E74AB801
restart_aligned_regs_only_warmup11_cap1024_run01,11,restart_fail_global_high,1024,True,0.5048828125,0.0048828125,0.9859795296850654,5.4725988946461745,3.810175441119983,1,0,1,1.0,0.5,27,53,4,0.977539062,0.477539062,CE049ABD15FEDA176ECBA36DAB517688F73EA67EC5DC31698A2C3A0CCAEC3B2A
