label,warmup,restart_status_reference,frames,seq_continuous,rand_p1,rand_abs_bias,rand_min_entropy,stage_xor_entropy,stage_xor_min_entropy,worst_bit_index,worst_bit_line,worst_bit_data_ro,worst_bit_p1,worst_bit_abs_bias,worst_stage,worst_stage_p1,worst_stage_abs_bias,sha256
regs_only_warmup4_cap1024_run01,4,restart_fail_global_low,1024,True,0.5068359375,0.0068359375,0.9804092716421192,7.805930581279666,6.830074998557688,2,0,2,0.563476562,0.063476562,2,0.491210938,0.008789062,9BCE56132DD9EF9FE019282F4149746D5137577EBE296446354E7AEA0297F2E9
regs_only_warmup5_cap1024_run01,5,restart_pass,1024,True,0.4404296875,0.0595703125,0.8376086712430951,7.805915160473572,6.678071905112637,10,1,2,0.567382812,0.067382812,1,0.52734375,0.02734375,A6D56470221BFF61AD2003A4C8617921C987D9D7710790734C4C9F989C8DD1FF
regs_only_warmup10_cap1024_run01,10,restart_pass,1024,True,0.455078125,0.044921875,0.8758786881708124,7.827542421736401,6.678071905112637,6,0,6,0.56640625,0.06640625,4,0.521484375,0.021484375,ABD43A1E17556C7D83FE612AAC00CFE4188201775BAE817297A2659E4153F3E8
regs_only_warmup11_cap1024_run01,11,restart_fail_global_high,1024,True,0.482421875,0.017578125,0.9501514505494385,7.804820053722123,6.415037499278844,15,1,7,0.583984375,0.083984375,2,0.47265625,0.02734375,79F9320ECB58EF046E5DFD4590BAC0F316098DFB045D55524F1B50E487505CB8
