label,stage,ones,zeros,p1,abs_bias
restart_byte_bits_regs_only_warmup32_cap64_smoke01,0,245,267,0.478515625,0.021484375
restart_byte_bits_regs_only_warmup32_cap64_smoke01,1,233,279,0.455078125,0.044921875
restart_byte_bits_regs_only_warmup32_cap64_smoke01,2,289,223,0.564453125,0.064453125
restart_byte_bits_regs_only_warmup32_cap64_smoke01,3,206,306,0.402343750,0.097656250
restart_byte_bits_regs_only_warmup32_cap64_smoke01,4,272,240,0.531250000,0.031250000
restart_byte_bits_regs_only_warmup32_cap64_smoke01,5,312,200,0.609375000,0.109375000
restart_byte_bits_regs_only_warmup32_cap64_smoke01,6,201,311,0.392578125,0.107421875
restart_byte_bits_regs_only_warmup32_cap64_smoke01,7,238,274,0.464843750,0.035156250
