label,formal_restart_warmup_bytes,snapshot_warmup_bits,restart_status_reference,frames,seq_continuous,rand_p1,rand_abs_bias,rand_min_entropy,stage_xor_entropy,stage_xor_min_entropy,fixed_sampled_bits,heavily_biased_sampled_bits,mean_sampled_bit_abs_bias,worst_bit_index,worst_bit_line,worst_bit_data_ro,worst_bit_p1,worst_bit_abs_bias,worst_stage,worst_stage_p1,worst_stage_abs_bias,sha256
restart_aligned_bits_regs_only_warmup32_cap1024_run01,4,32,restart_fail_global_low,1024,True,0.470703125,0.029296875,0.9178509586461284,7.301296369639084,5.607682577221239,15,42,0.41632080089062495,0,0,0,1.0,0.5,0,0.752929688,0.252929688,EF0EBB1627C61B3945417BC5099C677373EF7F75F38BC26219A5D88262FED905
restart_aligned_bits_regs_only_warmup40_cap1024_run01,5,40,restart_pass,1024,True,0.4853515625,0.0146484375,0.9583408483627854,6.642462547484896,5.045803689613125,12,43,0.4155273437968753,0,0,0,0.0,0.5,1,0.071289062,0.428710938,645C76E7A2646DF4AD7C33C691BF4052B2CF959D9852035C32D023431ED74DF8
restart_aligned_bits_regs_only_warmup80_cap1024_run01,10,80,restart_pass,1024,True,0.4658203125,0.0341796875,0.9046029772074434,7.785171775240603,6.0,0,17,0.32058715820312494,24,3,0,0.001953125,0.498046875,4,0.561523438,0.061523438,2CE6328ABBE039D68714FE81A62628CE8E6C4F13A69D7E938462EDF46327033F
restart_aligned_bits_regs_only_warmup88_cap1024_run01,11,88,restart_fail_global_high,1024,True,0.490234375,0.009765625,0.9720940034301155,7.7587832469782985,6.415037499278844,0,4,0.29295349114062486,24,3,0,0.021484375,0.478515625,4,0.541992188,0.041992188,4A0FABFDE88EBE4A3C3806B399533CE93C26FA368BBB365E5E3435E4E41C0FF4
