bin,count,probability,width_ps_nominal,ideal_width_ps,dnl_lsb,inl_lsb,phase_center_ps_nominal,dead_code
0,437252,0.4169963998760222,2084.981999380111,76.92307692307692,26.104765991941445,26.104765991941445,1042.4909996900556,0
1,5228,0.0049858140810147104,24.929070405073553,76.92307692307692,-0.6759220847340438,25.4288439072074,2097.446534582648,0
2,4129,0.003937725007748611,19.688625038743055,76.92307692307692,-0.7440478744963402,24.684796032711063,2119.7553823045564,0
3,4279,0.004080776291633884,20.40388145816942,76.92307692307692,-0.7347495410437975,23.950046491667266,2139.801635553012,0
4,3839,0.0036611591922370837,18.305795961185417,76.92307692307692,-0.7620246525045895,23.188021839162676,2159.1564742626897,0
5,149,0.00014209760865937105,0.7104880432968552,76.92307692307692,-0.9907636554371408,22.197258183725534,2168.6646162649313,0
6,3185,0.003037455594497294,15.18727797248647,76.92307692307692,-0.8025653863576758,21.39469279736786,2176.6134992728225,0
7,2241,0.0021371861812459767,10.685930906229883,76.92307692307692,-0.8610828982190115,20.53360989914885,2189.5501037121808,0
8,3940,0.0037574803900531674,18.78740195026584,76.92307692307692,-0.7557637746465441,19.777846124502307,2204.2867701404284,0
9,117,0.00011158000143051284,0.5579000071525642,76.92307692307692,-0.9927472999070167,18.78509882459529,2213.959421119138,0
10,3227,0.0030775099539851703,15.387549769925851,76.92307692307692,-0.7999618529909639,17.985136971604327,2221.9321460076767,0
11,2447,0.0023336432777817514,11.668216388908757,76.92307692307692,-0.8483131869441861,17.13682378466014,2235.4600290870944,0
12,7326,0.006986624704956727,34.93312352478363,76.92307692307692,-0.5458693941778128,16.590954390482327,2258.7606990439403,0
13,963,0.0009183892425434518,4.591946212717259,76.92307692307692,-0.9403046992346756,15.650649691247652,2278.523233912691,0
14,2783,0.0026540781536847627,13.270390768423812,76.92307692307692,-0.8274849200104905,14.823164771237161,2287.454402403261,0
15,3296,0.003143313544572396,15.71656772286198,76.92307692307692,-0.7956846196027942,14.027480151634368,2301.9478816489045,0
16,6940,0.006618506067758625,33.092530338793125,76.92307692307692,-0.5697971055956894,13.457683046038678,2326.3524306797317,0
17,63,6.0081539231814605e-05,0.30040769615907303,76.92307692307692,-0.996094699949932,12.461588346088746,2343.0488996972076,0
18,1811,0.0017271058341081945,8.635529170540972,76.92307692307692,-0.8877381207829673,11.57385022530578,2347.516868130558,0
19,2685,0.0025606179815463844,12.803089907731922,76.92307692307692,-0.833559831199485,10.740290394106294,2358.2361776696944,0
20,1321,0.001259804973416303,6.299024867081515,76.92307692307692,-0.9181126767279403,9.822177717378354,2367.787235057101,0
21,892,0.0008506783015044227,4.253391507522113,76.92307692307692,-0.9447059104022125,8.877471806976141,2373.063443244403,0
22,2314,0.0022068044727368095,11.034022363684047,76.92307692307692,-0.8565577092721074,8.020914097704033,2380.7071501800065,0
