bin,count,probability,width_ps_nominal,ideal_width_ps,dnl_lsb,inl_lsb,phase_center_ps_nominal,dead_code
0,96150,0.36678454126183035,1833.9227063091519,76.92307692307692,22.840995182018975,22.840995182018975,916.9613531545759,0
1,1924,0.007339505537054203,36.69752768527101,76.92307692307692,-0.5229321400914768,22.3180630419275,1852.2714701517873,0
2,1591,0.006069206501794822,30.34603250897411,76.92307692307692,-0.6055015773833365,21.712561464544162,1885.79325024891,0
3,1165,0.0044441392674990365,22.220696337495184,76.92307692307692,-0.7111309476125627,21.0014305169316,1912.0766146721446,0
4,880,0.0033569463994842508,16.784731997421254,76.92307692307692,-0.7817984840335237,20.219632032898076,1931.5793288396028,0
5,552,0.002105720923312848,10.528604616564241,76.92307692307692,-0.8631281399846649,19.356503892913413,1945.2359971465955,0
6,823,0.0031395078258812936,15.697539129406469,76.92307692307692,-0.7959319913177159,18.560571901595697,1958.3490690195808,0
7,963,0.003673567480344697,18.367837401723484,76.92307692307692,-0.7612181137775946,17.799353787818102,1975.381757285146,0
8,4069,0.015522062385797064,77.61031192898533,76.92307692307692,0.008934055076809333,17.808287842894913,2023.3708319505006,0
9,21,8.010894816951053e-05,0.40054474084755265,76.92307692307692,-0.9947929183689819,16.81349492452593,2062.3762602854167,0
10,1213,0.004627245434743632,23.13622717371816,76.92307692307692,-0.699229046741664,16.114265877784266,2074.1446462426998,0
11,1192,0.0045471364865741215,22.735682432870608,76.92307692307692,-0.7044361283726821,15.409829749411584,2097.080601045994,0
12,902,0.003440870059471357,17.204350297356786,76.92307692307692,-0.7763434461343618,14.633486303277222,2117.050617411108,0
13,2,7.629423635191479e-06,0.038147118175957395,76.92307692307692,-0.9995040874637126,13.633982215813509,2125.6718661188747,0
14,1184,0.004516618792033356,22.583093960166778,76.92307692307692,-0.7064197785178319,12.927562437295677,2136.9824866580457,0
15,1033,0.003940597307576399,19.702986537881994,76.92307692307692,-0.7438611750075341,12.183701262288142,2158.1255269070703,0
