bram_tiles,cohort,dcp_exists,drc_critical_warning_count,drc_error_count,drc_violations,drc_warning_count,dsps,dynamic_power_w,fully_routed_nets,index,junction_temp_c,kind,label,logical_nets,lut_as_logic,mode,reports_exist,routable_nets,routing_error_nets,run_dir,run_dir_path,slice_luts,slice_registers,static_power_w,ths_failing_endpoints,ths_ns,ths_total_endpoints,tns_failing_endpoints,tns_ns,tns_total_endpoints,total_on_chip_power_w,tpws_failing_endpoints,tpws_ns,tpws_total_endpoints,whs_ns,wns_ns,wpws_ns
0.5,second_heldout_sample_ro_local,True,0,0,31,31,0,0.114,647,all,27.6,all640,second_all640,981,348,all640,True,647,0,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_all640_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_all640_header_delay60s,349,365,0.108,0,0.000,537,0,0.000,551,0.221,0,0.000,248,0.117,0.636,1.646
0.5,second_heldout_sample_ro_local,True,0,0,31,31,0,0.114,582,0,27.6,data_ro,second_data_ro0,970,337,data_ro,True,582,0,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro0_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro0_header_delay60s,338,365,0.108,0,0.000,537,0,0.000,551,0.222,0,0.000,248,0.120,0.489,1.646
0.5,second_heldout_sample_ro_local,True,0,0,31,31,0,0.114,581,1,27.6,data_ro,second_data_ro1,970,337,data_ro,True,581,0,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro1_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro1_header_delay60s,338,365,0.108,0,0.000,537,0,0.000,551,0.221,0,0.000,248,0.116,0.441,1.646
0.5,second_heldout_sample_ro_local,True,0,0,31,31,0,0.115,579,2,27.6,data_ro,second_data_ro2,970,337,data_ro,True,579,0,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro2_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro2_header_delay60s,338,365,0.108,0,0.000,537,0,0.000,551,0.223,0,0.000,248,0.036,0.493,1.646
0.5,second_heldout_sample_ro_local,True,0,0,31,31,0,0.114,581,3,27.6,data_ro,second_data_ro3,970,337,data_ro,True,581,0,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro3_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro3_header_delay60s,338,365,0.108,0,0.000,537,0,0.000,551,0.221,0,0.000,248,0.112,0.387,1.646
0.5,second_heldout_sample_ro_local,True,0,0,31,31,0,0.114,580,4,27.6,data_ro,second_data_ro4,970,337,data_ro,True,580,0,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro4_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro4_header_delay60s,338,365,0.108,0,0.000,537,0,0.000,551,0.222,0,0.000,248,0.130,0.532,1.646
0.5,second_heldout_sample_ro_local,True,0,0,31,31,0,0.115,579,5,27.6,data_ro,second_data_ro5,970,338,data_ro,True,579,0,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro5_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro5_header_delay60s,339,365,0.108,0,0.000,537,0,0.000,551,0.222,0,0.000,248,0.059,0.618,1.646
0.5,second_heldout_sample_ro_local,True,0,0,31,31,0,0.114,580,6,27.6,data_ro,second_data_ro6,970,337,data_ro,True,580,0,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro6_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro6_header_delay60s,338,365,0.108,0,0.000,537,0,0.000,551,0.222,0,0.000,248,0.119,0.690,1.646
0.5,second_heldout_sample_ro_local,True,0,0,31,31,0,0.115,580,7,27.6,data_ro,second_data_ro7,970,337,data_ro,True,580,0,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro7_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro7_header_delay60s,338,365,0.108,0,0.000,537,0,0.000,551,0.222,0,0.000,248,0.111,0.749,1.646
0.5,second_heldout_sample_ro_local,True,0,0,31,31,0,0.115,651,0,27.6,except_data_ro,second_except_data_ro0,985,351,except_data_ro,True,651,0,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_except_data_ro0_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_except_data_ro0_header_delay60s,352,366,0.108,0,0.000,537,0,0.000,551,0.223,0,0.000,248,0.061,0.636,1.646
