bit_order,expanded_column,byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
lsb,0,0,0,221,779,0.221000000,0.279000000,779,7,0,False
lsb,1,0,1,437,563,0.437000000,0.063000000,563,6,1,False
lsb,2,0,2,182,818,0.182000000,0.318000000,818,5,2,False
lsb,3,0,3,101,899,0.101000000,0.399000000,899,4,3,False
lsb,4,0,4,362,638,0.362000000,0.138000000,638,3,4,False
lsb,5,0,5,176,824,0.176000000,0.324000000,824,2,5,False
lsb,6,0,6,130,870,0.130000000,0.370000000,870,1,6,False
lsb,7,0,7,316,684,0.316000000,0.184000000,684,0,7,False
lsb,8,1,0,308,692,0.308000000,0.192000000,692,15,8,False
lsb,9,1,1,233,767,0.233000000,0.267000000,767,14,9,False
lsb,10,1,2,334,666,0.334000000,0.166000000,666,13,10,False
lsb,11,1,3,314,686,0.314000000,0.186000000,686,12,11,False
lsb,12,1,4,265,735,0.265000000,0.235000000,735,11,12,False
lsb,13,1,5,408,592,0.408000000,0.092000000,592,10,13,False
lsb,14,1,6,469,531,0.469000000,0.031000000,531,9,14,False
lsb,15,1,7,118,882,0.118000000,0.382000000,882,8,15,False
lsb,16,2,0,397,603,0.397000000,0.103000000,603,23,16,False
lsb,17,2,1,228,772,0.228000000,0.272000000,772,22,17,False
lsb,18,2,2,257,743,0.257000000,0.243000000,743,21,18,False
lsb,19,2,3,343,657,0.343000000,0.157000000,657,20,19,False
lsb,20,2,4,245,755,0.245000000,0.255000000,755,19,20,False
lsb,21,2,5,252,748,0.252000000,0.248000000,748,18,21,False
lsb,22,2,6,281,719,0.281000000,0.219000000,719,17,22,False
lsb,23,2,7,300,700,0.300000000,0.200000000,700,16,23,False
lsb,24,3,0,223,777,0.223000000,0.277000000,777,31,24,False
lsb,25,3,1,304,696,0.304000000,0.196000000,696,30,25,False
lsb,26,3,2,333,667,0.333000000,0.167000000,667,29,26,False
lsb,27,3,3,202,798,0.202000000,0.298000000,798,28,27,False
lsb,28,3,4,296,704,0.296000000,0.204000000,704,27,28,False
lsb,29,3,5,376,624,0.376000000,0.124000000,624,26,29,False
lsb,30,3,6,147,853,0.147000000,0.353000000,853,25,30,False
lsb,31,3,7,262,738,0.262000000,0.238000000,738,24,31,False
lsb,32,4,0,242,758,0.242000000,0.258000000,758,39,32,False
lsb,33,4,1,268,732,0.268000000,0.232000000,732,38,33,False
lsb,34,4,2,349,651,0.349000000,0.151000000,651,37,34,False
lsb,35,4,3,262,738,0.262000000,0.238000000,738,36,35,False
lsb,36,4,4,243,757,0.243000000,0.257000000,757,35,36,False
lsb,37,4,5,257,743,0.257000000,0.243000000,743,34,37,False
lsb,38,4,6,354,646,0.354000000,0.146000000,646,33,38,False
lsb,39,4,7,352,648,0.352000000,0.148000000,648,32,39,False
lsb,40,5,0,276,724,0.276000000,0.224000000,724,47,40,False
lsb,41,5,1,362,638,0.362000000,0.138000000,638,46,41,False
lsb,42,5,2,223,777,0.223000000,0.277000000,777,45,42,False
lsb,43,5,3,279,721,0.279000000,0.221000000,721,44,43,False
lsb,44,5,4,363,637,0.363000000,0.137000000,637,43,44,False
lsb,45,5,5,206,794,0.206000000,0.294000000,794,42,45,False
lsb,46,5,6,272,728,0.272000000,0.228000000,728,41,46,False
lsb,47,5,7,358,642,0.358000000,0.142000000,642,40,47,False
lsb,48,6,0,271,729,0.271000000,0.229000000,729,55,48,False
lsb,49,6,1,256,744,0.256000000,0.244000000,744,54,49,False
lsb,50,6,2,289,711,0.289000000,0.211000000,711,53,50,False
lsb,51,6,3,299,701,0.299000000,0.201000000,701,52,51,False
lsb,52,6,4,237,763,0.237000000,0.263000000,763,51,52,False
lsb,53,6,5,298,702,0.298000000,0.202000000,702,50,53,False
lsb,54,6,6,311,689,0.311000000,0.189000000,689,49,54,False
lsb,55,6,7,181,819,0.181000000,0.319000000,819,48,55,False
lsb,56,7,0,346,654,0.346000000,0.154000000,654,63,56,False
lsb,57,7,1,240,760,0.240000000,0.260000000,760,62,57,False
lsb,58,7,2,291,709,0.291000000,0.209000000,709,61,58,False
