family,data_shift_min_mhz,data_shift_max_mhz,data_shift_mean_mhz,data_mean_abs_ppm,sample_shift_mhz,sample_shift_ppm
random1,-0.315548265063228,-0.057447587656440646,-0.18504094978992214,421.577454650692,0.31093080900102166,3466.9123682974628
random3,-0.31026195626054687,-0.11295361691901462,-0.20935472242250341,478.08528557364525,-0.07570295602018007,-824.55552530723
