source,source_sha256,source_bytes,offset_bytes,read_bytes,mode,bits_per_symbol,output,output_bytes,output_sha256
data\hardware\20260511_fpga1_board1\trng\random3_run01.bin,42ba7d7466e4d8f3303ef544585ae322938fd9d83341b7f6a5f58e1439848c7d,10485760,0,1000000,bit-symbols-lsb,1,data\sp800_90b\inputs_smoke_20260514\random3_run01_bps1_lsb.bin,8000000,3930e011b509a6d274b51df40fdc7fffa83b6d6c912bf5029990420454c48dcf
data\hardware\20260511_fpga1_board1\trng\random3_run01.bin,42ba7d7466e4d8f3303ef544585ae322938fd9d83341b7f6a5f58e1439848c7d,10485760,0,1000000,byte-symbols,8,data\sp800_90b\inputs_smoke_20260514\random3_run01_bps8.bin,1000000,b54ea545e726a26346fc234a57ffad0366abbdaabee51c634175749ef1bd013d
data\hardware\20260511_fpga1_board1\trng\compact_run01.bin,465a74cbd8ea45d543da994ff2c4b4fd147a906b15cdeb460aa8a643bcb74716,10485760,0,1000000,bit-symbols-msb,1,data\sp800_90b\inputs_smoke_20260514\compact_run01_bps1_msb.bin,8000000,b4c9b512463e972ccde28c53e65181e441667e13837a3ed0a9032089d1c3c65e
data\hardware\20260511_fpga1_board1\trng\compact_run01.bin,465a74cbd8ea45d543da994ff2c4b4fd147a906b15cdeb460aa8a643bcb74716,10485760,0,1000000,bit-symbols-lsb,1,data\sp800_90b\inputs_smoke_20260514\compact_run01_bps1_lsb.bin,8000000,c703287e66f58c45f9f83e7292e9512415254d1ddf0288a1e660117748160bd4
data\hardware\20260511_fpga1_board1\trng\compact_run01.bin,465a74cbd8ea45d543da994ff2c4b4fd147a906b15cdeb460aa8a643bcb74716,10485760,0,1000000,byte-symbols,8,data\sp800_90b\inputs_smoke_20260514\compact_run01_bps8.bin,1000000,850d462e3b1a618013788430e9e2d6fe6f942f2a671141dc91b31946500b3b16
data\hardware\20260511_fpga1_board1\trng\sparse_run01.bin,3f7a3b491848262bff1c3ae8e9a136c2226227b0c1b27da796227b6f2e2a5791,10485760,0,1000000,bit-symbols-msb,1,data\sp800_90b\inputs_smoke_20260514\sparse_run01_bps1_msb.bin,8000000,ac820fd1d7159c31abebe314727e22e39fc31c94a3d03121b39b8cae7ab0689e
data\hardware\20260511_fpga1_board1\trng\sparse_run01.bin,3f7a3b491848262bff1c3ae8e9a136c2226227b0c1b27da796227b6f2e2a5791,10485760,0,1000000,bit-symbols-lsb,1,data\sp800_90b\inputs_smoke_20260514\sparse_run01_bps1_lsb.bin,8000000,d06df1e2fe4417cc061e36af14c27a891072436476ec1e290d826c6ab97c5442
data\hardware\20260511_fpga1_board1\trng\sparse_run01.bin,3f7a3b491848262bff1c3ae8e9a136c2226227b0c1b27da796227b6f2e2a5791,10485760,0,1000000,byte-symbols,8,data\sp800_90b\inputs_smoke_20260514\sparse_run01_bps8.bin,1000000,a199d55269a153c93b5359f16e2c4d01ee0bd90dbacc447f584de53bbedd39f4
data\hardware\20260511_fpga1_board1\trng\row_run01.bin,2a3d04a19180ac5ef47351b7cbd608d781a9f2bd302690fde4d9b2e8a18497ad,10485760,0,1000000,bit-symbols-msb,1,data\sp800_90b\inputs_smoke_20260514\row_run01_bps1_msb.bin,8000000,9fbac823068600e1e5312d7c63f2d0800380070f1a7bf6200755a264be8226a4
data\hardware\20260511_fpga1_board1\trng\row_run01.bin,2a3d04a19180ac5ef47351b7cbd608d781a9f2bd302690fde4d9b2e8a18497ad,10485760,0,1000000,bit-symbols-lsb,1,data\sp800_90b\inputs_smoke_20260514\row_run01_bps1_lsb.bin,8000000,cdcffccaabd0239262f79961a85a3244a9e4f02a726bf5a2345fdba4302c3eb5
data\hardware\20260511_fpga1_board1\trng\row_run01.bin,2a3d04a19180ac5ef47351b7cbd608d781a9f2bd302690fde4d9b2e8a18497ad,10485760,0,1000000,byte-symbols,8,data\sp800_90b\inputs_smoke_20260514\row_run01_bps8.bin,1000000,7d018c9578470ddca8b1e30d5ca64f8dec5e54a407502258b4fde963999ee988
