label,source,window_index,packet_start,packet_end,packets,phase_diff_mean_ps,phase_diff_std_ps,phase_diff_autocorr_lag1,raw_diff_entropy,raw_same_diff_transition_ratio,raw_longest_same_diff_bin_run
random1_baseline_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup0._preopen_20260525.bin,0,0,4095,4096,2.19311367,1447.6714,-0.0260139592,5.93391949,0.0188034188,3
random1_baseline_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup0._preopen_20260525.bin,1,4096,8191,4096,-14.3206565,1443.72448,-0.000534063408,5.93604826,0.0173382173,3
random1_baseline_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup0._preopen_20260525.bin,2,8192,12287,4096,19.3179566,1440.92243,-0.0215788907,5.92695041,0.0183150183,3
random1_baseline_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup0._preopen_20260525.bin,3,12288,16383,4096,16.2450309,1439.0506,0.0086025928,5.94080426,0.0156288156,2
random1_baseline_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup0._preopen_20260525.bin,4,16384,20479,4096,-2.74044781,1453.47524,0.00278559331,5.9436626,0.0126984127,3
random1_baseline_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup0._preopen_20260525.bin,5,20480,24575,4096,14.7815248,1441.61788,0.0171889469,5.93679648,0.0175824176,3
random1_baseline_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup0._preopen_20260525.bin,6,24576,28671,4096,9.39810614,1434.8588,0.00185098737,5.92164065,0.0168498168,3
random1_baseline_warmup0,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup0._preopen_20260525.bin,7,28672,32767,4096,9.83407262,1440.62289,-0.00732335114,5.94457162,0.0148962149,3
random1_baseline_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525.bin,0,0,4095,4096,-16.2466642,1437.38196,-0.0107150594,5.88340148,0.0148962149,3
random1_baseline_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525.bin,1,4096,8191,4096,-14.8453164,1432.00679,0.028871265,5.8843561,0.0168498168,3
random1_baseline_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525.bin,2,8192,12287,4096,16.7001477,1430.15166,-0.0125119049,5.87906545,0.0202686203,3
random1_baseline_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525.bin,3,12288,16383,4096,3.96410381,1439.71671,-0.00378576802,5.88733561,0.0183150183,3
random1_baseline_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525.bin,4,16384,20479,4096,-31.9541882,1435.81072,0.0115943799,5.87921706,0.0166056166,2
random1_baseline_warmup12,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\tdc_reset_aligned\tdc_reset_random1_baseline_ro0_clean32k_warmup12._preopen_20260525.bin,5,20480,24575,4096,8.73110391,1413.09553,-0.0100876117,5.90023091,0.0192918193,3
