family,mode,a_index,a_name,b_index,b_name,relation,freq_a_mhz,freq_b_mhz,abs_delta_f_mhz,beat_period_ns
random1,all_on,0,data0,2,data2,data_data,7.156596178349726,7.147350113134996,0.009246065214729704,108154.11494252949
random1,all_on,5,data5,7,data7,data_data,7.519477883871904,7.565633601320438,0.046155717448534084,21665.788233387328
random1,all_on,0,data0,1,data1,data_data,7.156596178349726,7.243948468029728,0.08735228968000275,11447.896828615432
random1,all_on,1,data1,2,data2,data_data,7.243948468029728,7.147350113134996,0.09659835489473245,10352.143171483041
random1,all_on,3,data3,6,data6,data_data,6.770096482159132,6.946678614991861,0.1765821328327295,5663.0871082934955
random1,all_on,2,data2,6,data6,data_data,7.147350113134996,6.946678614991861,0.20067149814313456,4983.268721533747
random1,all_on,0,data0,6,data6,data_data,7.156596178349726,6.946678614991861,0.20991756335786427,4763.774807614431
random1,all_on,4,data4,7,data7,data_data,7.810898765717603,7.565633601320438,0.24526516439716506,4077.2198630730563
random1,all_on,1,data1,5,data5,data_data,7.243948468029728,7.519477883871904,0.2755294158421755,3629.376547485603
random1,all_on,4,data4,5,data5,data_data,7.810898765717603,7.519477883871904,0.29142088184569914,3431.463090999353
random1,all_on,1,data1,6,data6,data_data,7.243948468029728,6.946678614991861,0.297269853037867,3363.946898014638
random1,all_on,1,data1,7,data7,data_data,7.243948468029728,7.565633601320438,0.3216851332907096,3108.6298262229343
random1,all_on,0,data0,5,data5,data_data,7.156596178349726,7.519477883871904,0.36288170552217824,2755.71897062439
random1,all_on,2,data2,5,data5,data_data,7.147350113134996,7.519477883871904,0.37212777073690795,2687.2490543227796
random1,all_on,2,data2,3,data3,data_data,7.147350113134996,6.770096482159132,0.37725363097586406,2650.7365811516283
random1,all_on,0,data0,3,data3,data_data,7.156596178349726,6.770096482159132,0.38649969619059377,2587.32415537753
random1,all_on,0,data0,7,data7,data_data,7.156596178349726,7.565633601320438,0.4090374229707123,2444.764082311367
random1,all_on,2,data2,7,data7,data_data,7.147350113134996,7.565633601320438,0.41828348818544203,2390.7231058488724
random1,all_on,1,data1,3,data3,data_data,7.243948468029728,6.770096482159132,0.4738519858705965,2110.363636363631
random1,all_on,1,data1,4,data4,data_data,7.243948468029728,7.810898765717603,0.5669502976878746,1763.8230442389395
random1,all_on,5,data5,6,data6,data_data,7.519477883871904,6.946678614991861,0.5727992688800425,1745.81228421474
random1,all_on,6,data6,7,data7,data_data,6.946678614991861,7.565633601320438,0.6189549863285766,1615.6263736263738
random1,all_on,0,data0,4,data4,data_data,7.156596178349726,7.810898765717603,0.6543025873678774,1528.3448656726105
random1,all_on,2,data2,4,data4,data_data,7.147350113134996,7.810898765717603,0.6635486525826071,1507.0484976616046
random1,all_on,3,data3,5,data5,data_data,6.770096482159132,7.519477883871904,0.749381401712772,1334.4339714255236
random1,all_on,3,data3,7,data7,data_data,6.770096482159132,7.565633601320438,0.7955371191613061,1257.0123705280384
random1,all_on,4,data4,6,data6,data_data,7.810898765717603,6.946678614991861,0.8642201507257417,1157.112570402617
random1,all_on,3,data3,4,data4,data_data,6.770096482159132,7.810898765717603,1.0408022835584712,960.7972770592227
random1,all_on,3,data3,8,sample,data_sample,6.770096482159132,5.920762142173734,0.8493343399853979,1177.392639060364
random1,all_on,6,data6,8,sample,data_sample,6.946678614991861,5.920762142173734,1.0259164728181274,974.7382233302712
random1,all_on,2,data2,8,sample,data_sample,7.147350113134996,5.920762142173734,1.226587970961262,815.2696942040874
random1,all_on,0,data0,8,sample,data_sample,7.156596178349726,5.920762142173734,1.2358340361759916,809.1701399439308
random1,all_on,1,data1,8,sample,data_sample,7.243948468029728,5.920762142173734,1.3231863258559944,755.7514618004241
random1,all_on,5,data5,8,sample,data_sample,7.519477883871904,5.920762142173734,1.5987157416981699,625.502066388482
random1,all_on,7,data7,8,sample,data_sample,7.565633601320438,5.920762142173734,1.644871459146704,607.9502409986259
random1,all_on,4,data4,8,sample,data_sample,7.810898765717603,5.920762142173734,1.890136623543869,529.0622844633699
