family,family_id,mode,mode_id,target_index,target_name,window_cycles,window_ns,samples,freq_mean_mhz,freq_std_mhz,freq_std_ppm,freq_min_mhz,freq_max_mhz
random1,1,all_on,0,0,data0,3392,16960.0,8322,7.156596178349726,4.644459356847708,648976.0273044631,0.0,15.035377358490566
random1,1,all_on,0,1,data1,3392,16960.0,8322,7.243948468029728,4.2079508381954795,580891.8791687642,0.0,15.035377358490566
random1,1,all_on,0,2,data2,3392,16960.0,8322,7.147350113134996,4.310995755263623,603160.0085381462,0.0,15.035377358490566
random1,1,all_on,0,3,data3,3392,16960.0,8322,6.770096482159132,4.014988209327689,593047.4137123702,0.0,15.035377358490566
random1,1,all_on,0,4,data4,3392,16960.0,8322,7.810898765717603,4.621405576589976,591661.1794885295,0.0,15.035377358490566
random1,1,all_on,0,5,data5,3392,16960.0,8321,7.519477883871904,4.483410772346999,596239.6381221107,0.0,15.035377358490566
random1,1,all_on,0,6,data6,3392,16960.0,8322,6.946678614991861,4.327997413920713,623031.1856633637,0.0,15.035377358490566
random1,1,all_on,0,7,data7,3392,16960.0,8322,7.565633601320438,4.5381698151258005,599840.0205811909,0.0,15.035377358490566
random1,1,all_on,0,8,sample,3392,16960.0,8322,5.920762142173734,0.6999844027890869,118225.38821532465,3.125,8.903301886792452
random1,1,single_on,1,0,data0,3392,16960.0,8322,6.878576562237851,4.084965846256182,593867.9041070663,0.0,15.035377358490566
random1,1,single_on,1,1,data1,3392,16960.0,8322,7.752517480377086,4.503036620640537,580848.302765969,0.0,15.035377358490566
random1,1,single_on,1,2,data2,3392,16960.0,8322,7.608732309903734,4.587756734135528,602959.4086473483,0.0,15.035377358490566
random1,1,single_on,1,3,data3,3392,16960.0,8322,8.150126625040244,4.687011985564712,575084.560179035,0.0,15.035377358490566
random1,1,single_on,1,4,data4,3392,16960.0,8322,7.716836879287907,4.054018221832757,525347.1448533266,0.0,15.035377358490566
random1,1,single_on,1,5,data5,3392,16960.0,8322,7.400897768134475,4.2543325468703665,574840.0640241171,0.0,15.035377358490566
random1,1,single_on,1,6,data6,3392,16960.0,8322,7.90892831231607,4.6421371564619465,586948.9484729609,0.0,15.035377358490566
random1,1,single_on,1,7,data7,3392,16960.0,8322,7.1441476445702,4.169399425517364,583610.4785273093,0.0,15.035377358490566
random1,1,single_on,1,8,sample,3392,16960.0,8322,7.827357470310566,0.7374918165845631,94219.76949205332,0.4716981132075472,10.318396226415095
