family,target_index,target_name,all_on_freq_mhz,single_on_freq_mhz,shift_mhz,shift_ppm_vs_single
random1,0,data0,7.156596178349726,6.878576562237851,0.27801961611187487,40418.19024566109
random1,1,data1,7.243948468029728,7.752517480377086,-0.5085690123473574,-65600.498629591
random1,2,data2,7.147350113134996,7.608732309903734,-0.4613821967687377,-60638.510855243265
random1,3,data3,6.770096482159132,8.150126625040244,-1.380030142881112,-169326.22109712285
random1,4,data4,7.810898765717603,7.716836879287907,0.09406188642969582,12189.176459354632
random1,5,data5,7.519477883871904,7.400897768134475,0.1185801157374291,16022.396127128139
random1,6,data6,6.946678614991861,7.90892831231607,-0.962249697324209,-121666.25607489182
random1,7,data7,7.565633601320438,7.1441476445702,0.4214859567502378,58997.37487516538
random1,8,sample,5.920762142173734,7.827357470310566,-1.9065953281368317,-243580.97038095078
