bit_order,expanded_column,byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
lsb,119,14,7,11,21,0.343750000,0.156250000,21,112,119,False
lsb,120,15,0,10,22,0.312500000,0.187500000,22,127,120,False
lsb,121,15,1,11,21,0.343750000,0.156250000,21,126,121,False
lsb,122,15,2,12,20,0.375000000,0.125000000,20,125,122,False
lsb,123,15,3,10,22,0.312500000,0.187500000,22,124,123,False
lsb,124,15,4,13,19,0.406250000,0.093750000,19,123,124,False
lsb,125,15,5,14,18,0.437500000,0.062500000,18,122,125,False
lsb,126,15,6,16,16,0.500000000,0.000000000,16,121,126,False
lsb,127,15,7,8,24,0.250000000,0.250000000,24,120,127,False
msb,0,0,7,10,22,0.312500000,0.187500000,22,0,7,False
msb,1,0,6,12,20,0.375000000,0.125000000,20,1,6,False
msb,2,0,5,15,17,0.468750000,0.031250000,17,2,5,False
msb,3,0,4,11,21,0.343750000,0.156250000,21,3,4,False
msb,4,0,3,12,20,0.375000000,0.125000000,20,4,3,False
msb,5,0,2,15,17,0.468750000,0.031250000,17,5,2,False
msb,6,0,1,13,19,0.406250000,0.093750000,19,6,1,False
msb,7,0,0,11,21,0.343750000,0.156250000,21,7,0,False
msb,8,1,7,14,18,0.437500000,0.062500000,18,8,15,False
msb,9,1,6,16,16,0.500000000,0.000000000,16,9,14,False
msb,10,1,5,10,22,0.312500000,0.187500000,22,10,13,False
msb,11,1,4,14,18,0.437500000,0.062500000,18,11,12,False
msb,12,1,3,14,18,0.437500000,0.062500000,18,12,11,False
msb,13,1,2,10,22,0.312500000,0.187500000,22,13,10,False
msb,14,1,1,6,26,0.187500000,0.312500000,26,14,9,False
msb,15,1,0,8,24,0.250000000,0.250000000,24,15,8,False
msb,16,2,7,14,18,0.437500000,0.062500000,18,16,23,False
msb,17,2,6,10,22,0.312500000,0.187500000,22,17,22,False
msb,18,2,5,8,24,0.250000000,0.250000000,24,18,21,False
msb,19,2,4,11,21,0.343750000,0.156250000,21,19,20,False
msb,20,2,3,6,26,0.187500000,0.312500000,26,20,19,False
msb,21,2,2,12,20,0.375000000,0.125000000,20,21,18,False
msb,22,2,1,12,20,0.375000000,0.125000000,20,22,17,False
msb,23,2,0,15,17,0.468750000,0.031250000,17,23,16,False
msb,24,3,7,9,23,0.281250000,0.218750000,23,24,31,False
msb,25,3,6,12,20,0.375000000,0.125000000,20,25,30,False
msb,26,3,5,14,18,0.437500000,0.062500000,18,26,29,False
msb,27,3,4,5,27,0.156250000,0.343750000,27,27,28,False
msb,28,3,3,9,23,0.281250000,0.218750000,23,28,27,False
msb,29,3,2,13,19,0.406250000,0.093750000,19,29,26,False
msb,30,3,1,16,16,0.500000000,0.000000000,16,30,25,False
msb,31,3,0,14,18,0.437500000,0.062500000,18,31,24,False
msb,32,4,7,13,19,0.406250000,0.093750000,19,32,39,False
msb,33,4,6,14,18,0.437500000,0.062500000,18,33,38,False
msb,34,4,5,8,24,0.250000000,0.250000000,24,34,37,False
msb,35,4,4,10,22,0.312500000,0.187500000,22,35,36,False
msb,36,4,3,9,23,0.281250000,0.218750000,23,36,35,False
msb,37,4,2,11,21,0.343750000,0.156250000,21,37,34,False
msb,38,4,1,9,23,0.281250000,0.218750000,23,38,33,False
msb,39,4,0,17,15,0.531250000,0.031250000,17,39,32,False
msb,40,5,7,12,20,0.375000000,0.125000000,20,40,47,False
msb,41,5,6,11,21,0.343750000,0.156250000,21,41,46,False
msb,42,5,5,14,18,0.437500000,0.062500000,18,42,45,False
msb,43,5,4,11,21,0.343750000,0.156250000,21,43,44,False
msb,44,5,3,11,21,0.343750000,0.156250000,21,44,43,False
msb,45,5,2,17,15,0.531250000,0.031250000,17,45,42,False
msb,46,5,1,12,20,0.375000000,0.125000000,20,46,41,False
msb,47,5,0,15,17,0.468750000,0.031250000,17,47,40,False
msb,48,6,7,7,25,0.218750000,0.281250000,25,48,55,False
msb,49,6,6,12,20,0.375000000,0.125000000,20,49,54,False
msb,50,6,5,16,16,0.500000000,0.000000000,16,50,53,False
msb,51,6,4,9,23,0.281250000,0.218750000,23,51,52,False
msb,52,6,3,11,21,0.343750000,0.156250000,21,52,51,False
msb,53,6,2,11,21,0.343750000,0.156250000,21,53,50,False
msb,54,6,1,12,20,0.375000000,0.125000000,20,54,49,False
msb,55,6,0,15,17,0.468750000,0.031250000,17,55,48,False
msb,56,7,7,11,21,0.343750000,0.156250000,21,56,63,False
msb,57,7,6,14,18,0.437500000,0.062500000,18,57,62,False
msb,58,7,5,10,22,0.312500000,0.187500000,22,58,61,False
msb,59,7,4,12,20,0.375000000,0.125000000,20,59,60,False
msb,60,7,3,13,19,0.406250000,0.093750000,19,60,59,False
msb,61,7,2,17,15,0.531250000,0.031250000,17,61,58,False
msb,62,7,1,14,18,0.437500000,0.062500000,18,62,57,False
msb,63,7,0,16,16,0.500000000,0.000000000,16,63,56,False
msb,64,8,7,16,16,0.500000000,0.000000000,16,64,71,False
msb,65,8,6,8,24,0.250000000,0.250000000,24,65,70,False
msb,66,8,5,13,19,0.406250000,0.093750000,19,66,69,False
msb,67,8,4,24,8,0.750000000,0.250000000,24,67,68,False
msb,68,8,3,9,23,0.281250000,0.218750000,23,68,67,False
msb,69,8,2,8,24,0.250000000,0.250000000,24,69,66,False
msb,70,8,1,16,16,0.500000000,0.000000000,16,70,65,False
msb,71,8,0,9,23,0.281250000,0.218750000,23,71,64,False
msb,72,9,7,17,15,0.531250000,0.031250000,17,72,79,False
msb,73,9,6,13,19,0.406250000,0.093750000,19,73,78,False
msb,74,9,5,15,17,0.468750000,0.031250000,17,74,77,False
msb,75,9,4,14,18,0.437500000,0.062500000,18,75,76,False
msb,76,9,3,14,18,0.437500000,0.062500000,18,76,75,False
msb,77,9,2,14,18,0.437500000,0.062500000,18,77,74,False
msb,78,9,1,12,20,0.375000000,0.125000000,20,78,73,False
msb,79,9,0,14,18,0.437500000,0.062500000,18,79,72,False
msb,80,10,7,14,18,0.437500000,0.062500000,18,80,87,False
msb,81,10,6,12,20,0.375000000,0.125000000,20,81,86,False
msb,82,10,5,7,25,0.218750000,0.281250000,25,82,85,False
msb,83,10,4,16,16,0.500000000,0.000000000,16,83,84,False
msb,84,10,3,13,19,0.406250000,0.093750000,19,84,83,False
msb,85,10,2,14,18,0.437500000,0.062500000,18,85,82,False
msb,86,10,1,13,19,0.406250000,0.093750000,19,86,81,False
msb,87,10,0,10,22,0.312500000,0.187500000,22,87,80,False
msb,88,11,7,13,19,0.406250000,0.093750000,19,88,95,False
msb,89,11,6,12,20,0.375000000,0.125000000,20,89,94,False
msb,90,11,5,11,21,0.343750000,0.156250000,21,90,93,False
msb,91,11,4,15,17,0.468750000,0.031250000,17,91,92,False
msb,92,11,3,12,20,0.375000000,0.125000000,20,92,91,False
msb,93,11,2,10,22,0.312500000,0.187500000,22,93,90,False
msb,94,11,1,12,20,0.375000000,0.125000000,20,94,89,False
msb,95,11,0,10,22,0.312500000,0.187500000,22,95,88,False
msb,96,12,7,14,18,0.437500000,0.062500000,18,96,103,False
msb,97,12,6,11,21,0.343750000,0.156250000,21,97,102,False
msb,98,12,5,11,21,0.343750000,0.156250000,21,98,101,False
msb,99,12,4,15,17,0.468750000,0.031250000,17,99,100,False
msb,100,12,3,13,19,0.406250000,0.093750000,19,100,99,False
msb,101,12,2,17,15,0.531250000,0.031250000,17,101,98,False
msb,102,12,1,9,23,0.281250000,0.218750000,23,102,97,False
msb,103,12,0,6,26,0.187500000,0.312500000,26,103,96,False
msb,104,13,7,13,19,0.406250000,0.093750000,19,104,111,False
msb,105,13,6,10,22,0.312500000,0.187500000,22,105,110,False
msb,106,13,5,14,18,0.437500000,0.062500000,18,106,109,False
msb,107,13,4,11,21,0.343750000,0.156250000,21,107,108,False
msb,108,13,3,12,20,0.375000000,0.125000000,20,108,107,False
msb,109,13,2,13,19,0.406250000,0.093750000,19,109,106,False
msb,110,13,1,7,25,0.218750000,0.281250000,25,110,105,False
msb,111,13,0,12,20,0.375000000,0.125000000,20,111,104,False
msb,112,14,7,11,21,0.343750000,0.156250000,21,112,119,False
msb,113,14,6,12,20,0.375000000,0.125000000,20,113,118,False
msb,114,14,5,11,21,0.343750000,0.156250000,21,114,117,False
msb,115,14,4,11,21,0.343750000,0.156250000,21,115,116,False
