name,ref_name,loc,bel
row_index_reg[30],FDRE,SLICE_X43Y45,SLICEL.AFF
row_index_reg[31],FDRE,SLICE_X43Y45,SLICEL.BFF
row_index_reg[3],FDRE,SLICE_X37Y40,SLICEL.B5FF
row_index_reg[4],FDRE,SLICE_X37Y40,SLICEL.CFF
row_index_reg[5],FDRE,SLICE_X37Y40,SLICEL.C5FF
row_index_reg[6],FDRE,SLICE_X37Y41,SLICEL.AFF
row_index_reg[7],FDRE,SLICE_X37Y41,SLICEL.BFF
row_index_reg[8],FDRE,SLICE_X37Y41,SLICEL.B5FF
row_index_reg[9],FDRE,SLICE_X37Y41,SLICEL.A5FF
send_count[0]_i_1,LUT5,SLICE_X45Y42,SLICEL.C6LUT
send_count[1]_i_1,LUT6,SLICE_X45Y42,SLICEL.D6LUT
send_count[1]_i_2,LUT5,SLICE_X45Y41,SLICEL.A5LUT
send_count[2]_i_1,LUT6,SLICE_X46Y41,SLICEM.A6LUT
send_count[3]_i_1,LUT6,SLICE_X46Y41,SLICEM.B6LUT
send_count[4]_i_1,LUT6,SLICE_X46Y41,SLICEM.C6LUT
send_count[4]_i_2,LUT2,SLICE_X45Y41,SLICEL.A6LUT
send_count[4]_i_3,LUT2,SLICE_X46Y42,SLICEM.A6LUT
send_count[5]_i_1,LUT6,SLICE_X45Y42,SLICEL.A6LUT
send_count[6]_i_2,LUT6,SLICE_X45Y42,SLICEL.B6LUT
send_count_reg[0],FDRE,SLICE_X45Y42,SLICEL.CFF
send_count_reg[1],FDRE,SLICE_X45Y42,SLICEL.DFF
send_count_reg[2],FDRE,SLICE_X46Y41,SLICEM.AFF
send_count_reg[3],FDRE,SLICE_X46Y41,SLICEM.BFF
send_count_reg[4],FDRE,SLICE_X46Y41,SLICEM.CFF
send_count_reg[5],FDRE,SLICE_X45Y42,SLICEL.AFF
send_count_reg[6],FDRE,SLICE_X45Y42,SLICEL.BFF
state_count[0]_i_1,LUT6,SLICE_X42Y39,SLICEM.A6LUT
state_count[10]_i_1,LUT6,SLICE_X40Y38,SLICEL.A6LUT
state_count[11]_i_1,LUT6,SLICE_X40Y38,SLICEL.B6LUT
state_count[12]_i_1,LUT6,SLICE_X42Y38,SLICEM.A6LUT
state_count[13]_i_1,LUT6,SLICE_X40Y39,SLICEL.A6LUT
state_count[14]_i_1,LUT6,SLICE_X40Y39,SLICEL.B6LUT
state_count[15]_i_1,LUT6,SLICE_X45Y39,SLICEL.A6LUT
state_count[16]_i_1,LUT6,SLICE_X40Y39,SLICEL.C6LUT
state_count[17]_i_1,LUT6,SLICE_X42Y40,SLICEM.A6LUT
state_count[18]_i_1,LUT6,SLICE_X40Y40,SLICEL.A6LUT
state_count[19]_i_1,LUT6,SLICE_X40Y40,SLICEL.B6LUT
state_count[1]_i_1,LUT6,SLICE_X42Y39,SLICEM.C6LUT
state_count[20]_i_1,LUT6,SLICE_X40Y40,SLICEL.C6LUT
state_count[21]_i_1,LUT6,SLICE_X42Y41,SLICEM.A6LUT
state_count[22]_i_1,LUT6,SLICE_X42Y41,SLICEM.B6LUT
state_count[23]_i_1,LUT6,SLICE_X42Y41,SLICEM.C6LUT
state_count[24]_i_1,LUT6,SLICE_X42Y41,SLICEM.D6LUT
state_count[25]_i_1,LUT6,SLICE_X42Y42,SLICEM.A6LUT
state_count[26]_i_1,LUT6,SLICE_X42Y42,SLICEM.B6LUT
state_count[27]_i_1,LUT6,SLICE_X42Y42,SLICEM.C6LUT
state_count[28]_i_1,LUT6,SLICE_X42Y42,SLICEM.D6LUT
state_count[29]_i_1,LUT6,SLICE_X43Y43,SLICEL.A6LUT
state_count[2]_i_1,LUT6,SLICE_X40Y39,SLICEL.D6LUT
state_count[30]_i_1,LUT6,SLICE_X44Y43,SLICEL.A6LUT
state_count[31]_i_1,LUT6,SLICE_X44Y43,SLICEL.B6LUT
state_count[32]_i_1,LUT6,SLICE_X43Y43,SLICEL.B6LUT
state_count[33]_i_1,LUT6,SLICE_X42Y44,SLICEM.A6LUT
state_count[34]_i_1,LUT6,SLICE_X42Y44,SLICEM.B6LUT
state_count[35]_i_1,LUT6,SLICE_X42Y44,SLICEM.C6LUT
state_count[36]_i_1,LUT6,SLICE_X42Y44,SLICEM.D6LUT
state_count[37]_i_1,LUT6,SLICE_X42Y45,SLICEM.A6LUT
state_count[38]_i_1,LUT6,SLICE_X42Y45,SLICEM.B6LUT
state_count[39]_i_1,LUT6,SLICE_X42Y45,SLICEM.C6LUT
state_count[3]_i_1,LUT6,SLICE_X40Y38,SLICEL.C6LUT
state_count[40]_i_1,LUT6,SLICE_X42Y45,SLICEM.D6LUT
state_count[41]_i_1,LUT6,SLICE_X42Y46,SLICEM.A6LUT
state_count[42]_i_1,LUT6,SLICE_X42Y46,SLICEM.B6LUT
state_count[43]_i_1,LUT6,SLICE_X42Y46,SLICEM.C6LUT
state_count[44]_i_1,LUT6,SLICE_X42Y46,SLICEM.D6LUT
state_count[45]_i_1,LUT6,SLICE_X42Y47,SLICEM.A6LUT
state_count[46]_i_1,LUT6,SLICE_X42Y47,SLICEM.B6LUT
state_count[47]_i_1,LUT6,SLICE_X42Y47,SLICEM.C6LUT
state_count[48]_i_1,LUT6,SLICE_X42Y47,SLICEM.D6LUT
state_count[49]_i_1,LUT6,SLICE_X39Y48,SLICEL.A6LUT
