name,ref_name_formal,ref_name_compact,formal_loc,compact_loc,formal_bel,compact_bel,loc_changed,bel_changed
row_index[27]_i_1,LUT2,LUT2,SLICE_X43Y46,SLICE_X44Y44,SLICEL.A6LUT,SLICEL.A6LUT,True,False
row_index[28]_i_1,LUT2,LUT2,SLICE_X43Y46,SLICE_X44Y44,SLICEL.B6LUT,SLICEL.C6LUT,True,True
row_index[29]_i_1,LUT2,LUT2,SLICE_X38Y46,SLICE_X46Y44,SLICEM.C6LUT,SLICEM.B6LUT,True,True
row_index[2]_i_1,LUT2,LUT2,SLICE_X37Y40,SLICE_X46Y39,SLICEL.B6LUT,SLICEM.B6LUT,True,True
row_index[30]_i_1,LUT2,LUT2,SLICE_X43Y45,SLICE_X44Y45,SLICEL.A6LUT,SLICEL.A6LUT,True,False
row_index[31]_i_2,LUT2,LUT2,SLICE_X43Y45,SLICE_X46Y44,SLICEL.B6LUT,SLICEM.C6LUT,True,True
row_index[3]_i_1,LUT2,LUT2,SLICE_X37Y40,SLICE_X46Y39,SLICEL.B5LUT,SLICEM.B5LUT,True,True
row_index[4]_i_1,LUT2,LUT2,SLICE_X37Y40,SLICE_X43Y39,SLICEL.C6LUT,SLICEL.A6LUT,True,True
row_index[5]_i_1,LUT2,LUT2,SLICE_X37Y40,SLICE_X43Y39,SLICEL.C5LUT,SLICEL.A5LUT,True,True
row_index[6]_i_1,LUT2,LUT2,SLICE_X37Y41,SLICE_X44Y40,SLICEL.A6LUT,SLICEL.A6LUT,True,False
row_index[7]_i_1,LUT2,LUT2,SLICE_X37Y41,SLICE_X44Y40,SLICEL.B6LUT,SLICEL.B6LUT,True,False
row_index[8]_i_1,LUT2,LUT2,SLICE_X37Y41,SLICE_X44Y40,SLICEL.B5LUT,SLICEL.B5LUT,True,False
row_index[9]_i_1,LUT2,LUT2,SLICE_X37Y41,SLICE_X44Y40,SLICEL.A5LUT,SLICEL.A5LUT,True,False
row_index_reg[0],FDRE,FDRE,SLICE_X37Y40,SLICE_X46Y39,SLICEL.AFF,SLICEM.AFF,True,True
row_index_reg[10],FDRE,FDRE,SLICE_X43Y42,SLICE_X44Y41,SLICEL.AFF,SLICEL.AFF,True,False
row_index_reg[11],FDRE,FDRE,SLICE_X43Y42,SLICE_X46Y41,SLICEL.BFF,SLICEM.AFF,True,True
row_index_reg[12],FDRE,FDRE,SLICE_X43Y42,SLICE_X46Y41,SLICEL.B5FF,SLICEM.A5FF,True,True
row_index_reg[13],FDRE,FDRE,SLICE_X43Y42,SLICE_X44Y41,SLICEL.A5FF,SLICEL.A5FF,True,False
row_index_reg[14],FDRE,FDRE,SLICE_X42Y43,SLICE_X44Y42,SLICEM.AFF,SLICEL.AFF,True,True
row_index_reg[15],FDRE,FDRE,SLICE_X42Y43,SLICE_X43Y42,SLICEM.BFF,SLICEL.AFF,True,True
row_index_reg[16],FDRE,FDRE,SLICE_X42Y43,SLICE_X43Y42,SLICEM.B5FF,SLICEL.A5FF,True,True
row_index_reg[17],FDRE,FDRE,SLICE_X42Y43,SLICE_X44Y42,SLICEM.A5FF,SLICEL.A5FF,True,True
row_index_reg[18],FDRE,FDRE,SLICE_X43Y44,SLICE_X44Y43,SLICEL.AFF,SLICEL.AFF,True,False
row_index_reg[19],FDRE,FDRE,SLICE_X44Y44,SLICE_X44Y43,SLICEL.AFF,SLICEL.BFF,True,True
row_index_reg[1],FDRE,FDRE,SLICE_X37Y40,SLICE_X46Y39,SLICEL.A5FF,SLICEM.A5FF,True,True
row_index_reg[20],FDRE,FDRE,SLICE_X44Y44,SLICE_X44Y43,SLICEL.A5FF,SLICEL.B5FF,True,True
row_index_reg[21],FDRE,FDRE,SLICE_X43Y44,SLICE_X44Y43,SLICEL.A5FF,SLICEL.A5FF,True,False
row_index_reg[22],FDRE,FDRE,SLICE_X43Y44,SLICE_X46Y43,SLICEL.BFF,SLICEM.CFF,True,True
row_index_reg[23],FDRE,FDRE,SLICE_X38Y45,SLICE_X45Y43,SLICEM.AFF,SLICEL.AFF,True,True
row_index_reg[24],FDRE,FDRE,SLICE_X38Y46,SLICE_X46Y43,SLICEM.AFF,SLICEM.AFF,True,False
row_index_reg[25],FDRE,FDRE,SLICE_X37Y46,SLICE_X46Y43,SLICEL.AFF,SLICEM.BFF,True,True
row_index_reg[26],FDRE,FDRE,SLICE_X38Y46,SLICE_X46Y44,SLICEM.BFF,SLICEM.AFF,True,True
row_index_reg[27],FDRE,FDRE,SLICE_X43Y46,SLICE_X44Y44,SLICEL.AFF,SLICEL.AFF,True,False
row_index_reg[28],FDRE,FDRE,SLICE_X43Y46,SLICE_X44Y44,SLICEL.BFF,SLICEL.CFF,True,True
row_index_reg[29],FDRE,FDRE,SLICE_X38Y46,SLICE_X46Y44,SLICEM.CFF,SLICEM.BFF,True,True
row_index_reg[2],FDRE,FDRE,SLICE_X37Y40,SLICE_X46Y39,SLICEL.BFF,SLICEM.BFF,True,True
row_index_reg[30],FDRE,FDRE,SLICE_X43Y45,SLICE_X44Y45,SLICEL.AFF,SLICEL.AFF,True,False
row_index_reg[31],FDRE,FDRE,SLICE_X43Y45,SLICE_X46Y44,SLICEL.BFF,SLICEM.CFF,True,True
row_index_reg[3],FDRE,FDRE,SLICE_X37Y40,SLICE_X46Y39,SLICEL.B5FF,SLICEM.B5FF,True,True
row_index_reg[4],FDRE,FDRE,SLICE_X37Y40,SLICE_X43Y39,SLICEL.CFF,SLICEL.AFF,True,True
row_index_reg[5],FDRE,FDRE,SLICE_X37Y40,SLICE_X43Y39,SLICEL.C5FF,SLICEL.A5FF,True,True
row_index_reg[6],FDRE,FDRE,SLICE_X37Y41,SLICE_X44Y40,SLICEL.AFF,SLICEL.AFF,True,False
row_index_reg[7],FDRE,FDRE,SLICE_X37Y41,SLICE_X44Y40,SLICEL.BFF,SLICEL.BFF,True,False
row_index_reg[8],FDRE,FDRE,SLICE_X37Y41,SLICE_X44Y40,SLICEL.B5FF,SLICEL.B5FF,True,False
row_index_reg[9],FDRE,FDRE,SLICE_X37Y41,SLICE_X44Y40,SLICEL.A5FF,SLICEL.A5FF,True,False
send_count[0]_i_1,LUT5,LUT5,SLICE_X45Y42,SLICE_X35Y41,SLICEL.C6LUT,SLICEL.C5LUT,True,True
send_count[1]_i_1,LUT6,LUT6,SLICE_X45Y42,SLICE_X35Y41,SLICEL.D6LUT,SLICEL.D6LUT,True,False
send_count[1]_i_2,LUT5,LUT5,SLICE_X45Y41,SLICE_X35Y40,SLICEL.A5LUT,SLICEL.D5LUT,True,True
send_count[2]_i_1,LUT6,LUT6,SLICE_X46Y41,SLICE_X35Y40,SLICEM.A6LUT,SLICEL.A6LUT,True,True
send_count[3]_i_1,LUT6,LUT6,SLICE_X46Y41,SLICE_X35Y40,SLICEM.B6LUT,SLICEL.B6LUT,True,True
send_count[4]_i_1,LUT6,LUT6,SLICE_X46Y41,SLICE_X35Y40,SLICEM.C6LUT,SLICEL.C6LUT,True,True
send_count[4]_i_2,LUT2,LUT2,SLICE_X45Y41,SLICE_X35Y40,SLICEL.A6LUT,SLICEL.D6LUT,True,True
send_count[4]_i_3,LUT2,LUT2,SLICE_X46Y42,SLICE_X34Y41,SLICEM.A6LUT,SLICEM.D6LUT,True,True
send_count[5]_i_1,LUT6,LUT6,SLICE_X45Y42,SLICE_X35Y41,SLICEL.A6LUT,SLICEL.A6LUT,True,False
send_count[6]_i_2,LUT6,LUT6,SLICE_X45Y42,SLICE_X35Y41,SLICEL.B6LUT,SLICEL.B6LUT,True,False
send_count_reg[0],FDRE,FDRE,SLICE_X45Y42,SLICE_X35Y41,SLICEL.CFF,SLICEL.A5FF,True,True
send_count_reg[1],FDRE,FDRE,SLICE_X45Y42,SLICE_X35Y41,SLICEL.DFF,SLICEL.DFF,True,False
send_count_reg[2],FDRE,FDRE,SLICE_X46Y41,SLICE_X35Y40,SLICEM.AFF,SLICEL.AFF,True,True
send_count_reg[3],FDRE,FDRE,SLICE_X46Y41,SLICE_X35Y40,SLICEM.BFF,SLICEL.BFF,True,True
send_count_reg[4],FDRE,FDRE,SLICE_X46Y41,SLICE_X35Y40,SLICEM.CFF,SLICEL.CFF,True,True
send_count_reg[5],FDRE,FDRE,SLICE_X45Y42,SLICE_X35Y41,SLICEL.AFF,SLICEL.AFF,True,False
send_count_reg[6],FDRE,FDRE,SLICE_X45Y42,SLICE_X35Y41,SLICEL.BFF,SLICEL.BFF,True,False
state_count[0]_i_1,LUT6,LUT6,SLICE_X42Y39,SLICE_X39Y36,SLICEM.A6LUT,SLICEL.C6LUT,True,True
state_count[10]_i_1,LUT6,LUT6,SLICE_X40Y38,SLICE_X41Y36,SLICEL.A6LUT,SLICEL.A6LUT,True,False
