byte_index,ones,zeros,p1,abs_bias
0,3931,4069,0.491375000,0.008625000
1,4011,3989,0.501375000,0.001375000
2,3909,4091,0.488625000,0.011375000
3,4041,3959,0.505125000,0.005125000
4,4028,3972,0.503500000,0.003500000
5,4013,3987,0.501625000,0.001625000
6,3963,4037,0.495375000,0.004625000
7,3960,4040,0.495000000,0.005000000
8,3960,4040,0.495000000,0.005000000
9,3999,4001,0.499875000,0.000125000
10,4013,3987,0.501625000,0.001625000
11,4016,3984,0.502000000,0.002000000
12,4002,3998,0.500250000,0.000250000
13,4003,3997,0.500375000,0.000375000
14,3960,4040,0.495000000,0.005000000
15,4037,3963,0.504625000,0.004625000
16,3983,4017,0.497875000,0.002125000
17,3981,4019,0.497625000,0.002375000
18,3980,4020,0.497500000,0.002500000
19,3986,4014,0.498250000,0.001750000
20,4041,3959,0.505125000,0.005125000
21,4012,3988,0.501500000,0.001500000
22,4003,3997,0.500375000,0.000375000
23,4006,3994,0.500750000,0.000750000
24,3987,4013,0.498375000,0.001625000
25,4061,3939,0.507625000,0.007625000
26,3996,4004,0.499500000,0.000500000
27,4003,3997,0.500375000,0.000375000
28,3912,4088,0.489000000,0.011000000
29,3957,4043,0.494625000,0.005375000
30,4054,3946,0.506750000,0.006750000
31,4009,3991,0.501125000,0.001125000
