label,seq,row_index,phase,phase_name,event_index,fifo_byte,fifo_empty,fifo_full,ro_en
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,52,1,2,send,12,150,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,53,1,2,send,13,44,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,54,1,2,send,14,1,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,55,1,2,send,15,145,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,56,1,2,send,16,180,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,57,1,2,send,17,80,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,58,1,2,send,18,16,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,59,1,2,send,19,38,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,60,1,2,send,20,5,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,61,1,2,send,21,176,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,62,1,2,send,22,32,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,63,1,2,send,23,64,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,64,1,2,send,24,24,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,65,1,2,send,25,100,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,66,1,2,send,26,40,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,67,1,2,send,27,178,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,68,1,2,send,28,64,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,69,1,2,send,29,17,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,70,1,2,send,30,38,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,71,1,2,send,31,8,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,72,2,1,warmup,1,46,0,1,1
restart_fifo_diag_regs_only_warmup5_1000x32_run01_no_xadc,73,2,1,warmup,2,200,0,1,1
