byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column
15,1,284,716,0.284000000,0.216000000,716,126,121
15,2,249,751,0.249000000,0.251000000,751,125,122
15,3,280,720,0.280000000,0.220000000,720,124,123
15,4,304,696,0.304000000,0.196000000,696,123,124
15,5,276,724,0.276000000,0.224000000,724,122,125
15,6,272,728,0.272000000,0.228000000,728,121,126
15,7,324,676,0.324000000,0.176000000,676,120,127
16,0,331,669,0.331000000,0.169000000,669,135,128
16,1,310,690,0.310000000,0.190000000,690,134,129
16,2,279,721,0.279000000,0.221000000,721,133,130
16,3,296,704,0.296000000,0.204000000,704,132,131
16,4,297,703,0.297000000,0.203000000,703,131,132
16,5,279,721,0.279000000,0.221000000,721,130,133
16,6,333,667,0.333000000,0.167000000,667,129,134
16,7,307,693,0.307000000,0.193000000,693,128,135
17,0,301,699,0.301000000,0.199000000,699,143,136
17,1,240,760,0.240000000,0.260000000,760,142,137
17,2,277,723,0.277000000,0.223000000,723,141,138
17,3,285,715,0.285000000,0.215000000,715,140,139
17,4,257,743,0.257000000,0.243000000,743,139,140
17,5,271,729,0.271000000,0.229000000,729,138,141
17,6,311,689,0.311000000,0.189000000,689,137,142
17,7,281,719,0.281000000,0.219000000,719,136,143
18,0,311,689,0.311000000,0.189000000,689,151,144
18,1,291,709,0.291000000,0.209000000,709,150,145
18,2,310,690,0.310000000,0.190000000,690,149,146
18,3,285,715,0.285000000,0.215000000,715,148,147
18,4,270,730,0.270000000,0.230000000,730,147,148
18,5,303,697,0.303000000,0.197000000,697,146,149
18,6,295,705,0.295000000,0.205000000,705,145,150
18,7,280,720,0.280000000,0.220000000,720,144,151
19,0,261,739,0.261000000,0.239000000,739,159,152
19,1,281,719,0.281000000,0.219000000,719,158,153
19,2,301,699,0.301000000,0.199000000,699,157,154
19,3,246,754,0.246000000,0.254000000,754,156,155
19,4,291,709,0.291000000,0.209000000,709,155,156
19,5,312,688,0.312000000,0.188000000,688,154,157
19,6,263,737,0.263000000,0.237000000,737,153,158
19,7,302,698,0.302000000,0.198000000,698,152,159
20,0,231,769,0.231000000,0.269000000,769,167,160
20,1,310,690,0.310000000,0.190000000,690,166,161
20,2,283,717,0.283000000,0.217000000,717,165,162
20,3,285,715,0.285000000,0.215000000,715,164,163
20,4,313,687,0.313000000,0.187000000,687,163,164
20,5,292,708,0.292000000,0.208000000,708,162,165
20,6,269,731,0.269000000,0.231000000,731,161,166
20,7,307,693,0.307000000,0.193000000,693,160,167
21,0,293,707,0.293000000,0.207000000,707,175,168
21,1,278,722,0.278000000,0.222000000,722,174,169
21,2,277,723,0.277000000,0.223000000,723,173,170
21,3,291,709,0.291000000,0.209000000,709,172,171
21,4,298,702,0.298000000,0.202000000,702,171,172
21,5,271,729,0.271000000,0.229000000,729,170,173
21,6,301,699,0.301000000,0.199000000,699,169,174
21,7,296,704,0.296000000,0.204000000,704,168,175
22,0,310,690,0.310000000,0.190000000,690,183,176
22,1,314,686,0.314000000,0.186000000,686,182,177
22,2,282,718,0.282000000,0.218000000,718,181,178
22,3,308,692,0.308000000,0.192000000,692,180,179
22,4,292,708,0.292000000,0.208000000,708,179,180
22,5,289,711,0.289000000,0.211000000,711,178,181
22,6,286,714,0.286000000,0.214000000,714,177,182
22,7,297,703,0.297000000,0.203000000,703,176,183
23,0,274,726,0.274000000,0.226000000,726,191,184
23,1,262,738,0.262000000,0.238000000,738,190,185
23,2,285,715,0.285000000,0.215000000,715,189,186
23,3,283,717,0.283000000,0.217000000,717,188,187
23,4,298,702,0.298000000,0.202000000,702,187,188
23,5,289,711,0.289000000,0.211000000,711,186,189
23,6,281,719,0.281000000,0.219000000,719,185,190
23,7,261,739,0.261000000,0.239000000,739,184,191
24,0,273,727,0.273000000,0.227000000,727,199,192
24,1,295,705,0.295000000,0.205000000,705,198,193
24,2,302,698,0.302000000,0.198000000,698,197,194
24,3,274,726,0.274000000,0.226000000,726,196,195
24,4,281,719,0.281000000,0.219000000,719,195,196
24,5,304,696,0.304000000,0.196000000,696,194,197
24,6,282,718,0.282000000,0.218000000,718,193,198
24,7,270,730,0.270000000,0.230000000,730,192,199
25,0,268,732,0.268000000,0.232000000,732,207,200
25,1,285,715,0.285000000,0.215000000,715,206,201
25,2,294,706,0.294000000,0.206000000,706,205,202
25,3,232,768,0.232000000,0.268000000,768,204,203
25,4,283,717,0.283000000,0.217000000,717,203,204
25,5,289,711,0.289000000,0.211000000,711,202,205
25,6,281,719,0.281000000,0.219000000,719,201,206
25,7,290,710,0.290000000,0.210000000,710,200,207
26,0,300,700,0.300000000,0.200000000,700,215,208
26,1,295,705,0.295000000,0.205000000,705,214,209
26,2,278,722,0.278000000,0.222000000,722,213,210
26,3,318,682,0.318000000,0.182000000,682,212,211
26,4,293,707,0.293000000,0.207000000,707,211,212
26,5,269,731,0.269000000,0.231000000,731,210,213
26,6,288,712,0.288000000,0.212000000,712,209,214
26,7,286,714,0.286000000,0.214000000,714,208,215
27,0,317,683,0.317000000,0.183000000,683,223,216
27,1,269,731,0.269000000,0.231000000,731,222,217
27,2,262,738,0.262000000,0.238000000,738,221,218
27,3,289,711,0.289000000,0.211000000,711,220,219
27,4,268,732,0.268000000,0.232000000,732,219,220
27,5,307,693,0.307000000,0.193000000,693,218,221
27,6,294,706,0.294000000,0.206000000,706,217,222
27,7,289,711,0.289000000,0.211000000,711,216,223
28,0,280,720,0.280000000,0.220000000,720,231,224
28,1,277,723,0.277000000,0.223000000,723,230,225
28,2,283,717,0.283000000,0.217000000,717,229,226
28,3,302,698,0.302000000,0.198000000,698,228,227
28,4,293,707,0.293000000,0.207000000,707,227,228
28,5,297,703,0.297000000,0.203000000,703,226,229
28,6,283,717,0.283000000,0.217000000,717,225,230
28,7,280,720,0.280000000,0.220000000,720,224,231
29,0,263,737,0.263000000,0.237000000,737,239,232
29,1,297,703,0.297000000,0.203000000,703,238,233
29,2,304,696,0.304000000,0.196000000,696,237,234
29,3,291,709,0.291000000,0.209000000,709,236,235
29,4,290,710,0.290000000,0.210000000,710,235,236
29,5,260,740,0.260000000,0.240000000,740,234,237
29,6,256,744,0.256000000,0.244000000,744,233,238
29,7,289,711,0.289000000,0.211000000,711,232,239
30,0,298,702,0.298000000,0.202000000,702,247,240
30,1,298,702,0.298000000,0.202000000,702,246,241
30,2,264,736,0.264000000,0.236000000,736,245,242
30,3,281,719,0.281000000,0.219000000,719,244,243
30,4,308,692,0.308000000,0.192000000,692,243,244
30,5,299,701,0.299000000,0.201000000,701,242,245
30,6,283,717,0.283000000,0.217000000,717,241,246
30,7,298,702,0.298000000,0.202000000,702,240,247
31,0,303,697,0.303000000,0.197000000,697,255,248
31,1,260,740,0.260000000,0.240000000,740,254,249
31,2,272,728,0.272000000,0.228000000,728,253,250
31,3,282,718,0.282000000,0.218000000,718,252,251
31,4,279,721,0.279000000,0.221000000,721,251,252
31,5,275,725,0.275000000,0.225000000,725,250,253
31,6,320,680,0.320000000,0.180000000,680,249,254
31,7,265,735,0.265000000,0.235000000,735,248,255
