byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column
0,0,448,552,0.448000000,0.052000000,552,7,0
0,1,467,533,0.467000000,0.033000000,533,6,1
0,2,378,622,0.378000000,0.122000000,622,5,2
0,3,362,638,0.362000000,0.138000000,638,4,3
0,4,197,803,0.197000000,0.303000000,803,3,4
0,5,395,605,0.395000000,0.105000000,605,2,5
0,6,193,807,0.193000000,0.307000000,807,1,6
0,7,334,666,0.334000000,0.166000000,666,0,7
1,0,396,604,0.396000000,0.104000000,604,15,8
1,1,399,601,0.399000000,0.101000000,601,14,9
1,2,438,562,0.438000000,0.062000000,562,13,10
1,3,344,656,0.344000000,0.156000000,656,12,11
1,4,431,569,0.431000000,0.069000000,569,11,12
1,5,439,561,0.439000000,0.061000000,561,10,13
1,6,467,533,0.467000000,0.033000000,533,9,14
1,7,309,691,0.309000000,0.191000000,691,8,15
2,0,415,585,0.415000000,0.085000000,585,23,16
2,1,438,562,0.438000000,0.062000000,562,22,17
2,2,448,552,0.448000000,0.052000000,552,21,18
2,3,479,521,0.479000000,0.021000000,521,20,19
2,4,378,622,0.378000000,0.122000000,622,19,20
2,5,368,632,0.368000000,0.132000000,632,18,21
2,6,362,638,0.362000000,0.138000000,638,17,22
2,7,473,527,0.473000000,0.027000000,527,16,23
3,0,280,720,0.280000000,0.220000000,720,31,24
3,1,427,573,0.427000000,0.073000000,573,30,25
3,2,432,568,0.432000000,0.068000000,568,29,26
3,3,438,562,0.438000000,0.062000000,562,28,27
3,4,426,574,0.426000000,0.074000000,574,27,28
3,5,342,658,0.342000000,0.158000000,658,26,29
3,6,428,572,0.428000000,0.072000000,572,25,30
3,7,388,612,0.388000000,0.112000000,612,24,31
4,0,386,614,0.386000000,0.114000000,614,39,32
4,1,289,711,0.289000000,0.211000000,711,38,33
4,2,392,608,0.392000000,0.108000000,608,37,34
4,3,410,590,0.410000000,0.090000000,590,36,35
4,4,369,631,0.369000000,0.131000000,631,35,36
4,5,399,601,0.399000000,0.101000000,601,34,37
4,6,399,601,0.399000000,0.101000000,601,33,38
