label,seq,row_index,phase,phase_name,event_index,fifo_byte,fifo_empty,fifo_full,ro_en
smoke_run01_fixed_decode,84,4,2,send,0,50,0,1,1
smoke_run01_fixed_decode,85,4,2,send,1,142,0,1,1
smoke_run01_fixed_decode,86,4,2,send,2,48,0,1,1
smoke_run01_fixed_decode,87,4,2,send,3,66,0,1,1
smoke_run01_fixed_decode,88,4,2,send,4,195,0,1,1
smoke_run01_fixed_decode,89,4,2,send,5,33,0,1,1
smoke_run01_fixed_decode,90,4,2,send,6,32,0,1,1
smoke_run01_fixed_decode,91,4,2,send,7,4,0,1,1
smoke_run01_fixed_decode,92,4,2,send,8,152,0,1,1
smoke_run01_fixed_decode,93,4,2,send,9,203,0,1,1
smoke_run01_fixed_decode,94,4,2,send,10,192,0,1,1
smoke_run01_fixed_decode,95,4,2,send,11,16,0,1,1
smoke_run01_fixed_decode,96,4,2,send,12,65,0,1,1
smoke_run01_fixed_decode,97,4,2,send,13,136,0,1,1
smoke_run01_fixed_decode,98,4,2,send,14,67,0,1,1
smoke_run01_fixed_decode,99,4,2,send,15,93,0,1,1
smoke_run01_fixed_decode,100,5,1,warmup,0,227,0,1,1
smoke_run01_fixed_decode,101,5,1,warmup,1,8,0,1,1
smoke_run01_fixed_decode,102,5,1,warmup,2,166,0,1,1
smoke_run01_fixed_decode,103,5,1,warmup,3,84,0,1,1
smoke_run01_fixed_decode,104,5,2,send,0,28,0,1,1
smoke_run01_fixed_decode,105,5,2,send,1,72,0,1,1
smoke_run01_fixed_decode,106,5,2,send,2,240,0,1,1
smoke_run01_fixed_decode,107,5,2,send,3,16,0,1,1
smoke_run01_fixed_decode,108,5,2,send,4,128,0,1,1
smoke_run01_fixed_decode,109,5,2,send,5,75,0,1,1
smoke_run01_fixed_decode,110,5,2,send,6,66,0,1,1
smoke_run01_fixed_decode,111,5,2,send,7,236,0,1,1
smoke_run01_fixed_decode,112,5,2,send,8,144,0,1,1
smoke_run01_fixed_decode,113,5,2,send,9,74,0,1,1
smoke_run01_fixed_decode,114,5,2,send,10,27,0,1,1
smoke_run01_fixed_decode,115,5,2,send,11,159,0,1,1
smoke_run01_fixed_decode,116,5,2,send,12,56,0,1,1
smoke_run01_fixed_decode,117,5,2,send,13,152,0,1,1
smoke_run01_fixed_decode,118,5,2,send,14,66,0,1,1
smoke_run01_fixed_decode,119,5,2,send,15,156,0,1,1
smoke_run01_fixed_decode,120,6,1,warmup,0,1,0,1,1
smoke_run01_fixed_decode,121,6,1,warmup,1,26,0,1,1
