bit_order,expanded_column,byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column
lsb,98,12,2,17,15,0.531250000,0.031250000,17,101,98
lsb,99,12,3,13,19,0.406250000,0.093750000,19,100,99
lsb,100,12,4,15,17,0.468750000,0.031250000,17,99,100
lsb,101,12,5,11,21,0.343750000,0.156250000,21,98,101
lsb,102,12,6,11,21,0.343750000,0.156250000,21,97,102
lsb,103,12,7,14,18,0.437500000,0.062500000,18,96,103
lsb,104,13,0,12,20,0.375000000,0.125000000,20,111,104
lsb,105,13,1,7,25,0.218750000,0.281250000,25,110,105
lsb,106,13,2,13,19,0.406250000,0.093750000,19,109,106
lsb,107,13,3,12,20,0.375000000,0.125000000,20,108,107
lsb,108,13,4,11,21,0.343750000,0.156250000,21,107,108
lsb,109,13,5,14,18,0.437500000,0.062500000,18,106,109
lsb,110,13,6,10,22,0.312500000,0.187500000,22,105,110
lsb,111,13,7,13,19,0.406250000,0.093750000,19,104,111
lsb,112,14,0,9,23,0.281250000,0.218750000,23,119,112
lsb,113,14,1,14,18,0.437500000,0.062500000,18,118,113
lsb,114,14,2,11,21,0.343750000,0.156250000,21,117,114
lsb,115,14,3,9,23,0.281250000,0.218750000,23,116,115
lsb,116,14,4,11,21,0.343750000,0.156250000,21,115,116
lsb,117,14,5,11,21,0.343750000,0.156250000,21,114,117
lsb,118,14,6,12,20,0.375000000,0.125000000,20,113,118
lsb,119,14,7,11,21,0.343750000,0.156250000,21,112,119
lsb,120,15,0,10,22,0.312500000,0.187500000,22,127,120
lsb,121,15,1,11,21,0.343750000,0.156250000,21,126,121
lsb,122,15,2,12,20,0.375000000,0.125000000,20,125,122
lsb,123,15,3,10,22,0.312500000,0.187500000,22,124,123
lsb,124,15,4,13,19,0.406250000,0.093750000,19,123,124
lsb,125,15,5,14,18,0.437500000,0.062500000,18,122,125
lsb,126,15,6,16,16,0.500000000,0.000000000,16,121,126
lsb,127,15,7,8,24,0.250000000,0.250000000,24,120,127
msb,0,0,7,10,22,0.312500000,0.187500000,22,0,7
msb,1,0,6,12,20,0.375000000,0.125000000,20,1,6
msb,2,0,5,15,17,0.468750000,0.031250000,17,2,5
msb,3,0,4,11,21,0.343750000,0.156250000,21,3,4
msb,4,0,3,12,20,0.375000000,0.125000000,20,4,3
msb,5,0,2,15,17,0.468750000,0.031250000,17,5,2
msb,6,0,1,13,19,0.406250000,0.093750000,19,6,1
msb,7,0,0,11,21,0.343750000,0.156250000,21,7,0
msb,8,1,7,14,18,0.437500000,0.062500000,18,8,15
msb,9,1,6,16,16,0.500000000,0.000000000,16,9,14
msb,10,1,5,10,22,0.312500000,0.187500000,22,10,13
msb,11,1,4,14,18,0.437500000,0.062500000,18,11,12
msb,12,1,3,14,18,0.437500000,0.062500000,18,12,11
msb,13,1,2,10,22,0.312500000,0.187500000,22,13,10
msb,14,1,1,6,26,0.187500000,0.312500000,26,14,9
msb,15,1,0,8,24,0.250000000,0.250000000,24,15,8
msb,16,2,7,14,18,0.437500000,0.062500000,18,16,23
msb,17,2,6,10,22,0.312500000,0.187500000,22,17,22
msb,18,2,5,8,24,0.250000000,0.250000000,24,18,21
msb,19,2,4,11,21,0.343750000,0.156250000,21,19,20
msb,20,2,3,6,26,0.187500000,0.312500000,26,20,19
msb,21,2,2,12,20,0.375000000,0.125000000,20,21,18
msb,22,2,1,12,20,0.375000000,0.125000000,20,22,17
msb,23,2,0,15,17,0.468750000,0.031250000,17,23,16
msb,24,3,7,9,23,0.281250000,0.218750000,23,24,31
msb,25,3,6,12,20,0.375000000,0.125000000,20,25,30
msb,26,3,5,14,18,0.437500000,0.062500000,18,26,29
msb,27,3,4,5,27,0.156250000,0.343750000,27,27,28
msb,28,3,3,9,23,0.281250000,0.218750000,23,28,27
msb,29,3,2,13,19,0.406250000,0.093750000,19,29,26
msb,30,3,1,16,16,0.500000000,0.000000000,16,30,25
msb,31,3,0,14,18,0.437500000,0.062500000,18,31,24
msb,32,4,7,13,19,0.406250000,0.093750000,19,32,39
msb,33,4,6,14,18,0.437500000,0.062500000,18,33,38
msb,34,4,5,8,24,0.250000000,0.250000000,24,34,37
msb,35,4,4,10,22,0.312500000,0.187500000,22,35,36
msb,36,4,3,9,23,0.281250000,0.218750000,23,36,35
msb,37,4,2,11,21,0.343750000,0.156250000,21,37,34
msb,38,4,1,9,23,0.281250000,0.218750000,23,38,33
msb,39,4,0,17,15,0.531250000,0.031250000,17,39,32
msb,40,5,7,12,20,0.375000000,0.125000000,20,40,47
msb,41,5,6,11,21,0.343750000,0.156250000,21,41,46
msb,42,5,5,14,18,0.437500000,0.062500000,18,42,45
msb,43,5,4,11,21,0.343750000,0.156250000,21,43,44
msb,44,5,3,11,21,0.343750000,0.156250000,21,44,43
msb,45,5,2,17,15,0.531250000,0.031250000,17,45,42
msb,46,5,1,12,20,0.375000000,0.125000000,20,46,41
msb,47,5,0,15,17,0.468750000,0.031250000,17,47,40
msb,48,6,7,7,25,0.218750000,0.281250000,25,48,55
msb,49,6,6,12,20,0.375000000,0.125000000,20,49,54
msb,50,6,5,16,16,0.500000000,0.000000000,16,50,53
msb,51,6,4,9,23,0.281250000,0.218750000,23,51,52
msb,52,6,3,11,21,0.343750000,0.156250000,21,52,51
msb,53,6,2,11,21,0.343750000,0.156250000,21,53,50
msb,54,6,1,12,20,0.375000000,0.125000000,20,54,49
msb,55,6,0,15,17,0.468750000,0.031250000,17,55,48
msb,56,7,7,11,21,0.343750000,0.156250000,21,56,63
msb,57,7,6,14,18,0.437500000,0.062500000,18,57,62
