byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column
0,0,499,501,0.499000000,0.001000000,501,7,0
0,1,500,500,0.500000000,0.000000000,500,6,1
0,2,477,523,0.477000000,0.023000000,523,5,2
0,3,502,498,0.502000000,0.002000000,502,4,3
0,4,492,508,0.492000000,0.008000000,508,3,4
0,5,502,498,0.502000000,0.002000000,502,2,5
0,6,481,519,0.481000000,0.019000000,519,1,6
0,7,478,522,0.478000000,0.022000000,522,0,7
1,0,503,497,0.503000000,0.003000000,503,15,8
1,1,507,493,0.507000000,0.007000000,507,14,9
1,2,484,516,0.484000000,0.016000000,516,13,10
1,3,514,486,0.514000000,0.014000000,514,12,11
1,4,490,510,0.490000000,0.010000000,510,11,12
1,5,504,496,0.504000000,0.004000000,504,10,13
1,6,513,487,0.513000000,0.013000000,513,9,14
1,7,496,504,0.496000000,0.004000000,504,8,15
2,0,488,512,0.488000000,0.012000000,512,23,16
2,1,498,502,0.498000000,0.002000000,502,22,17
2,2,477,523,0.477000000,0.023000000,523,21,18
2,3,482,518,0.482000000,0.018000000,518,20,19
2,4,470,530,0.470000000,0.030000000,530,19,20
2,5,493,507,0.493000000,0.007000000,507,18,21
2,6,477,523,0.477000000,0.023000000,523,17,22
2,7,524,476,0.524000000,0.024000000,524,16,23
3,0,517,483,0.517000000,0.017000000,517,31,24
3,1,510,490,0.510000000,0.010000000,510,30,25
3,2,502,498,0.502000000,0.002000000,502,29,26
3,3,481,519,0.481000000,0.019000000,519,28,27
3,4,530,470,0.530000000,0.030000000,530,27,28
3,5,505,495,0.505000000,0.005000000,505,26,29
3,6,488,512,0.488000000,0.012000000,512,25,30
3,7,508,492,0.508000000,0.008000000,508,24,31
4,0,507,493,0.507000000,0.007000000,507,39,32
4,1,500,500,0.500000000,0.000000000,500,38,33
4,2,492,508,0.492000000,0.008000000,508,37,34
4,3,525,475,0.525000000,0.025000000,525,36,35
4,4,508,492,0.508000000,0.008000000,508,35,36
4,5,507,493,0.507000000,0.007000000,507,34,37
4,6,469,531,0.469000000,0.031000000,531,33,38
4,7,520,480,0.520000000,0.020000000,520,32,39
5,0,501,499,0.501000000,0.001000000,501,47,40
5,1,480,520,0.480000000,0.020000000,520,46,41
5,2,512,488,0.512000000,0.012000000,512,45,42
5,3,533,467,0.533000000,0.033000000,533,44,43
