byte_index,ones,zeros,p1,abs_bias
0,1925,6075,0.240625000,0.259375000
1,2449,5551,0.306125000,0.193875000
2,2303,5697,0.287875000,0.212125000
3,2143,5857,0.267875000,0.232125000
4,2327,5673,0.290875000,0.209125000
5,2339,5661,0.292375000,0.207625000
6,2142,5858,0.267750000,0.232250000
7,2299,5701,0.287375000,0.212625000
8,2276,5724,0.284500000,0.215500000
9,2210,5790,0.276250000,0.223750000
10,2317,5683,0.289625000,0.210375000
11,2417,5583,0.302125000,0.197875000
12,2315,5685,0.289375000,0.210625000
13,2250,5750,0.281250000,0.218750000
14,2309,5691,0.288625000,0.211375000
15,2249,5751,0.281125000,0.218875000
16,2432,5568,0.304000000,0.196000000
17,2223,5777,0.277875000,0.222125000
18,2345,5655,0.293125000,0.206875000
19,2257,5743,0.282125000,0.217875000
20,2290,5710,0.286250000,0.213750000
21,2305,5695,0.288125000,0.211875000
22,2378,5622,0.297250000,0.202750000
23,2233,5767,0.279125000,0.220875000
24,2281,5719,0.285125000,0.214875000
25,2222,5778,0.277750000,0.222250000
26,2327,5673,0.290875000,0.209125000
27,2295,5705,0.286875000,0.213125000
28,2295,5705,0.286875000,0.213125000
29,2250,5750,0.281250000,0.218750000
30,2329,5671,0.291125000,0.208875000
31,2256,5744,0.282000000,0.218000000
