timestamp,TEMPERATURE,VCCINT,VCCAUX,VCCBRAM,VPVN
2026-05-22 08:06:41,40.7,1.000,1.796,1.000,
2026-05-22 08:11:11,43.4,1.000,1.796,1.000,
2026-05-22 08:15:30,43.8,1.000,1.795,1.000,
2026-05-22 08:19:29,44.4,1.000,1.795,1.000,
2026-05-22 08:24:27,44.7,1.000,1.795,1.000,
2026-05-22 08:28:23,44.9,1.000,1.795,1.000,
2026-05-22 08:32:45,45.2,1.000,1.795,1.000,
2026-05-22 08:36:33,45.2,1.000,1.796,1.000,
2026-05-22 08:40:41,45.4,1.000,1.796,1.000,
2026-05-22 08:44:34,45.4,1.000,1.796,1.000,
2026-05-22 08:49:06,45.4,1.000,1.795,1.000,
2026-05-22 08:53:02,45.5,1.000,1.795,1.000,
2026-05-22 08:57:48,45.5,1.000,1.795,1.000,
2026-05-22 09:01:39,45.5,1.000,1.795,1.000,
2026-05-22 09:05:29,45.5,1.000,1.795,1.000,
2026-05-22 09:09:14,45.6,1.000,1.796,1.000,
2026-05-22 09:13:17,45.8,1.000,1.797,1.001,
2026-05-22 09:17:01,45.5,1.000,1.795,1.000,
2026-05-22 09:20:45,45.5,1.000,1.795,1.000,
2026-05-22 09:24:21,45.5,1.000,1.795,1.000,
2026-05-22 09:28:16,45.6,1.000,1.796,1.000,
2026-05-22 09:31:49,45.6,1.000,1.796,1.000,
2026-05-22 09:35:39,45.5,1.000,1.795,1.000,
2026-05-22 09:39:13,45.6,1.000,1.795,1.000,
2026-05-22 09:43:03,45.6,1.000,1.795,1.000,
2026-05-22 09:46:34,45.5,1.000,1.796,1.000,
2026-05-22 09:50:22,45.8,1.000,1.796,1.000,
2026-05-22 09:53:57,45.5,1.000,1.796,1.000,
